TIME	20170506_W05	20170506_W06 	20170506_W07	20170506_W08	20170512_W06	20170512_W08	20170512_W09	20170526_W04	20170526_W05	20170526_W06	20170530_W06	20170530_W07	20170530_W08	20170603_W07	20170603_W08	20170603_W09	20170603_W10	20170603_W12
29	2882.051	2690.317	1372.245	2314.644	2190.591	2911.056	2576.843	2216.793	3204.147	2005.63	1873.849	2671.025	2276.573	7119.538	6545.316	8181.944	5797.059	5392.656
30	3044.834	2843.923	1376.649	2494.772	2238.323	2987.474	2776.842	2193.26	3340.875	2094.699	1884.538	2677.926	2281.447	7180.915	6664.114	8372.012	5770.188	5473.056
31	3095.186	2946.052	1376.405	2651.989	2314.9	3050.508	2974.281	2177.05	3443.625	2204.612	1884.883	2683.85	2302.83	7343.278	6771.306	8683.433	5756.81	5520.248
32	3184.718	3050.251	1394.208	2766.623	2393.261	3113.863	3148.329	2176.801	3529.507	2316.651	1934.847	2662.61	2354.793	7727.077	6914.48	9023.87	5742.575	5552.008
33	3146.719	3028.342	1404.317	2811.336	2453.664	3154.623	3270.65	2208.889	3591.116	2390.438	1990.474	2674.704	2404.653	8032.096	6991.418	9280.733	5782.408	5542.01
34	3112.875	3014.328	1443.021	2835.012	2529.413	3205.082	3342.239	2265.497	3588.479	2449.755	2045.368	2708.725	2486.333	8486.446	7122.247	9425.96	5846.535	5573.417
35	3062.689	2967.506	1486.802	2824.971	2576.662	3263.048	3374.925	2348.408	3628.061	2489.73	2104.24	2827.438	2605.251	8806.08	7269.47	9559.624	5970.69	5547.553
36	3039.739	2904.04	1540.58	2805.817	2636.25	3319.949	3377.083	2457.571	3656.717	2521.889	2187.567	2979.777	2715.743	8941.07	7287.866	9604.48	6213.63	5548.996
37	2965.936	2866.959	1615.164	2757.971	2655.837	3391.786	3370.479	2562.411	3698.226	2525.552	2269.267	3179.81	2846.047	9099.619	7397.127	9567.214	6422.426	5542.653
38	2962.134	2860.173	1676.265	2694.3	2676.576	3485.389	3353.554	2668.687	3806.109	2518.648	2301.834	3366.098	2939.305	9029.057	7432.561	9593.189	6649.335	5508.262
39	3019.366	2893.147	1727.741	2698.116	2666.736	3580.006	3367.558	2759.894	3980.261	2525.397	2321.959	3525.68	3016.499	8873.055	7361.368	9484.771	6868.79	5508.792
40	3140.297	3007.646	1776.95	2736.267	2648.699	3675.202	3440.929	2822.834	4198.628	2517.29	2320.142	3619.156	3064.925	8732.174	7362.793	9483.253	7038.582	5527.41
41	3308.96	3181.625	1797.939	2830.099	2649.26	3798.937	3562.802	2859.455	4459.311	2521.911	2324.222	3659.768	3090.998	8543.869	7335.803	9356.475	7099.366	5564.303
42	3542.488	3397.201	1784.209	3024.38	2634.778	3888.666	3726.175	2874.424	4723.894	2557.409	2309.141	3637.441	3105.465	8349.8	7400.363	9426.299	7132.803	5606.879
43	3774.309	3594.647	1790.702	3235.814	2617.837	3987.851	3884.972	2843.7	4949.022	2613.476	2297.21	3591.436	3116.26	8162.78	7396.862	9548.221	7138.826	5672.973
44	3970.758	3788.743	1784.397	3464.706	2600.809	4112.158	4101.928	2837.255	5123.39	2707.972	2296.218	3498.304	3123.574	8235.696	7450.165	9652.086	7034.392	5733.602
45	4114.535	3903.25	1755.255	3634.573	2617.52	4190.087	4301.478	2814.879	5236.896	2806.161	2306.597	3383.1	3108.576	8402.009	7672.691	9966.598	6973.917	5840.768
46	4170.083	3872.025	1764.082	3723.433	2611.408	4253.597	4433.889	2804.656	5303.4	2911.122	2326.539	3291.159	3110.855	8748.457	7963.696	10397.49	6990.263	5877.176
47	4165.378	3874.923	1746.469	3792.993	2648.249	4306.816	4579.999	2811.992	5301.169	3005.652	2355.889	3232.144	3146.393	9106.767	8234.513	10698.257	7046.344	5991.526
48	4070.247	3816.86	1754.686	3724.308	2669.157	4354.119	4644.854	2845.159	5273.537	3073.789	2400.718	3254.246	3184.056	9579.786	8488.75	11033.391	7171.898	6080.28
49	3970.954	3759.886	1769.632	3635.061	2740.797	4396.058	4692.669	2899.353	5240.706	3145.253	2490.048	3358.227	3244.176	10028.183	8744.112	11186.665	7269.534	6189.945
50	3819.838	3601.06	1802.589	3495.582	2778.405	4424.754	4672.426	2990.766	5197.755	3172.826	2565.456	3556.326	3298.943	10318.149	8898.209	11393.287	7472.115	6264.301
