TIME	20190130_W09	20190130_W11	20190130_W12	20190130_W13	20190131_W02	20190131_W03	20190131_W04	20190207_W01	20190208_W02	20190208_W03	20190208_W04	20190208_W05	20190214_W02	20190214_W03	20190214_W05	20190219_W01	20190219_W02	20190219_W03	20190219_W04	20180510_W04	20180510_W03	20180510_W02	20180510_W01	20180506_W02
103	1691.760986	1297.170288	1016.537231	917.239441	1193.906128	853.804565	702.281494	1838.026367	763.176819	789.653137	979.31958	633.792419	1030.488403	899.111877	928.922058	723.340942	825.597961	419.081268	843.956543	436.446	519.928	546.202	815.535	988.664
104	1693.696167	1298.568115	1025.505859	925.745117	1233.914795	842.700806	702.760681	1837.732788	765.422546	775.354614	980.177795	627.001282	1029.292603	884.850525	912.917236	728.669006	825.007324	416.131165	847.353333	442.463	515.815	548.75	813.293	979.067
105	1662.756958	1282.110962	1017.408569	919.69043	1259.420654	841.884399	695.256226	1857.945557	762.560974	783.749634	982.190735	622.328369	1025.843384	889.355835	906.636292	723.402039	821.163818	417.384949	848.862	438.468	513.211	550.117	809.981	989.458
106	1669.927612	1301.47876	1018.813293	934.723083	1286.465576	835.851013	694.717346	1870.837402	766.717773	791.366638	982.36853	622.8573	1022.061707	891.243103	899.62854	720.286621	820.148743	416.026093	851.656128	433.453	510.563	546.819	808.274	968.357
107	1588.906372	1237.092041	985.840027	914.748657	1288.376709	832.220215	683.07196	1876.809082	768.047119	791.188965	984.654541	623.265869	1021.084106	900.758362	907.068665	720.479126	814.395752	415.015289	858.573608	433.43	508.415	551.295	811.852	977.716
108	1569.591675	1197.290039	952.965942	916.413269	1297.575928	828.884705	679.981262	1885.841797	779.894348	789.423096	982.769958	623.868774	1031.551636	896.890259	907.729614	719.642883	815.687561	415.190369	851.324097	429.36	503.335	542.282	805.258	976.689
109	1617.085205	1220.097778	952.203003	953.194397	1297.244629	843.249084	681.228577	1853.106689	780.553345	782.396362	985.977722	625.266357	1022.832764	901.960571	926.688049	711.937988	828.152405	417.596527	853.189636	424.298	504.511	544.07	814.658	971.567
110	1618.088745	1176.439087	914.178101	942.034424	1292.643066	856.917297	680.998596	1862.512939	786.987488	779.107666	979.374207	618.047363	1023.520203	902.295105	932.028503	715.729187	832.404602	414.176971	846.984741	427.036	505.922	540.55	813.326	973.467
111	1677.270264	1193.315918	914.838806	964.350342	1284.022705	866.858948	687.945312	1832.111328	780.680481	780.414001	981.076538	625.702881	1018.32312	865.777893	942.947754	722.300964	839.626648	411.634583	849.349548	424.439	503.515	543.334	821.101	974.466
112	1659.79834	1161.157471	874.303162	936.536438	1259.938965	878.819153	693.774658	1822.737183	770.693909	787.979736	972.337646	622.134277	1021.418884	892.827637	961.405212	733.551392	851.022156	407.9198	837.317139	420.339	503.672	539.179	818.809	968.543
113	1709.663818	1170.854248	883.657104	951.344055	1241.042603	879.290161	700.090332	1820.344849	770.188171	785.277527	964.56604	619.356384	1023.544861	917.434753	964.994385	738.468811	862.532898	408.702972	849.55072	421.182	503.05	543.344	821.003	976.581
114	1678.472656	1152.480591	860.309937	932.605286	1235.830566	882.371948	712.369995	1816.961792	763.398987	785.389587	953.390381	623.341797	1024.885132	949.265869	968.65094	761.519226	878.383484	413.056824	839.34552	427.972	498.944	546.688	815.918	977.577
115	1703.618896	1160.459473	864.808411	938.235535	1235.337524	890.598328	733.942566	1835.939575	763.064819	793.960388	941.522095	622.011597	1029.207397	973.539124	959.548401	768.138367	896.137451	406.734375	831.823425	428.42	500.077	547.054	812.354	971.012
116	1670.216431	1145.733643	853.896545	937.5	1235.27417	880.351624	738.756836	1808.25769	758.571472	801.51001	936.81012	624.80957	1029.520874	987.90918	944.392273	782.321167	898.707275	411.900787	824.522766	425.358	499.893	548.272	812.074	972.632
117	1689.388916	1161.783936	849.478516	915.695557	1247.06958	889.242615	757.002747	1864.873413	754.638611	810.434143	935.594543	626.580811	1044.568604	1012.271729	944.932922	783.484924	914.916138	415.907715	823.45636	426.827	500.29	550.266	813.827	968.812
118	1621.668945	1155.707275	837.49646	937.763672	1261.213135	883.397888	767.208557	1834.647583	755.88147	826.13324	938.708679	624.287476	1047.837769	1044.05957	958.35498	769.429382	924.780396	415.386292	818.322266	425.418	498.585	553.873	811.385	972.802
119	1566.447144	1152.791992	817.694519	945.35144	1252.355957	873.015564	768.195801	1847.469116	752.235413	833.777527	937.1521	628.387512	1064.977295	1052.107544	955.124084	751.026672	930.574951	407.715088	810.152283	421.758	499.624	555.747	810.97	984.435
120	1550.791382	1163.105225	806.749268	995.966919	1242.924927	848.366516	757.535706	1819.753052	738.398987	821.129272	910.329102	623.071289	1053.24939	1043.156372	955.786011	738.393799	920.625977	398.003845	811.590271	424.854	497.283	554.247	803.927	980.737
121	1530.73938	1125.410522	778.320618	1015.216431	1236.782471	855.12561	748.682068	1802.963379	747.080933	811.029724	901.270203	615.617432	1043.690063	1022.897949	950.151306	732.707764	923.377747	393.503265	805.182922	424.224	500.265	554.33	801.47	979.702
122	1578.662964	1131.797607	772.711731	1098.8479	1220.4375	847.736328	739.582214	1804.718506	742.329285	808.814514	897.740479	613.889954	1038.692017	1028.479736	976.433594	723.127014	914.411865	394.512238	805.456909	423.983	495.11	557.099	802.043	977.69
123	1538.846802	1094.935669	741.428772	1128.152588	1221.379272	852.418701	732.393005	1758.038574	745.719116	808.100525	891.641785	610.2276	1031.148804	1010.48999	980.583252	719.334473	920.648193	394.691925	803.922913	421.625	495.516	552.512	802.047	972.351
124	1569.502563	1095.467773	728.748169	1248.495117	1216.060181	861.470032	730.093811	1779.519531	750.442444	803.486267	896.147095	613.896484	1031.823242	997.160339	1000.127258	711.455017	926.306519	391.316254	790.444153	422.039	495.531	550.773	800.768	969.407
125	1545	1066.526123	707.962402	1231.471924	1210.953125	874.872864	730.034058	1736.300415	753.766541	806.812256	904.350403	619.028259	1026.848633	991.18988	1015.448059	710.938354	932.813477	388.309662	781.993958	417.859	494.146	557.082	798.483	975.233
126	1588.327026	1066.207764	696.683105	1216.004517	1205.371582	886.784058	734.786987	1749.412354	745.114441	805.122253	907.313354	613.49054	1021.09375	994.403992	996.730896	718.646118	957.253113	389.956329	760.92865	416.139	496.993	551.028	799.876	972.82
127	1550.366821	1043.947998	694.489197	1214.94458	1199.663696	888.151672	738.908752	1747.586914	735.058777	805.305542	904.975037	612.233765	1010.121033	997.799377	1031.442505	716.781494	975.875122	390.863464	760.68396	418.316	496.603	551.325	793.092	958.684
128	1545.840332	985.001404	682.81189	1189.559448	1185.013306	890.449524	742.42157	1744.573853	735.937073	809.422607	898.139648	618.924683	1017.533691	1000.428833	1014.107971	725.968262	988.335938	387.802307	751.217285	406.886	492.412	552.169	793.261	957.562
