TIME	20190130_W09	20190130_W11	20190130_W12	20190130_W13	20190131_W02	20190131_W03	20190131_W04	20190207_W01	20190208_W02	20190208_W03	20190208_W04	20190208_W05	20190214_W02	20190214_W03	20190214_W05	20190219_W01	20190219_W02	20190219_W03	20190219_W04	20180510_W04	20180510_W03	20180510_W02	20180510_W01	20180506_W02
20	1926.340698	1508.004272	1046.862183	1828.489746	1036.956787	1055.04834	1285.231445	2252.894775	871.940857	1057.004883	882.776428	794.051392	1185.624023	886.858704	641.543335	971.565247	877.660461	604.928589	1054.76709	617.96	656.649	669.968	737.4	886.762
21	1992.908447	1522.779907	1065.595947	1880.412842	1046.026733	1043.100464	1284.743896	2250.019043	844.29718	1051.355835	874.915466	791.32489	1158.997192	887.443115	629.707458	963.206909	882.248962	598.877136	1061.651855	616.677	647.486	663.466	743.081	890.404
22	1948.943237	1494.69812	1053.045044	1895.294067	1058.406128	1034.396973	1251.744751	2277.888184	852.700745	1048.653931	866.036072	787.547974	1147.349854	880.520203	630.491699	947.130493	874.581848	578.719482	1046.126953	617.915	650.056	660.677	753.982	886.097
23	1996.142578	1515.64978	1080.955078	1920.88855	1073.699219	1033.757568	1256.223877	2275.579346	855.32782	1029.487427	867.597168	789.503052	1130.860474	876.10376	632.146545	934.221863	876.539001	566.714844	1028.860474	613.897	656.687	656.095	754.054	892.713
24	1967.172119	1528.258667	1074.158936	1920.955322	1090.43042	1021.664734	1263.438721	2296.240234	845.807983	1009.587769	864.518555	796.945923	1132.62793	891.125	629.798096	932.278625	876.64447	552.772278	1027.065308	607.698	654.584	650.053	756.21	895.277
25	2015.954102	1570.879761	1055.749512	1868.605957	1090.119629	1023.865601	1274.906738	2280.565674	829.714478	1004.261719	867.300415	800.185303	1121.104126	895.728455	622.97052	922.149597	872.958618	551.314087	1025.805908	596.857	654.872	644.129	755.853	914.865
26	2024.254028	1622.816162	1081.730713	1925.708618	1087.843872	1011.660706	1284.043823	2262.639648	818.994629	1011.938538	861.670471	803.481201	1099.20105	904.714661	618.81958	932.55658	878.725586	560.365112	1022.395752	590.402	655.637	633.872	759.204	913.386
27	2000.59668	1615.547485	1058.647583	1873.702393	1085.941284	1026.969727	1288.784668	2266.636475	803.26709	1015.672058	870.886414	801.572021	1081.245361	915.931946	618.234802	942.071716	873.414978	565.756775	1029.804932	589.329	647.561	622.949	756.559	919.535
28	2071.986572	1687.721924	1091.932983	1886.863403	1076.760498	1042.891113	1297.094727	2188.594482	790.264709	1018.300171	882.255249	798.086304	1062.931274	913.598572	617.654785	943.557434	887.917664	569.623596	1034.984497	582.036	645.236	613.374	759.694	922.878
29	2073.384033	1663.28418	1069.745728	1818.792603	1069.500366	1070.015259	1330.839233	2137.371338	775.622742	1011.387451	893.096741	797.519409	1041.880615	916.510559	615.386475	947.782349	882.251587	577.420593	1044.908813	583.59	639.941	601.718	759.428	940.943
30	2149.65332	1707.099487	1091.945312	1848.495117	1060.06543	1087.956055	1363.108765	2055.084717	775.760864	1008.003174	925.959778	787.925842	1030.479248	909.18335	616.255737	948.161865	885.17688	573.528198	1054.550171	589.738	630	595.419	760.121	935.264
31	2091.186523	1657.87146	1063.847656	1821.646851	1070.846191	1112.745239	1374.869385	1996.824829	776.210205	1017.648743	946.735779	781.933289	1020.485962	894.117859	607.245361	944.058594	885.561523	565.57074	1078.474976	586.016	626.226	595.623	762.189	957.294
32	2152.864746	1670.599854	1091.176758	1865.23584	1075.098633	1127.431763	1396.068359	1970.878418	786.258484	1033.289673	965.907837	780.652588	1026.71814	894.636353	613.537476	953.143555	900.84845	562.563538	1089.038086	587.044	626.139	592.148	780.726	950.13
33	2108.862793	1638.020264	1088.109009	1876.116333	1075.910034	1134.016235	1394.362427	1987.098389	789.333984	1019.299866	964.608826	785.702087	1040.36499	891.324402	625.337036	949.961121	894.919312	558.536133	1110.291504	583.617	622.43	583.481	784.637	956.917
34	2101.42334	1565.955444	1040.358154	1823.924805	1084.993286	1123.233643	1390.249512	1962.836792	804.657166	1018.494019	971.569946	783.597473	1059.421021	891.101135	626.439209	925.180786	898.77478	544.410889	1097.210815	580.142	616.444	590.108	799.756	965.946
35	2108.452637	1604.243896	1067.260742	1897.399414	1077.616943	1093.695312	1369.878906	1980.964722	803.003418	998.911255	941.704224	795.377075	1042.133179	863.757324	635.003601	917.750549	888.64502	539.040161	1101.519043	579.641	610.26	579.255	817.275	971.362
36	2057.898438	1567.444336	1022.294128	1828.08728	1094.52356	1067.50354	1363.452026	1982.292847	814.361633	980.287109	929.777466	790.102417	1044.833374	845.47937	630.908081	900.702148	886.856079	524.826538	1091.340942	570.4	600.747	581.158	829.354	964.363
37	2117.850098	1624.370239	1039.027954	1825.612061	1129.546997	1053.895874	1375.595215	1968.245117	816.971741	943.018311	928.79425	791.872864	1040.880005	841.84729	631.930176	897.560242	883.940186	518.023865	1073.819458	561.874	598.003	571.369	825.556	995.426
38	2031.437866	1584.856812	1006.181641	1724.598511	1137.119019	1030.592285	1349.636841	1978.679932	816.518921	930.983459	927.698853	786.395996	1051.744141	848.281616	640.723328	897.789368	879.562012	505.437958	1059.755615	563.444	591.603	568.372	840.72	991.379
39	2085.022705	1621.591553	1008.490479	1712.603271	1160.1698	1003.194031	1332.9375	1942.607056	828.632935	909.672546	932.117004	776.881409	1060.057251	855.022095	643.540405	897.849365	903.486206	511.188629	1047.835571	556.106	585.723	570.224	837.148	1002.291
40	2044.841064	1602.658447	1010.451904	1654.626465	1167.383423	970.836243	1330.626953	1918.493164	842.227356	906.34491	953.84021	775.124878	1053.277832	860.782593	645.213745	904.965271	916.396973	507.846924	1050.61438	551.073	588.36	566.315	832.482	1004.59
41	2075.668701	1629.163818	1007.919556	1571.571045	1164.752441	957.384216	1323.931396	1868.859619	860.327515	901.861328	953.463074	768.631348	1051.60376	865.271118	648.712219	907.791931	913.206848	504.358765	1055.264038	546.073	587.71	563.115	819.158	1001.176
42	2020.95813	1611.442749	1015.782104	1540.775513	1168.701538	950.482605	1323.552246	1853.773926	858.461914	908.509094	923.363464	777.851257	1029.081421	869.920044	641.433411	906.43512	926.980835	497.260254	1040.206177	546.168	575.249	569.445	813.656	995.109
43	2018.896118	1595.023193	999.492432	1477.079102	1146.299438	952.694214	1326.836426	1812.904785	854.872437	897.792175	895.432861	768.461975	1029.178101	862.410095	638.319519	897.895935	934.275085	497.470764	1049.829712	537.174	565.489	569.266	809.256	1001.591
44	1998.682739	1599.933594	1016.340454	1480.991699	1141.246582	936.100891	1348.374756	1814.036133	839.043091	914.322632	906.441772	775.834717	1019.944641	854.913635	647.489075	891.50116	927.528076	489.200226	1057.061768	538.584	559.113	569.605	810.49	990.277
45	1973.507812	1530.355103	990.900024	1428.275391	1155.86377	924.153503	1343.440918	1795.44458	824.524841	923.003784	927.087219	763.51416	1024.423218	840.54834	650.688416	897.521362	922.416687	485.221985	1046.028687	534.286	549.36	564.139	816.822	992.937
46	1988.590332	1529.005005	1014.76416	1461.657837	1156.806641	916.562866	1337.512085	1764.23938	815.502808	908.376221	938.163391	764.447083	1046.286255	828.529663	651.61731	888.364441	921.786011	484.424835	1038.092773	536.241	542.144	559.5	826.194	985.992
47	1934.911621	1481.057251	999.077209	1447.698853	1157.373291	907.007324	1313.504761	1823.835938	809.672791	898.00946	950.110474	761.260986	1059.451904	806.345825	647.934143	880.171997	918.63739	474.256226	1051.192749	539.287	537.147	563.83	827.015	988.285
48	1980.71167	1493.709473	1023.888794	1449.516724	1173.287354	893.59906	1294.124756	1812.896484	812.942139	891.503662	954.037964	764.151245	1083.006226	794.673767	650.160767	871.12262	907.531555	469.954254	1046.399414	535.044	531.719	562.078	822.044	979.157
49	1974.439697	1507.795776	1013.629028	1456.485596	1183.220337	882.314087	1294.51709	1885.838989	833.621216	890.269043	974.782654	768.992371	1080.133423	796.655884	650.662598	871.681091	907.380676	470.774872	1039.479614	525.865	528.911	557.649	830.389	991.323
