TIME	20180808_W09	20180808_W10	20180808_W11	20180808_W12	20180808_W13	20180809_W08	20180809_W09	20180809_W10	20180809_W11	20180809_W12
55	1307.43	920.252	935.941	571.106	1879.781	1347.637	1431.059	1511.832	1588.042	1507.649
56	1289.619	914.085	941.456	573.106	1901.642	1349.69	1405.928	1502.922	1610.394	1511.216
57	1287.16	900.662	952.017	580.814	1883.223	1360.536	1392.276	1496.903	1610.679	1512.414
58	1293.628	880.541	963.828	584.652	1891.19	1352.963	1408.587	1492.523	1609.638	1507.265
59	1294.876	878.311	983.459	585.062	1894.506	1358.664	1411.787	1486	1599.173	1510.634
60	1316.572	872.027	995.877	595.599	1904.657	1340.991	1432.997	1483.446	1587.372	1512.645
61	1335.641	865.583	1014.357	601.062	1913.95	1325.577	1445.307	1484.799	1565.956	1542.905
62	1359.504	867.248	1028.965	600.797	1965.418	1319.318	1448.924	1483.215	1544.022	1564.252
63	1379.106	860.446	1053.838	605.826	2011.487	1299.12	1473.561	1493.537	1536.817	1601.974
64	1392.575	871.461	1078.291	600.34	2054.729	1289.424	1479.489	1507.122	1525.765	1662.289
65	1397.77	873.644	1103.167	602.502	2124.797	1282.058	1473.005	1519.193	1506.167	1705.708
66	1400.009	875.435	1116.726	599.756	2164.123	1280.271	1463.484	1527.264	1492.64	1752.158
67	1387.588	884.2	1127.769	596.302	2179.332	1276.321	1451.666	1543.683	1476.052	1786.57
68	1361.804	872.361	1134.056	593.024	2171.647	1269.112	1426.545	1553.123	1462.946	1805.933
69	1333.279	876.152	1131.754	588.424	2162.763	1266.612	1393.669	1567.693	1462.721	1843.216
70	1315.354	868.768	1133.381	588.808	2153.869	1268.114	1369.874	1586.918	1467.819	1838.979
71	1301.781	852.567	1141.388	591.578	2183.498	1275.277	1359.579	1608.383	1472.271	1862.214
72	1286.95	851.074	1158.019	597.311	2205.888	1275.542	1347.311	1614.506	1488.906	1859.443
73	1290.531	842.911	1176.713	609.704	2221.065	1272.573	1339.54	1626.848	1507.005	1858.513
74	1282.15	832.606	1195.485	618.934	2243.778	1269.12	1354.755	1646.794	1516.316	1860.16
75	1282.893	817.54	1223.624	627.675	2272.452	1255.332	1351.128	1655.932	1529.401	1852.399
76	1280.984	801.425	1226.228	624.822	2252.632	1248.941	1357.736	1649.677	1525.781	1815.58
77	1284.059	785.227	1243.9	627.747	2249.035	1237.533	1360.641	1652.361	1516.631	1796.019
78	1282.908	770.192	1257.972	628.195	2227.194	1235.708	1361.003	1668.277	1517.396	1782.124
79	1290.642	754.505	1267.918	629.539	2212.233	1234.665	1369.427	1664.312	1537.401	1749.578
80	1294.804	739.012	1273.763	627.639	2230.155	1242.372	1379.299	1671.564	1562.716	1750.88
81	1313.461	730.555	1282.825	638.647	2255.978	1251.505	1391.72	1675.07	1583.836	1747.518
82	1326.265	721.889	1285.168	644.008	2285.656	1271.244	1389.024	1692.069	1611.343	1747.211
83	1334.72	710.599	1277.025	648.887	2286.617	1281.643	1403.802	1696.314	1646.17	1743.91
84	1338.893	697.563	1264.993	658.422	2307.203	1301.575	1411.314	1691.977	1657.831	1740.747
85	1339.887	682.037	1260.769	662.585	2283.249	1310.16	1425.353	1676.146	1674.595	1731.416
86	1352.415	665.955	1252.35	680.003	2299.856	1315.553	1425.76	1675.468	1695.946	1707.438
87	1351.196	650.596	1233.67	681.854	2283.179	1319.558	1431.187	1655.315	1706.663	1692.199
88	1364.508	635.05	1215.004	691.625	2307.783	1318.517	1427.632	1633.389	1720.85	1654.695
89	1366.1	627.624	1202.798	698.26	2308.139	1318.463	1452.731	1633.764	1735.818	1631.964
90	1382.618	611.074	1177.596	710.876	2359.725	1321.664	1471.218	1620.435	1765.183	1593.366
91	1391.932	606.895	1178.028	732.502	2394.352	1322.176	1494.698	1614.144	1798.25	1583.017
92	1399.998	595.844	1150.204	742.632	2410.214	1331.05	1516.417	1603.339	1840.14	1564.956
93	1411.08	590.309	1140.319	746.972	2441.234	1341.984	1549.705	1610.666	1861.339	1539.378
94	1424.949	583.982	1120.725	748.876	2429.947	1357.179	1569.86	1593.32	1883.709	1528.645
95	1420.816	577.475	1102.601	756.067	2404.942	1340.35	1584.888	1570.425	1879.236	1488.505
96	1433.194	574.415	1081.225	757.261	2401.613	1349.799	1602.807	1560.762	1883.742	1468.4
97	1446.948	562.055	1063.255	767.112	2373.987	1355.197	1615.014	1529.696	1890.365	1448.465
98	1464.29	551.492	1043.977	778.338	2373.251	1346.466	1611.113	1490.427	1889.159	1398.387
99	1473.595	541.51	1022.964	787.318	2353.304	1341.197	1636.428	1474.802	1884.162	1371.267
100	1497.711	530.451	1008.273	795.997	2368.134	1335.666	1635.609	1439.765	1880.203	1334.615
101	1516.633	530.104	998.565	813.287	2324.522	1339.535	1655.734	1412.588	1874.53	1301.992
102	1538.272	526.283	986.951	821.465	2307.934	1333.122	1653.971	1392.837	1871.245	1269.24
103	1556.71	515.718	959.958	825.373	2296.797	1327.608	1667.722	1361.674	1832.24	1228.961
104	1577.326	512.446	951.48	824.287	2256.08	1305.685	1660.313	1327.874	1818.889	1196.808
105	1568.513	502.155	924.253	824.802	2217.852	1280.57	1666.25	1286.552	1789.259	1150.494
106	1572.039	497.646	912.438	834.445	2193.012	1269.768	1667.056	1251.663	1779.147	1123.858
107	1590.615	495.469	898.22	837.207	2176.109	1268.717	1674.698	1239.85	1770.247	1086.29
108	1592.666	496.327	890.114	839.471	2157.779	1238.718	1670.326	1220.063	1752.121	1048.263
109	1593.559	490.568	865.992	840.631	2158.938	1234.666	1683.584	1204.897	1746.632	1031.663
110	1602.258	489.905	863.53	859.792	2159.658	1210.015	1673.675	1180.84	1739.344	998.011
111	1585.831	485.112	851.813	859.548	2133.611	1202.096	1679.01	1170.839	1743.397	984.074
112	1609.394	491.489	843.752	873.953	2122.921	1182.38	1680.693	1142.88	1726.068	953.102
113	1613.352	481.286	828.638	882.756	2100.441	1178.001	1685.896	1134.496	1725.635	939.01
114	1604.631	476.087	810.336	875.785	2071.249	1153.924	1670.41	1104.12	1678.895	896.68
115	1587.007	481.585	800.23	878.214	2042.576	1127.463	1663.154	1069.097	1646.685	874.85
116	1582.094	482.481	797.979	893.219	2028.681	1119.378	1638.43	1054.698	1615.104	843.022
117	1575.591	483.791	784.715	896.16	2036.546	1096.163	1604.975	1023.642	1574.367	822.755
118	1569.931	481.204	771.546	901.945	2009.958	1080.589	1574.35	993.028	1540.334	800.053
119	1552.206	483.043	770.246	909.258	2003.135	1060.893	1552.838	972.134	1523.166	776.06
120	1517.269	480.728	752.243	907.013	1981.585	1053.126	1526.948	953.379	1491.097	755.683
121	1493.069	481.757	747.81	908.331	1985.304	1042.803	1512.868	925.51	1454.36	741.167
122	1464.129	482.265	737.565	907.112	1937.446	1028.99	1492.534	902.797	1430.001	721.757
123	1422.83	483.483	728.548	908.826	1921.281	1015.283	1459.692	885.716	1410.682	701.437
124	1396.769	483.376	724.744	916.788	1891.192	990.912	1432.394	869.776	1382.248	690.975
125	1368.337	478.624	717.396	918.328	1885.069	981.271	1423.522	855.778	1355.016	674.503
126	1341.349	486.206	714.108	932.187	1881.983	963.271	1385.975	833.553	1314.693	660.3
127	1314.069	491.272	713.327	942.311	1882.867	953.564	1370.936	817.267	1285.207	644.142
128	1294.984	492.875	712.302	957.148	1851.114	943.003	1344.083	802.501	1264.509	635.826
129	1265.814	492.662	699.903	950.917	1832.385	937.795	1306.93	784.295	1226.893	624.344
130	1239.649	491.516	698.093	945.488	1795.848	915.142	1298.305	775.971	1200.462	614.275
