TIME	20180808_W02	20180808_W04	20180808_W06	20180808_W07	20180809_W02	20180809_W03	20180809_W04	20180809_W05	20180809_W06	20180809_W07
0	446.859	641.201	524.937	1025.174	896.482	836.819	640.013	360.977	418.633	1015.803
1	457.801	660.255	526.742	1075.812	878.679	828.142	615.81	349.297	412.578	981.765
2	450.987	668.082	524.767	1093.32	876.868	865.222	589.52	353.338	418.308	968.374
3	470.485	678.739	502.455	1118.756	900.387	916.086	571.944	355.152	420.848	974.317
4	469.7	681.715	485.05	1132.599	955.813	994.897	558.805	359.679	414.29	977.561
5	474.18	677.652	460.347	1140.892	1002.765	1080.286	555.588	368.15	411.875	1006.781
6	476.946	678.194	444.97	1152.7	1082.703	1188.565	573.65	383.221	404.744	1095.17
7	472.816	682.147	436.007	1172.954	1184.936	1307.225	596.84	399.084	419.646	1190.472
8	467.772	674.041	418.702	1188.655	1260.129	1374.021	634.032	407.959	413.775	1316.927
9	468.128	671.761	405.602	1239.048	1318.764	1416.219	656.388	407.297	397.853	1427.81
10	467.919	676.128	402.737	1318.737	1367.804	1427.415	681.812	399.348	410.867	1520.266
11	473.376	676.206	402.627	1458.141	1371.94	1409.081	683.679	398.422	422.957	1584.628
12	488.087	685.494	403.133	1611.072	1376.934	1398.234	678.399	396.089	443.672	1636.216
13	501.944	695.872	421.899	1763.432	1373.789	1396.438	659.482	387.862	455.72	1651.532
14	518.638	731.135	399.404	1927.761	1390.597	1407.197	637.372	392.787	472.264	1656.807
15	545.233	781.023	386.439	2122.878	1395.333	1444.263	638.691	387.315	456.927	1612.282
16	567.035	845.273	374.113	2266.035	1417.17	1533.256	602.317	387.109	442.067	1580.507
17	574.944	915.001	382.214	2349.144	1471.975	1680.044	567.78	394.303	430.157	1554.345
18	572.011	976.848	386.18	2393.639	1562.856	1824.649	552.923	408.877	425.035	1533.28
19	579.221	1045.391	395.866	2451.636	1673.65	1969.166	564.746	415.137	415.168	1556.715
20	569.616	1083.285	384.692	2406.963	1790.886	2081.422	569.179	419.759	410.549	1594.616
21	557.809	1111.709	369.335	2365.293	1911.325	2163.884	582.95	423.892	408.04	1701.464
22	537.604	1127.993	362.089	2309.321	1987.308	2181.671	604.619	432.768	408.092	1847.404
23	521.061	1146.422	358.878	2302.022	2034.558	2170.437	619.043	431.634	404.68	1975.828
24	499.885	1153.028	362.379	2296.827	2078.987	2119.802	630.328	422.725	415.226	2098.559
25	492.504	1154.347	380.449	2366.964	2069.329	2060.025	623.771	418.982	424.247	2190.432
26	498.458	1177.801	406.753	2466.075	2036.709	1988.318	593.413	407.192	429.591	2226.856
27	502.489	1186.461	429.037	2664.111	2002.265	1951.798	568.448	397.784	433.044	2221.525
28	516.447	1226.109	455.513	2837.982	1954.505	1934.537	556.654	396.497	437.792	2189.87
29	517.131	1279.899	473.929	3015.623	1920.56	1999.803	532.948	388.421	438.106	2114.743
30	529.299	1360.195	487.532	3184.933	1935.994	2102.682	518.708	387.099	430.206	2043.301
31	538.451	1467.346	498.121	3322.682	1987.038	2275.714	503.421	387.814	415.768	1944.124
