TIME	20180808_W02	20180808_W04	20180808_W06	20180808_W07	20180809_W02	20180809_W03	20180809_W04	20180809_W05	20180809_W06	20180809_W07
32	536.578	1586.613	499.604	3382.643	2076.443	2466.038	494.175	399.355	408.583	1879.059
33	521.46	1696.331	485.4	3395.587	2243.387	2666.776	503.471	406.239	404.134	1844.96
34	501.746	1793.499	487.743	3348.584	2452.652	2849.123	518.797	425.843	403.002	1872.254
35	475.234	1855.867	470.264	3257.514	2655.562	2950.928	535.942	440.065	407.6	1961.554
36	464.336	1909.612	453.731	3145.917	2815.271	2960.518	573.036	442.913	411.464	2096.417
37	464.698	1922.185	448.737	3001.751	2923.066	2919.395	601.98	443.062	416.66	2269.614
38	446.313	1962.273	434.778	2889.272	2976.126	2872.713	626.052	446.775	434.155	2454.92
39	444.518	1952.592	443.55	2890.665	2942.385	2757.412	640.365	444.593	452.001	2615.25
40	436.229	1915.815	442.745	2939.592	2904.733	2666.884	646.166	448.776	475.69	2718.42
41	440.338	1898.093	468.028	3049.102	2831.876	2592.357	635.083	442.174	479.912	2783.968
42	448.249	1858.818	498.171	3276.873	2783.369	2578.598	611.123	430.023	480.864	2737.455
43	461.975	1872.164	535.616	3459.044	2767.667	2623.626	594.422	431.996	472.627	2714.601
44	479.858	1922.366	569.54	3701.719	2776.737	2755.269	578.185	431.718	458.907	2644.783
45	482.086	2026.993	590.281	3845.634	2850.243	2919.82	570.052	450.18	453.855	2542.213
46	477.236	2158.178	620.21	3951.465	2945.917	3154.469	557.459	469.154	448.886	2467.761
47	478.008	2329.509	632.884	4004.999	3148.281	3339.693	561.557	488.721	434.706	2393.05
48	459.078	2494.938	617.593	3998.027	3357.489	3515.916	575.318	502.258	426.275	2357.124
49	451.56	2677.823	613.869	3920.568	3566.449	3631.083	616.555	516.07	427.463	2369.442
50	441.935	2839.786	588.541	3799.659	3791.456	3652.861	664.697	526.715	430.184	2451.214
51	432.497	2988.633	574.108	3672.567	3942.773	3609.744	705.846	527.487	435.864	2591.852
52	416.288	3085.128	550.736	3527.668	4051.168	3587.4	754.265	531.144	440.249	2794.455
53	419.036	3148.694	546.868	3458.859	4085.017	3465.028	790.945	526.91	451.175	3013.838
54	414.245	3171.697	548.972	3427.104	4070.906	3364.455	804.847	518.676	457.663	3249.091
55	424.934	3174.745	561.706	3482.516	3963.191	3266.51	804.831	510.084	456.517	3406.791
56	430.427	3158.612	598.496	3592.45	3885.134	3219.216	790.163	500.407	447.956	3524.299
57	445.753	3152.672	660.833	3831.409	3791.755	3221.024	776.385	498.984	442.534	3554.726
58	447.397	3138.563	726.664	4024.859	3729.499	3312.19	736.361	499.988	438.179	3521.047
59	452.587	3172.145	785.183	4279.353	3729.735	3473.813	730.566	502.5	425.259	3443.629
60	451.226	3237.21	852.107	4530.458	3769.667	3680.703	724.311	518.634	420.384	3346.313
61	445.968	3383.382	895.34	4718.025	3892.607	3917.625	728.331	535.178	419.174	3253.853
62	439.507	3532.976	910.257	4829.026	4021.992	4106.217	735.043	544.517	415.25	3160.195
63	427.496	3683.91	913.324	4872.884	4163.02	4249.825	757.511	557.709	419.266	3094.616
64	419.933	3857.098	896.7	4832.189	4370.146	4397.877	795.889	561.78	422.688	3101.996
65	408.894	4040.124	874.135	4741.358	4574.263	4469.327	818.645	564.064	434.628	3141.996
66	401.706	4167.777	836.679	4625.604	4730.377	4440.226	843.889	555.731	442.014	3252.813
67	393.257	4282.995	807.293	4519.318	4837.665	4348.713	854.468	546.588	449.636	3409.709
68	392.125	4415.173	791.951	4400.911	4913.655	4258.174	868.433	542.235	467.685	3583.3
69	386.77	4465.816	775.037	4334.016	4965.641	4165.25	864.665	532.918	479.712	3819.615
70	387.049	4486.309	787.682	4341.868	4915.017	4104.949	860.907	527.94	478.898	3961.079
71	391.59	4444.819	826.093	4458.788	4887.498	4108.492	852.896	531.547	484.246	4109.294
72	403.316	4419.041	895.264	4629.979	4883.81	4161.208	853.625	541.41	479.532	4177.048
73	406.554	4375.147	985.531	4849.928	4856.838	4301.535	847.919	556.361	476.588	4197.42
74	412.63	4379.316	1077.427	5127.342	4861.396	4453.487	847.214	572.677	473.6	4142.704
75	414.458	4423.943	1172.231	5405.062	4960.189	4678.17	853.582	591.605	471.63	4069.636
76	411.567	4536.684	1248.311	5626.896	5022.658	4927.331	864.672	604.452	473.686	3997.812
77	407.031	4626.768	1289.055	5800.64	5092.444	5151.513	860.498	623.884	473.461	3889.979
78	405.242	4701.597	1317.803	5888.744	5277.108	5347.206	865.575	629.264	480.773	3848.179
79	395.637	4875.179	1318.99	5953.933	5493.145	5502.823	881.628	635.977	492.26	3825.317
80	387.956	4948.757	1304.792	5941.089	5674.416	5604.608	885.138	635.2	508.037	3855.951
81	382.479	4984.133	1267.499	5798.129	5823.548	5624.125	901.671	639.171	520.565	3926.106
82	382.488	5000.607	1217.298	5697.606	5900.763	5561.597	904.777	635.699	536.887	4023.624
83	390.079	5003.077	1189.708	5615.518	5934.888	5443.069	904.867	629.272	545.857	4132.303
84	388.018	4936.208	1157.176	5553.931	5886.357	5353.458	907.714	629.788	553.715	4242.082
85	402.386	4914.17	1146.312	5504.382	5837.502	5263.393	906.298	632.899	558.002	4350.95
86	406.552	4825.763	1159.886	5552.467	5808.703	5292.808	900.349	645.103	551.434	4422.278
87	417.956	4713.035	1185.461	5673.135	5787.508	5314.773	894.68	663.122	554.844	4438.525
88	421.571	4602.488	1228.071	5881.453	5756.193	5400.125	892.867	688.403	550.505	4404.464
89	427.549	4593.459	1262.661	6021.573	5823.287	5539.923	904.056	722.025	545.596	4362.349
90	433.03	4573.803	1296.566	6235.229	5901.229	5701.817	903.425	743.658	539.203	4291.744
91	436.592	4619.508	1318.562	6350.062	5995.008	5984.619	923.132	773.52	538.722	4229.869
92	432.217	4643.128	1346.903	6488.268	6143.996	6136.703	928.103	795.859	550.248	4166.402
93	440.877	4741.87	1365.137	6510.263	6264.231	6305.397	940.807	814.026	560.112	4130.158
94	426.28	4783.923	1347.792	6575.688	6359.411	6372.105	965.848	824.552	579.2	4129.417
95	423.74	4763.946	1325.854	6514.855	6435.028	6351.131	972.746	818.557	592.448	4084.521
96	426.288	4709.638	1290.261	6392.368	6382.274	6271.682	985.087	818.548	608.303	4065.102
97	418.898	4712.251	1244.577	6306.958	6331.923	6220.094	998.514	822.075	620.125	4088.283
98	422.627	4570.362	1212.841	6193.134	6232.933	6077.66	1012.734	814.108	627.039	4034.243
99	433.275	4484.323	1170.611	6089.168	6034.616	5922.641	1009.07	812.769	634.507	3996.135
100	436.83	4345.626	1141.254	5932.2	5877.607	5883.968	1018.364	830.684	639.566	3949.326
101	451.25	4183.035	1117.468	5907.305	5727.023	5824.208	1022.564	840.457	634.789	3914.475
102	456.466	4071.004	1084.922	5858.151	5650.257	5813.378	1030.695	870.64	630.374	3850.325
103	465.397	3981.258	1051.616	5826.606	5562.478	5913.213	1057.608	905.544	624.783	3770.119
104	473.087	3899.761	1030.676	5797.01	5464.792	5992.681	1061.466	931.423	614.123	3657.721
105	472.631	3876.348	995.144	5788.679	5389.517	6085.664	1070.207	960.645	604.976	3588.745
106	479.179	3879.271	973.027	5777.385	5417.473	6153.368	1083.861	979.674	615.721	3472.503
107	473.116	3876.793	934.923	5645.466	5547.862	6264.249	1099.33	1013.984	635.611	3431.115
108	470.051	3873.833	905.15	5575.64	5511.572	6243.804	1113.488	1018.063	650.728	3339.048
109	469.285	3939.312	869.223	5471.521	5477.423	6164.48	1136.939	1012.992	677.152	3276.353
110	465.186	3923.764	830.828	5370.18	5455.076	6062.955	1142.818	1012.375	695.059	3237.952
111	462.76	3932.046	793.793	5269.324	5337.586	5830.8	1158.574	998.199	716.197	3169.22
112	464.884	3911.316	761.552	5122.153	5269.145	5767.659	1176.121	1001.18	728.965	3097.974
113	469.088	3873.435	717.17	5036.882	5184.415	5629.127	1198.855	1004.541	735.069	3071
114	469.935	3806.879	694.311	4912.284	5047.295	5453.351	1213.164	1003.377	732.739	2995.868
115	474.192	3683.078	661.228	4789.522	4866.715	5373.46	1229.755	1019.258	734.203	2907.327
116	473.79	3589.868	624.269	4689.745	4763.24	5333.453	1252.835	1045.554	731.557	2836.954
117	481.438	3492.168	594.058	4575.387	4710.271	5263.323	1274.813	1085.146	725.255	2754.987
118	484.23	3443.187	568.68	4480.076	4586.625	5242.352	1288.756	1126.247	722.279	2641.419
119	487.046	3392.713	546.699	4359.239	4544.03	5140.488	1306.608	1162.869	709.418	2540.988
120	483.674	3377.989	521.018	4277.199	4503.62	5141.742	1325.099	1205.694	716.351	2492.164
121	485.693	3420.593	499.582	4174.063	4477.948	5071.802	1328.048	1227.079	721.359	2429.643
122	475.444	3468.01	480.266	4077.958	4415.851	4995.201	1345.402	1240.907	737.841	2350.403
123	474.659	3479.833	458.342	3954.167	4380.631	4851.137	1351.058	1231.161	759.57	2296.959
124	468.874	3527.558	437.01	3848.352	4357.394	4768.599	1353.135	1233.243	768.588	2251.216
125	465.87	3531.92	426.276	3754.204	4288.969	4629.78	1365.199	1215.552	788.272	2197.161
126	467.717	3561.813	408.254	3639.647	4131.228	4457.011	1382.348	1189.822	795.447	2132.353
127	468.273	3552.864	402.495	3525.098	3997.055	4297.555	1390.279	1183.121	796.339	2078.156
128	469.999	3535.666	396.247	3406.469	3923.831	4162.984	1409.244	1175.632	786.958	2034.925
129	467.627	3443.089	383.482	3315.525	3859.476	4089.641	1454.386	1194.879	787.582	1992.022
130	466.377	3344.292	376.43	3205.676	3750.866	3982.838	1479.956	1216.266	782.735	1931.518
