TIME	20180822_W02	20180822_W03	20180822_W04	20180826_W02	20180826_W03	20180826_W04	20180826_W05
76	2656.504	4835.894	3178.983	5746.57	1578.489	4349.758	6822.632
77	2604.23	4745.958	3118.684	5759.899	1630.542	4405.579	6950.673
78	2530.269	4525.271	2979.845	5701.499	1643.883	4299.794	6797.57
79	2473.282	4481.309	2981.59	5536.498	1649.161	4274.453	6996.645
80	2408.666	4355.299	2890.593	5487.334	1638.468	4135.295	6974.287
81	2401.863	4288.444	2837.178	5346.458	1641.501	4070.018	7252.167
82	2319.237	4198.101	2827.926	5322.965	1647.879	3930.968	7417.298
83	2292.876	4137.367	2743.008	5252.112	1646.132	3767.766	7576.497
84	2221.151	4112.695	2736.757	5256.703	1698.221	3681.542	7781.814
85	2159.193	3998.779	2644.129	5290.148	1739.521	3567.047	7885.826
86	2134.714	3913.818	2570.326	5229.487	1795.403	3518.168	8049.046
87	2065.569	3783.047	2528.104	5175.892	1819.948	3387.737	8020.984
88	2013.696	3667.363	2430.487	5002.532	1831.838	3334.326	8048.914
89	1985.692	3615.719	2404.595	4862.32	1849.052	3283.652	8144.689
90	1926.325	3448.053	2319.081	4828.234	1868.899	3196.454	8107.354
91	1905.59	3395.112	2266.596	4676.255	1846.631	3105.63	7940.163
92	1845.247	3282.952	2238.601	4521.455	1834.39	3011.737	7936.43
93	1815.235	3181.388	2137.5	4324.628	1827.487	2931.291	7998.079
94	1804.167	3164.552	2152.467	4279.416	1862.381	2835.237	7841.254
95	1755.071	3077.73	2068.598	4112.554	1890.588	2758.386	7866.101
96	1750.078	3020.727	2052.356	4044.546	1932.95	2662.742	7781.998
97	1730.136	2948.067	1991.198	3880.436	1941.372	2559.221	7606.444
98	1727.686	2945.186	1972.261	3847.286	1985.948	2461.287	7473.403
99	1703.503	2849.588	1925.987	3793.441	2014.305	2437.637	7471.38
100	1702.75	2792.981	1902.36	3652.606	2019.4	2330.543	7346.495
101	1690.293	2746.659	1903.693	3502.858	2007.534	2298.675	7324.007
102	1669.309	2614.475	1825.081	3446.449	2001.297	2214.253	7062.926
103	1671.813	2615.533	1843.511	3336.471	1990.905	2162.086	7063.603
104	1659.921	2538.516	1828.188	3260.584	1976.295	2113.391	6961.449
105	1673.836	2483.816	1808.196	3137.356	1972.021	2080.022	6949.144
106	1672.781	2435.843	1822.731	3069.579	1974.047	1961.789	6675.286
107	1657.612	2361.503	1762.036	2990.757	2036.974	1933.261	6772.753
108	1688.841	2357.012	1771.92	2968.054	2095.109	1885.726	6670.535
109	1673.925	2297.897	1745.842	2856.32	2101.086	1803.055	6519.806
110	1663.171	2246.459	1702.52	2769.022	2094.632	1736.554	6392.764
111	1684.466	2240.99	1723.141	2775.143	2154.675	1703.949	6337.19
112	1641.932	2149.876	1687.356	2715.531	2145.095	1659.542	6366.873
113	1677.323	2136.228	1691.43	2609.133	2090.398	1602.296	6213.16
114	1655.984	2093.423	1716.83	2510.243	2057.427	1566.083	6167.05
115	1646.932	2018.181	1702.931	2475.253	2058.896	1544.513	6153.623
116	1673.601	2001.802	1726.472	2402.319	2033.481	1510.676	6119.513
117	1662.328	1972.114	1752.596	2336.004	2036.969	1484.228	5979.383
118	1669.218	1908.677	1737.974	2274.431	2014.913	1436.762	5866.094
119	1695.359	1915.907	1762.043	2250.915	2056.338	1406.226	5752.125
120	1690.626	1867.123	1766.241	2213.831	2099.899	1402.64	5788.7
121	1692.252	1833.264	1760.932	2153.593	2092.04	1362.867	5591.701
122	1690.995	1811.311	1767.091	2089.33	2090.933	1353.7	5490.517
123	1708.577	1774.835	1737.656	2082.226	2120.838	1362.834	5471.544
124	1706.449	1771.658	1763.79	2027.047	2103.583	1359.223	5368.997
125	1697.692	1743.869	1729.352	1969.3	2063.501	1336.468	5241.285
126	1704.165	1741.439	1724.486	1961.95	2038.327	1315.147	5111.905
127	1674.947	1729.528	1732.224	1937.507	2051.106	1344.462	5191.221
128	1694.256	1714.109	1734.919	1899.271	2004.282	1321.555	5024.488
129	1669.782	1700.798	1749.947	1853.711	1993.343	1311.286	5010.523
130	1683.276	1694.001	1760.217	1857.03	2040.345	1335.072	5058.202
131	1680.621	1711.614	1810.948	1810.324	2032.148	1310.632	4949.738
132	1700.244	1691.925	1795.759	1771.909	2060.112	1321.288	4896.546
133	1682.827	1687.951	1804.77	1785.667	2118.138	1341.548	4835.281
134	1684.655	1674.434	1801.322	1744.619	2095.819	1333.631	4752.628
135	1705.574	1691.253	1812.119	1733.555	2103.673	1333.524	4641.833
