TIME	20171103_W01	20171103_W02	20171103_W03	20171103_W04	20171103_W05	20171103_W06
86	15409.898	23438.172	12429.42	16159.008	7583.782	17699.342
87	15783.521	23887.824	12644.817	16029.282	7516.456	17500.178
88	15661.527	23679.293	12511.29	15979.695	7616.419	17562.566
89	15781.407	23609.518	12419.62	15881.41	7658.004	17114.873
90	16056.014	23677.248	12304.577	15549.814	7567.221	16759.99
91	15819.073	23140.141	12117.323	15380.827	7648.989	16518.777
92	15818.122	22672.914	11812.674	15079.218	7495.919	16354.538
93	15832.918	22431.43	11715.84	15245.158	7663.237	16316.217
94	16023.794	22330.879	11645.071	15053.894	7439.539	15914.713
95	15991.681	21927.818	11480.604	15090.24	7411.677	15952.602
96	15842.191	21724.93	11736.344	15292.466	7565.546	16214.716
97	15916.112	21570.857	11744.255	15032.187	7412.383	16086.41
98	15572.28	21280.271	11918.576	15044.414	7378.79	16038.468
99	15310.406	21168.771	12405.938	15127.047	7580.479	16451.764
100	15332.241	20913.344	12592.39	14854.227	7487.685	16227.875
101	15342.718	20825.139	13078.783	14834.075	7526.707	15954.417
102	14917.63	20189.717	13008.101	14594.303	7558.313	15767.058
103	14856.82	19740.84	12978.246	14328.338	7600.237	15783.401
104	14958.975	19427.898	13160.063	14537.185	7735.179	15488.024
105	14939.276	18799.832	12781.339	14344.757	7606.544	14966.746
106	14781.557	18318.883	12539.269	14206.383	7637.745	14883.128
107	14921.157	17957.391	12438.365	14409.233	7750.086	14701.611
108	15012.631	17529.199	12165.23	14257.624	7723.533	14437.759
109	15155.211	17376.529	12098.104	14269.763	7673.912	13995.902
110	14876.698	16931.002	11876.693	14330.207	7745.707	13947.361
111	14754.106	16674.824	11908.504	14274.436	7720.364	13692.188
112	14747.551	16286.047	11681.79	14027.248	7666.391	13576.672
113	14532.685	15917.276	11625.673	13960.618	7726.186	13702.969
114	14193.887	15387.667	11569.519	13768.058	7851.333	13704.842
115	14151.174	15301.437	11598.512	13517.758	7771.744	13231.739
116	14020.023	14910.124	11613.13	13464.981	7965.329	13222.858
117	13567.93	14288.674	11415.45	13183.812	7995.705	13026.628
118	13633.914	13984.83	11316.206	13086.02	8081.474	12964.958
119	13484.856	13550.508	11028.689	12806.951	8077.438	12691.902
120	13494.166	13240.296	10839.247	12660.802	8075.748	12495.172
121	13453.184	12898.402	10729.187	12674.51	8123.104	12449.346
122	13401.152	12571.139	10594.586	12840.784	8170.101	12222.505
123	13332.468	12207.408	10272.675	12632.395	8087.276	12148.823
124	13216.64	11779.439	10069.494	12709.941	8105.062	11992.906
125	12943.512	11360.697	9897.436	12772.512	8095.675	11865.969
