TIME	20170626_W01	20170626_W02	20170626_W03	20170626_W04	20170626_W05	20170630_W03	20170630_W04	20170630_W05	20170630_W06
58	3494.497	1528.063	3237.265	1732.787	2115.073	4056.554	3536.659	3446.986	3908.354
59	3472.419	1514.678	3181.147	1736.365	2141.432	3944.825	3501.272	3432.384	3923.074
60	3426.575	1516.454	3135.292	1753.991	2145.58	3883.372	3478.443	3422.885	3944.318
61	3385.278	1507.392	3111.649	1767.624	2144.759	3932.06	3447.302	3407.111	3963.501
62	3358.749	1496.573	3115.524	1787.523	2114.436	4041.313	3419.482	3407.483	4033.98
63	3315.952	1504.152	3173.271	1807.399	2114.426	4228.342	3434.247	3401.147	4082.884
64	3297.491	1536.131	3262.145	1817.519	2120.36	4465.642	3488.842	3430.83	4173.704
65	3293.158	1570.994	3350.818	1831.853	2131.178	4715.959	3543.75	3436.191	4219.341
66	3309.884	1611.201	3428.212	1836.033	2149.073	4902.948	3618.913	3464.327	4227.881
67	3358.228	1653.75	3503.529	1819.54	2179.497	5078.857	3709.909	3504.082	4251.927
68	3403.399	1681.696	3566.748	1815.799	2210.322	5185.428	3811.122	3537.677	4295.958
69	3438.423	1719.996	3578.022	1805.637	2245.443	5210.127	3901.957	3543.074	4235.624
70	3427.75	1724.305	3568.506	1781.955	2264.808	5143.287	3979.853	3546.374	4212.438
71	3434.342	1735.065	3533.788	1770.024	2280.159	5051.721	4044.79	3540.494	4120.112
72	3385.668	1725.281	3482.088	1763.668	2304.478	4931.772	4084.408	3529.164	4039.32
73	3326.336	1708.796	3404.421	1754.447	2320.842	4827.33	4136.51	3495.235	3958.917
74	3289.625	1710.868	3352.641	1745.682	2343.083	4784.64	4174.914	3498.587	3889.997
75	3226.465	1699.161	3305.808	1750.865	2346.462	4799.648	4202.875	3486.644	3857.631
76	3165.546	1719.818	3294.158	1758.863	2373.121	4886.056	4233.794	3492.517	3808.878
77	3127.747	1754.878	3289.396	1787.795	2405.562	5009.875	4271.227	3513.253	3820.446
78	3089.588	1790.009	3294.033	1806.509	2408.454	5202.87	4335.516	3575.834	3833.999
79	3057.744	1834.733	3305.365	1834.524	2440.006	5410.579	4398.211	3571.021	3837.935
80	3080.76	1890.188	3316.216	1846.34	2458.468	5638.892	4495.845	3596.41	3855.31
81	3043.243	1924.385	3292.282	1869.977	2464.163	5831.665	4580.449	3611.208	3845.368
82	3031.642	1959.007	3254.006	1891.358	2482.535	5923.34	4680.287	3566.928	3806.878
83	3027.907	1980.051	3231.089	1892.627	2483.031	5976.557	4734.957	3511.686	3733.398
84	2979.275	1964.423	3168.804	1888.312	2482.088	5972.118	4798.345	3456.314	3657.176
85	2930.699	1966.52	3119.408	1887.912	2478.114	5929.89	4834.672	3405.121	3591.232
86	2890.984	1953.076	3071.638	1884.462	2458.864	5846.345	4918.708	3351.729	3522.476
87	2833.445	1922.76	2987.474	1877.758	2450.844	5793.857	4946.365	3309.411	3425.587
88	2784.474	1921.079	2945.494	1876.448	2426.911	5714.216	4992.317	3273.879	3360.398
89	2736.99	1929.889	2908.377	1879.843	2405.121	5714.49	5028.297	3264.85	3307.224
90	2695.351	1920.139	2877.534	1877.776	2394.061	5739.363	5058.817	3262.377	3239.918
91	2645.135	1932.23	2840.88	1877.754	2382.694	5777.76	5087.955	3275.742	3197.248
92	2603.898	1952.752	2809.234	1867.13	2370.656	5908.64	5131.702	3288.102	3155.549
93	2578.511	1984.004	2788.185	1895.27	2359.773	5995.112	5196.46	3298.801	3121.149
94	2543.942	1998.478	2772.032	1897.403	2346.911	6113.562	5229.944	3271.921	3088.504
95	2511.264	2029.967	2736.922	1900.501	2350.682	6185.416	5303.256	3259.01	3055.973
96	2476.967	2022.478	2694.819	1877.536	2316.607	6194.818	5355.038	3207.137	3009.09
97	2418.866	2019.615	2657.162	1886.17	2286.146	6183.214	5388.259	3146.728	2951.728
98	2392.615	2023.125	2652.016	1911.115	2314.526	6147.664	5419.025	3070.818	2883.156
99	2335.344	2005.503	2618.897	1895.438	2278.172	6088.657	5467.756	2997.609	2821.098
100	2273.841	1988.949	2584.547	1875.29	2263.918	6053.971	5508.449	2930.458	2769.937
101	2213.913	1963.097	2549.121	1865.283	2246.674	6013.311	5548.115	2852.01	2698.191
102	2176.54	1959.339	2514.797	1864.682	2215.132	5998.724	5598.403	2826.38	2656.391
103	2111.721	1946.236	2488.557	1844.502	2188.725	5951.616	5606.875	2800.198	2608.451
104	2065.554	1950.194	2456.845	1829.825	2161.92	5964.174	5643.179	2772.899	2569.665
105	2017.022	1961.079	2436.908	1821.989	2159.968	5980.339	5639.018	2769.847	2532.524
106	1972.456	1963.397	2406.322	1811.619	2146.34	5995.674	5645.348	2766.535	2504.132
107	1946.463	1985.213	2394.334	1820.677	2135.146	6015.682	5637.39	2749.673	2480.458
108	1915.98	1994.137	2367.949	1810.917	2109.638	6007.955	5644.429	2746.61	2463.9
109	1874.743	1967.083	2345.216	1810.736	2094.85	5976.272	5608.665	2701.473	2432.802
