TIME	20180324_W03	20180329_W04	20180402_W04	20180403_W02	20180413_W03	20180413_W04
98	9238.002	6627.335	8306.812	14289.476	7959.279	10140.949
99	9825.47	6632.933	8145.267	14120.74	8317.903	9946.299
100	10197.079	6756.025	7720.651	13475.154	8344.567	10106.248
101	9909.954	7007.986	7511.52	12770.895	8600.354	9800.719
102	9959.776	7045.038	7336.465	12032.589	8631.637	9923.753
103	9578.396	7240.758	7862.226	11385.09	8692.599	9976.64
104	9084.746	7212.83	8255.047	10868.202	8316.186	10011.926
105	8470.839	7552.986	8335.074	11129.633	8293.054	9950.38
106	7980.372	7591.164	8391.009	11588.699	7973.323	9886.407
107	7755.94	7891.884	8410.88	12250.345	7782.915	9904.413
108	7715.833	7598.05	8327.57	12920.126	7456.066	9909.029
109	8124.294	7402.822	8138.223	13357.002	7282.515	9724.135
110	8704.097	7394.236	7625.913	13773.034	7088.168	9678.398
111	9605.808	7222.211	7456.391	14043.779	6962.015	9513.285
112	10387.702	6811.985	7050.18	13838.479	7001.722	9290.442
113	10400.752	7021.693	6841.459	13581.812	7099.99	9098.041
114	10611.61	6837.824	6555.929	12924.742	7181.218	9031.737
115	10140.829	6980.03	6501.961	12410.638	7148.472	8946.605
116	9848.401	7076.603	6471.39	11753.91	7258.655	9016.366
117	9521.44	7318.163	6509.906	11183.796	7327.916	8935.374
118	9017.764	7560.479	6796.67	10628.378	7360.01	8945.825
119	8746.028	7845.128	6756.353	10528.271	7212.932	8697.076
120	8402.739	8035.651	6984.054	10880.088	7124.94	8520.735
121	8568.104	8249.816	6945.798	11073.358	7012.334	8306.471
122	8984.368	8202.122	6814.777	11540.936	6947.625	8113.463
123	9818.297	8305.383	6545.476	12033.501	6708.411	7918.346
124	10700.734	8145.919	6612.508	12449.436	6643.602	7772.723
125	11660.739	7817.56	6528.598	12454.052	6612.482	7542.14
126	12075.185	7481.029	6345.001	12295.646	6696.748	7377.203
127	12439.674	7332.538	6398.481	12221.341	6568.906	7273.293
128	12382.353	7302.589	6228.324	12140.891	6792.65	7147.085
129	11811.965	7152.413	6412.267	11567.6	6948.754	6985.769
