TIME	20180415_780_W06	20180415_780_W07	20180421_DB_W09	20180421_DB_W12	20180421_NLO_W05	20180429_DB_W08
98	10621.721	6337.62	7334.615	8029.538	12354.031	5729.719
99	10982.922	6505.253	7222.081	7951	12600.316	5661.648
100	11491.39	6448.875	7236.824	7846.104	12832.568	5996.994
101	11607.611	6210.639	7289.462	8042.63	12892.658	5957.093
102	11889.507	6281.667	7374.326	7713.811	12893.261	5770.567
103	11728.753	6624.994	7235.496	7514.547	13104.942	5780.901
104	11970.934	6674.633	7370.259	7486.117	13440.734	5839.052
105	11360.321	6775.835	7408.683	7292.925	12892.795	5567.009
106	11211.55	7003.329	7652.391	7051.609	12648.991	5405.486
107	10950.332	7054.876	7645.807	7204.061	11856.151	5262.772
108	10427.378	7250.033	7735.657	6892.711	11347.887	5201.083
109	10129.353	7625.451	7694.855	6893.743	11197.266	4984.166
110	9649.437	7615.96	7420.933	7191.671	10533.717	4823.364
111	9345.331	7909.516	7457.933	7275	10341.202	4772.113
112	9009.232	7946.034	7384.719	7032.902	10073.884	4751.734
113	8792.706	8101.604	7308.452	7359.166	9816.316	4787.673
114	8572.562	8219.896	7452.811	7430.946	9460.714	4810.721
115	8862.543	8311.218	7630.365	7382.566	9765.203	4763.883
116	9452.815	8484.486	7525.297	7435.146	9650.578	4767.633
117	9908.801	8369.376	7764.58	7470.336	10291.394	4726.072
118	10662.591	8756.727	7844.339	7519.954	10286.766	4666.398
119	11346.13	9029.693	7936.379	7480.348	10935.192	4598.662
120	11894.875	9326.505	7923.392	7379.252	10955.633	4514.638
121	12524.207	9433.663	8113.734	7405.838	11798.615	4567.568
122	12978.81	9854.474	7800.708	7552.2	11113.53	4402.324
123	13471.537	10092.238	7923.51	7543.436	10975.148	4401.226
124	13409.551	9745.146	7558.026	7882.059	11488.827	4366.218
125	13264.368	9835.054	7400.312	7817.044	11923.254	4290.973
126	13197.436	9607.329	7204.915	7208.919	10531.372	4310.084
127	12834.004	9571.525	6817.126	7137.11	10606.217	4344.745
128	12589.73	9178.896	6619.338	7249.135	11439.386	4214.844
129	12048.472	8642.212	6521.74	7254.012	10771.945	4207.662
