TIME	20180119_W02	20180119_W03	20180119_W04	20180119_W05	20180127_DB_W02	20180127_DB_W03	20180127_DB_W04	20180127_DB_W05	20180518_W02	20180518_W03	20180518_W04	20180518_W05	20180518_W06	20180519_W07	20180519_W02	20180519_W03	20180519_W04	20180519_W05	20180519_W06	20180519_W07
26	6548.455	2753.671	3354.541	13339.884	2713.499	2287.635	1262.839	2265.791	4846.174	7519.284	5306.929	6222.472	6377.889	9689.841	1768.689	4307.426	5228.659	3605.778	5231.606	5239.915
27	6601.08	2747.697	3500.007	13195.655	2743.885	2279.209	1261.309	2280.7	5149.629	7426.183	5503.676	6853.528	6746.723	9784.118	1794.645	4511.346	5170.33	3603.317	5371.8	5592.993
28	6796.358	2772.802	3692.283	13020.237	2809.86	2309.199	1338.859	2366.714	5472.616	7324.108	5681.702	7590.551	7244.745	9760.802	1850.444	4734.163	5139.171	3517.718	5307.875	5856.587
29	6931.623	2728.028	3817.153	12763.188	2802.094	2274.897	1389.091	2363.884	5601.979	7289.266	5856.902	8202.309	7778.633	9722.862	1896.841	5112.754	5458.237	3588.772	5320.093	6309.463
30	7120.675	2683.807	3968.469	12990.129	2787.219	2250.309	1423.249	2367.412	5572.414	7349.251	5958.456	8441.785	8074.227	9317.774	1944.999	5449.27	5877.626	3594.05	5228.664	6587.839
31	7405.566	2667.571	4064.868	13603.875	2750.198	2173.172	1413.327	2283.691	5540.914	7494.389	6100.512	8625.526	8537.413	9163.165	1942.938	5686.196	6379.717	3624.156	5093.138	6829.657
32	7701.604	2680.821	4142.329	14493.789	2742.837	2176.126	1427.46	2265.952	5341.635	7706.82	6132.646	8492.1	8793.369	9034.319	1952.202	5823.598	6827.963	3786.503	4930.153	6958.959
33	8261.545	2778.28	4218.673	15372.777	2764.675	2212.534	1447.12	2254.083	5246.395	8232.196	6394.494	8315.957	8872.327	9053.359	2034.998	6168.303	7351.993	4177.099	4908.707	7147.476
34	8832.825	2856.382	4217.342	16374.292	2837.427	2314.742	1448.879	2292.599	5057.034	8760.041	6569.548	8090.396	8919.673	9520.824	2026.989	6221.456	7538.742	4498.244	4896.096	7188.483
35	9463.215	3021.218	4244.203	16955.621	2919.152	2442.376	1453.296	2319.026	5029.086	9132.059	6726.666	7841.516	8567.758	9894.511	2040.998	6167.376	7604.482	4837.627	5061.145	7256.79
36	9951.556	3095.305	4180.967	17073.424	3034.062	2608.055	1447.696	2406.843	5090.075	9540.333	7040.64	7697.258	8489.365	10635.56	2051.99	6094.309	7522.61	5160.243	5392.392	7345.979
37	10273.486	3151.31	4188.261	16966.197	3144.959	2743.996	1438.095	2500.738	5331.539	9864.046	7240.426	7762.918	8358.641	11202.643	2116.899	6029.659	7309.301	5327.707	5827.293	7456.596
38	10420.55	3222.545	4269.583	16998.959	3264.652	2875.649	1428.891	2609.095	5773.731	10271.462	7653.203	8259.225	8495.292	11689.585	2178.136	6022.066	7089.044	5430.247	6226.928	7570.833
39	10465.476	3267.123	4320.783	16571.824	3365.952	2943.389	1408.404	2708.511	6133.622	10298.604	7828.838	8900.771	8686.552	12250.622	2240.907	6099.812	7013.649	5448.066	6741.067	7840.099
40	10521.461	3281.589	4518.006	16255.786	3460.07	2972.131	1408.096	2824.217	6680.408	10284.993	7809.823	9610.116	8751.111	12177.729	2303.402	6260.831	6909.569	5376.761	6979.14	8012.013
41	10700.168	3281.197	4678.686	15902.38	3528.917	2946.149	1406.349	2933.92	7187.897	10270.929	7744.057	10312.703	9069.864	12267.121	2435.932	6643.845	7136.68	5376.589	7252.457	8384.436
42	10816.405	3259.96	4764.727	15630.574	3566.371	2886.754	1408.373	2990.206	7463.992	10141.659	7624.638	10716.104	9333.126	12136.967	2470.201	6873.7	7391.027	5238.884	7203.967	8542.726
43	10722.033	3253.794	4829.186	15821.357	3642.196	2884.289	1485.346	3100.64	7743.116	10400.141	7565.627	10991.525	9500.005	11768.92	2572.926	7317.881	8049.532	5279.152	7268.279	8944.563
44	11129.752	3245.612	4871.394	16344.53	3681.655	2829.222	1511.407	3133.502	7816.816	10616.363	7524.278	11213.934	10007.211	11736.742	2620.224	7630.695	8622.455	5340.937	7087.212	9158.937
45	11370.391	3237.984	4890.301	17251.594	3683.563	2815.688	1545.852	3163.954	7569.713	10713.26	7422.255	11066.596	9984.788	11191.724	2681.386	7910.741	9056.169	5428.308	6807.16	9120.486
46	11902.291	3330.839	4867.356	18144.268	3678.482	2762.671	1496.061	3116.877	7455.469	11157.469	7439.783	10839.57	10184.077	11250.294	2736.516	8017.964	9449.751	5853.204	6804.674	9494.5
47	12421.641	3446.462	4810.492	18710.518	3724.253	2808.489	1502.67	3079.816	7351.916	11575.682	7521.534	10462.717	10048.89	11264.633	2823.452	8021.679	9491.648	6186.613	6669.793	9513.516
48	13019.606	3620.455	4747.321	19174.967	3759.268	2871.075	1510.364	3116.646	7303.488	12304.55	7916.664	10400.38	10054.65	11596.93	2906.409	7789.804	9295.165	6516.283	6670.827	9517.872
49	13356.933	3792.588	4734.784	19545.893	3819.147	2998.565	1524.92	3129.483	7367.79	12740.532	8218.708	10399.654	10167.066	12515.297	3122.534	7995.538	9272.322	7074.311	7016.59	9673.688
50	13562.441	4011.43	4836.131	19918.895	3896.482	3144.956	1506.227	3179.914	7419.591	12846.7	8533.585	10471.408	10111.753	13196.829	3274.833	7945.733	8981.041	7366.148	7346.77	9666.343
51	13498.924	4205.004	4944.39	19861.588	3997.919	3307.545	1501.323	3283.004	7836.168	13149.071	9051.922	10974.887	10283.851	13752.84	3380.731	7845.217	8689.118	7534.783	7717.327	9427.897
52	13642.27	4358.716	5103.389	19848.09	4082.601	3412.653	1496.545	3364.107	8209.232	13116.03	9357.886	11504.684	10337.253	14452.937	3503.829	7895.937	8538.968	7678.374	8404.559	9482.392
53	13706.159	4443.38	5231.17	19423.092	4217.022	3471.657	1505.658	3448.234	8781.348	13439.705	9694.433	12304.793	10497.953	14721.413	3593.988	8002.387	8475.178	7706.121	8925.719	9618.239
54	13270.702	4345.583	5243.362	19110.4	4368.001	3503.681	1510.599	3514.186	9145.906	13513.058	9943.024	13256.899	10974.262	15090.646	3681.336	8313.438	8736.433	7757.056	9257.787	9390.578
55	13264.536	4361.175	5344.024	19038.836	4494.508	3484.922	1513.513	3536.161	9386.239	13231.896	10105.243	13993.805	11295.23	15204.679	3725.062	8549.552	9134.381	7733.773	9663.498	9714.234
56	13061.168	4222.234	5341.104	19420.963	4586.575	3416.062	1513.791	3564.679	9618.053	13311.474	9974.824	14293.847	11392.731	14990.589	3712.588	8837.844	9593.343	7688.168	9695.29	9782.451
