TIME	20190501_W01	20190501_W02	20190501_W03	20190501_W04	20190501_W06	20190503_W01	20190503_W02	20190503_W03	20190503_W04	20190503_W05
53	4566.326	5686.769	3526.933	3554.078	2796.464	4822.825	2857.889	3896.948	2798.241	662.229
54	4450.772	5563.886	3631.007	3711.293	2780.234	4677.726	2849.783	4057.29	2773.141	638.481
55	4313.657	5443.418	3657.709	3820.868	2769.54	4525.92	2776.474	4179.949	2737.06	606.285
56	4179.209	5217.826	3646.563	3807.295	2808.609	4434.487	2702.124	4232.292	2784.012	617.663
57	4115.79	4993.869	3618.014	3817.784	2861.342	4297.111	2678.512	4220.839	2831.321	640.678
58	4098.293	4806.183	3574.9	3722.652	2970.403	4362.473	2599.177	4111.471	2863.324	633.688
59	4076.321	4685.769	3549.442	3617.516	3098.912	4426.541	2570.158	3926.074	2922.321	652.784
60	4196.727	4654.562	3526.407	3489.026	3189.425	4619.871	2612.585	3754.372	3009.549	668.519
61	4413.018	4792.991	3546.338	3457.881	3366.229	4889.154	2732.43	3593.196	3052.055	656.158
62	4599.072	5055.27	3610.664	3463.047	3484.951	5137.705	2832.371	3489.616	3055.032	651.031
63	4788.423	5353.641	3682.033	3584.837	3502.71	5481.568	3110.191	3446.386	3084.782	656.854
64	4923.917	5771.708	3867.502	3676.756	3577.294	5735.595	3349.533	3498.322	3079.359	640.382
65	5028	6049.62	3975.054	3807.115	3665.18	5952.1	3648.483	3606.742	3089.189	625.186
66	5044.412	6242.183	4109.359	4002.88	3648.14	6040.588	3842.823	3857.016	3092.67	604.522
67	5054.333	6407.196	4210.685	4114.401	3609.694	6015.906	3979.993	4081.739	3044.026	599.904
68	4968.508	6404.785	4264.816	4258.725	3573.611	6035.259	3995.734	4302.537	3020.514	576.294
69	4942.182	6221.444	4224.687	4302.599	3532.25	5986.344	4032.999	4500.064	3022.854	581.853
70	4929.133	6233.683	4214.435	4294.912	3584.399	5809.591	4000.312	4585.599	3052.726	586.605
71	4921.264	6068.75	4178.543	4273.975	3714.202	5760.601	3930.389	4551.27	3096.663	614.108
72	4909.633	5835.834	4132.96	4206.233	3729.14	5659.741	3969.655	4501.818	3146.508	630.819
73	4976.623	5813.442	4100.953	4198.056	3763.951	5697.323	3760.015	4372.442	3122.942	622.951
74	5074.373	5761.309	4005.723	4189.812	3902.431	5678.572	3750.359	4214.701	3127.691	619.279
75	5169.137	5873.71	4030.39	4205.807	3953.196	6035.955	3764.625	4129.838	3142.545	637.455
76	5293.478	6205.211	4057.301	4197.116	3988.019	6368.587	3723.583	3963.592	3132.987	644.246
77	5353.826	6590.316	4117.264	4259.378	4044.81	6696.927	3868.687	3863.848	3098.138	631.118
78	5319.383	7072.653	4191.206	4310.07	3994.894	6794.818	4021.017	3839.053	3084.512	590.273
79	5363.206	7471.011	4270.25	4492.213	3962.623	7139.499	4207.426	3934.383	3052.194	591.366
80	5319.31	7826.458	4340.093	4608.599	3944.138	7207.593	4347.058	4028.475	3036.94	592.574
81	5235.655	8076.466	4331.567	4701.321	3915.69	7173.485	4505.979	4192.703	3008.268	595.238
82	5231.432	8112.694	4332.624	4766.828	3884.355	7168.565	4637.705	4375.171	2994.303	576.274
83	5158.477	8192.617	4399.309	4839.11	3868.716	7109.799	4678.897	4550.95	2968.234	588.262
84	5078.287	8039.552	4350.354	4813.547	3840.823	6941.062	4673.065	4699.406	2977.029	598.029
85	5095.894	8010.593	4305.576	4789.368	3818.241	6755	4701.251	4716.932	2946.965	597.588
86	5047.873	7805.738	4307.008	4786.189	3802.562	6575.372	4728.065	4733.849	2928.025	616.503
87	5075.495	7661.795	4287.062	4720.081	3754.576	6514.011	4659.521	4717.853	2879.143	653.577
88	5055.058	7673.56	4259.674	4695.426	3686.443	6474.755	4608.73	4678.026	2867.164	686.99
89	5115.435	7714.999	4284.119	4647.083	3643.365	6467.641	4555.885	4538.631	2833.473	720.169
90	5072.528	7787.372	4215.573	4612.198	3573.702	6479.942	4486.09	4375.52	2775.455	727.336
91	5010.572	7897.075	4199.021	4577.926	3499.151	6452.762	4429.392	4277.203	2702.552	714.929
92	4984.11	8070.704	4197.193	4621.188	3431.777	6480.145	4329.851	4169.206	2659.063	701.491
93	4881.327	8126.923	4104.044	4616.128	3334.647	6460.004	4267.816	4132.757	2621.495	698.783
94	4784.579	8092.312	4068.39	4620.156	3275.609	6462.801	4163.301	4077.159	2577.826	692.313
95	4702.351	8206.991	4063.378	4622.075	3221.419	6332.875	4129.717	4095.758	2544.993	677.44
96	4519.688	8077.227	4026.558	4594.86	3156.75	6097.201	4040.741	4088.555	2509.673	661.657
97	4458.544	7883.745	3936.947	4522.322	3098.469	5975.317	3927.828	4206.802	2489.38	642.878
98	4475.04	7893.932	3926.826	4459.869	3048.798	5757.181	3808.469	4202.194	2465.593	641.807
99	4416.694	7597.992	3864.56	4391.793	2998.266	5602.757	3721.77	4168.737	2419.957	643.901
100	4369.875	7459.087	3799.13	4314.893	2942.264	5365.524	3631.924	4183.846	2385.39	645.168
101	4439.549	7437.917	3798.91	4213.578	2920.995	5197.305	3502.106	4107.118	2350.298	658.989
102	4387.408	7217.222	3779.925	4184.744	2869.034	5012.381	3406.433	4049.116	2309.281	667.22
103	4345.404	7092.668	3746.639	4090.878	2785.595	4858.957	3298.589	3947.389	2271.186	678.564
104	4356.855	7123.239	3702.085	3976.767	2774.513	4719.203	3184.908	3817.333	2240.392	683.982
105	4245.576	6932.004	3663.125	3947.002	2682.542	4542.058	3088.379	3693.616	2201.771	688.586
106	4193.898	6869.293	3557.001	3826.501	2658.751	4459.931	2991.173	3638.139	2186.964	707.246
107	4127.963	6802.932	3530.689	3803.274	2641.887	4325.509	2938.825	3578.294	2155.054	707.504
108	4022.932	6728.65	3444.592	3684.046	2577.857	4178.871	2873.431	3495.215	2127.866	709.917
109	3960.904	6553.113	3421.342	3667.408	2568.02	4049.348	2768.941	3405.546	2103.919	682.79
110	3947.739	6395.543	3381.049	3613.69	2545.363	3908.73	2680.151	3337.282	2090.266	661.206
111	3930.097	6224.525	3298.528	3489.769	2495.982	3746.584	2605.433	3248.891	2096.95	664.389
112	3948.466	6033.67	3298.03	3443.939	2446.449	3606.522	2517.299	3180.67	2064.132	646.009
113	3966.832	5883.823	3249.16	3392.913	2443.323	3447.576	2440.635	3119.314	2057	647.116
114	3956.968	5695.921	3213.916	3289.102	2418.898	3335.292	2403.407	3034.462	2042.169	651.353
115	3944.133	5602.181	3194.126	3278.128	2375.236	3201.156	2352.251	2935.281	2019.422	676.45
116	3925.083	5478.846	3164.478	3212.626	2357.007	3061.194	2271.531	2851.446	1998.289	693.194
117	3899.401	5384.911	3151.192	3163.731	2327.715	2942.473	2251.676	2798.586	1987.962	706.915
118	3871.5	5395.13	3115.5	3094.96	2293.235	2842.214	2213.946	2684.978	1961.57	724.635
119	3803.912	5303.648	3058.392	3040.333	2284.94	2735.117	2173.17	2600.477	1932.695	739.756
120	3713.591	5214.131	3037.166	3027.609	2267.954	2673.819	2119.845	2528.664	1926.141	744.854
121	3724.301	5195.085	3018.904	2992.657	2284.233	2561.821	2075.778	2452.157	1915.328	755.545
122	3688.429	5069.895	2985.499	2992.233	2265.342	2494.955	2032.653	2389.76	1921.358	751.598
123	3664.762	5011.146	2980.991	2997.434	2243.786	2413.569	2025.955	2330.266	1926.525	753.259
124	3757.403	5011.368	2994.927	2999.072	2270.954	2346.423	1975.448	2300.416	1934.243	748.324
125	3719.227	4871.058	2977.942	2970.19	2229.247	2268.862	1966.329	2256.563	1942	764.854
126	3777.627	4754.731	2956.009	2961.351	2207.57	2209.579	1908.658	2183.792	1941.415	735.424
127	3791.473	4699.186	2975.67	2964.33	2192.09	2130.316	1874.319	2124.037	1926.798	716.313
128	3785.439	4638.932	2936.992	2946.327	2183.507	2061.688	1870.053	2055.772	1912.953	723.264
129	3747.116	4618.897	2969.526	2922.067	2167.749	1961.977	1881.202	1986.65	1909.817	728.317
130	3692.737	4550.405	2954.118	2912.69	2180.003	1916.786	1878.882	1936.499	1905.273	732.779
131	3609.047	4571.626	2942.848	2881.234	2147.618	1853.395	1865.452	1886.214	1899.022	751.787
132	3634.068	4572.07	2934.059	2841.22	2165.676	1811.27	1857.628	1849.37	1884.927	772.808
133	3553.468	4570.419	2916.355	2850.244	2131.384	1779.223	1858.861	1794.039	1864.93	786.367
