TIME	20190410_W06	20190410_W07	20190410_W08	20190410_W09	20190410_W10	20190417_W06	20190417_W07	20190417_W09	20190417_W10	20190417_W11	20190429_W06	20190429_W07	20190429_W09	20190429_W10
41	2928.193	1407.878	2851.817	3612.314	1623.412	2920.123	1882.449	1018.897	2670.887	499.914	682.267	538.758	3040.623	860.311
42	2902.624	1391.64	2878.906	3487.691	1620.156	2887.506	1862.165	1000.704	2663.288	495.64	693.602	526.259	2933.015	853.121
43	2854.005	1354.075	2878.171	3362.217	1632.17	2811.72	1853.19	977.402	2667.151	488.232	681.425	510.463	2770.714	830.499
44	2780.358	1320.977	2880.355	3219.781	1669.785	2717.459	1831.224	959.252	2635.135	486.011	696.272	519.483	2672.928	812.595
45	2694.6	1294.108	2900.981	3111.719	1761.514	2616.584	1868.954	951.943	2635.698	508.068	685.848	507.687	2597.994	808.71
46	2615.54	1280.79	2932.227	3033.38	1844.436	2548.082	1961.264	962.411	2618.053	499.178	691.15	528.383	2587.164	804.667
47	2521.509	1246.247	2982.689	3019.616	1983.433	2489.544	2075.303	979.105	2600.556	511.195	690.648	541.179	2633.123	825.005
48	2454.282	1225.907	3038.051	3073.598	2072.739	2457.505	2201.562	998.437	2593.875	494.037	712.828	559.053	2742.614	850.714
49	2407.153	1225.867	3107.292	3166.178	2161.476	2456.776	2343.041	1021.713	2583.752	503.789	715.175	563.316	2861.905	887.685
50	2408.324	1245.352	3170.069	3305.747	2211.086	2556.125	2493.017	1075.856	2579.516	522.092	748.84	571.184	2965.198	921.261
51	2422.512	1278.162	3231.159	3391.362	2231.832	2634.545	2596.331	1104.119	2581.28	537.282	769.466	565.301	3005.648	943.883
52	2449.63	1307.192	3218.537	3455.96	2183.01	2691.833	2614.643	1143.722	2598.589	552.029	784.464	563.421	2970.911	950.053
53	2485.092	1314.38	3225.236	3444.546	2146.47	2748.257	2622.036	1164.772	2572.166	564.015	785.111	549.597	2935.904	951.457
54	2500.933	1322.664	3177.925	3363.388	2090.596	2788.898	2585.894	1167.471	2595.42	570.127	786.572	547.09	2849.015	936.295
55	2526.156	1327.935	3127.219	3298.786	2033.653	2787.979	2531.071	1153.402	2603.415	579.511	771.507	539.5	2761.054	917.74
56	2541.967	1316	3100.626	3228.238	1992.678	2792.921	2464.253	1150.414	2620.299	584.668	757.291	528.778	2653.162	886.591
57	2512.092	1306.032	3077.493	3147.499	1968.912	2757.888	2377.317	1160.49	2638.702	606.986	737.415	530.329	2610.875	881.606
58	2554.156	1319.613	3140.243	3089.881	1966.518	2747.728	2339.378	1157.667	2677.772	623.358	736.516	538.055	2570.939	881.867
59	2571.021	1312.936	3221.551	3095.043	2001.229	2735.636	2285.007	1144.57	2707.028	613.057	738.258	554.823	2606.751	894.637
60	2612.094	1312.588	3373.79	3122.082	2061.666	2692.07	2307.641	1140.081	2724.546	591.521	765.576	562.736	2722.788	929.425
61	2654.754	1327.211	3524.146	3196.698	2155.127	2671.535	2347.544	1150.219	2739.974	594.847	798.959	575.054	2821.576	973.278
62	2685.906	1347.389	3663.633	3301.005	2230.629	2687.431	2414.219	1170.787	2741.667	614.823	842.817	580.006	2934.4	1015.437
63	2718.248	1361.937	3759.375	3353.546	2301.902	2674.655	2471.45	1170.54	2730.57	625.916	881.677	599.546	3007.411	1033.867
64	2764.007	1367.315	3749.601	3373.527	2334.837	2675.696	2517.505	1191.983	2722.839	623.663	913.981	609.258	3025.783	1059.658
65	2740.467	1377.922	3739.435	3355.479	2337.79	2662.794	2509.576	1206.9	2684.649	635.627	925.333	593.115	2976.931	1050.903
66	2700.803	1365.271	3675.127	3313.934	2316.384	2659.691	2527.112	1222.39	2663.718	635.334	925.912	594.77	2915.208	1049.136
67	2716.139	1353.831	3571.972	3256.732	2282.699	2627.459	2487.192	1211.887	2649	642.182	916.764	588.511	2815.358	1020.633
68	2664.292	1352.376	3467.933	3235.129	2282.385	2593.622	2444.75	1215.838	2622.643	654.382	899.235	575.608	2699.654	989.49
69	2639.008	1336.501	3368.056	3165.821	2285.307	2580.01	2404.091	1236.814	2639.373	681.078	883.493	564.283	2644.043	998.964
70	2629.876	1329.702	3317.368	3166.186	2315.388	2605.816	2363.312	1276.717	2670.262	682.741	869.528	592.672	2630.972	1001.941
71	2658.198	1331.946	3306.138	3192.644	2375.406	2648.902	2344.154	1290.538	2702.323	691.235	876.131	601.126	2653.676	1030.217
72	2713.44	1351.633	3386.25	3277.902	2464.189	2722.923	2322.37	1316.16	2781.828	668.765	890.311	614.656	2703.3	1062.728
73	2802.892	1385.137	3488.647	3411.381	2577.694	2790.048	2315.968	1330.881	2839.141	675.314	910.182	620.248	2796.891	1115.644
74	2843.213	1414.996	3626.556	3544.678	2663.277	2860.987	2331.951	1370.518	2888.129	677.6	964.285	640.351	2894.847	1170.765
75	2965.563	1464.439	3718.366	3631.701	2717.824	2903.709	2344.665	1381.349	2937.457	678.905	1003.448	654.67	2986.1	1205.233
76	3099.896	1504.794	3747.95	3672.539	2767.842	2945.866	2342.068	1403.295	2977.406	682.619	1037.008	654.497	3041.484	1223.838
77	3120.233	1528.343	3781.368	3719.554	2776.162	2970.174	2347.978	1405.479	2974.851	678.288	1062.337	663.647	3052.012	1235.055
78	3257.21	1541.984	3776.76	3706.383	2776.13	2956.186	2328.227	1393.85	2981.836	694.859	1062.454	664.228	2989.992	1214.259
79	3222.416	1532.698	3725.868	3647.769	2763.297	2931.515	2302.527	1363.757	2967.752	694.802	1050.96	655.803	2953.747	1204.122
80	3260.25	1536.082	3687.082	3626.746	2734.563	2895.98	2273.667	1334.833	2939.254	712.496	1036.108	656.39	2881.595	1187.735
81	3236.603	1531.849	3659.577	3625.455	2780.535	2855.751	2262.885	1324.571	2948.689	740.282	1016.817	642.967	2863.657	1185.429
82	3295.957	1543.692	3638.733	3659.995	2824.876	2873.827	2278.358	1319.724	2970.95	768.539	987.972	652.201	2871.075	1204.342
83	3324.988	1560.629	3667.064	3760.638	2942.838	2922.119	2261.052	1339.044	2992.333	782.342	968.675	657.131	2881.636	1238.361
84	3388.486	1568.363	3763.24	3882.45	3084.732	2925.138	2268.099	1339.477	3023.419	765.016	964.614	677.589	2946.53	1273.534
85	3431.503	1594.697	3854.901	4033.476	3257.835	2964.57	2301.882	1324.53	3086.515	777.98	968.477	691.021	3073.031	1342.526
86	3478.805	1643.368	3964.565	4201.659	3474.311	3073.706	2320.724	1354.601	3141.29	774.123	992.861	710.115	3200.458	1405.032
