TIME	20180127_LSM780_W02	20180127_LSM780_W04	20180127_LSM780_W05	20180127_LSM780_W06	20180127_LSM780_W07	20180203_NLO_W02	20180203_NLO_W04	20180203_NLO_W05	20180324_W02	20180324_W03	20180324_W04	20180329_W02	20180329_W03	20180329_W04	20180329_W05	20180329_W07	20180402_W02	20180402_W03	20180402_W04	20180402_W05	20180402_W06	20180402_W07	20180403_W02	20180403_W05	20180403_W06	20180413_W02	20180413_W03	20180413_W04	20180414_NLO_W02	20180414_NLO_W03
88	10386.679	9359.853	5645.827	6043.125	8515.918	6250.752	6126.641	2823.769	3805.437	5688.489	1525.68	7329.459	4339.715	8497.024	7109.448	5129.542	10327.561	5822.3	12461.174	4308.222	2329.192	5289.117	13586.521	7592.096	8045.288	3964.397	13440.937	13032.294	9571.53	4932.939
89	10112.2	9069.529	5427.029	5954.378	8274.181	6147.623	6070.713	2829.376	3837.211	5753.549	1561.136	7234.453	4302.393	8405.51	7089.48	5109.555	10425.207	5899.706	12423.792	4398.342	2397.096	5340.538	13468.127	7703.651	7859.71	3911.524	13590.447	13069.679	9682.604	5011.283
90	10024.442	9038.197	5361.489	6048.297	8284.644	6048.424	5829.955	2749.683	3948.265	5793.719	1571.529	7143.622	4310.596	8294.155	7142.037	5071.19	10114.23	5741.797	12092.348	4307.413	2410.055	5298.694	13144.676	7812.637	7748.202	3888.397	13753.073	13267.945	9893.004	5103.402
91	9857.302	8836.054	5147.76	5920.632	8058.698	5978.989	5793.494	2716.829	3997.508	5718.047	1572.475	7001.805	4237.101	8275.023	7191.209	5087.136	10328.842	5852.705	12271.46	4479.528	2545.819	5451.195	12931.684	7873.465	7620.762	3887.438	13921.433	13506.139	10132.698	5212.927
92	9604.581	8711.97	5016.685	5916.243	8054.67	5918.055	5755.74	2715.923	4166.678	5835.394	1593.308	6952.811	4190.919	8328.569	7231.497	5050.347	10069.517	5694.237	12164.135	4457.737	2598.827	5389.515	12727.95	7898.516	7648.339	3899.954	13946.134	13592.396	10487.609	5300.322
93	9609.678	8670.953	4892.037	5782.346	7970.843	5778.392	5632.209	2687.324	4267.818	5871.891	1591.676	6952.309	4128.833	8400.276	7285.4	4987.95	9842.987	5545.419	12082.412	4498.944	2698.436	5463.955	12723.192	7899.959	7651.113	3961.23	13968.523	13671.357	10644.49	5295.396
94	9392.725	8472.599	4752.666	5800.879	8010.299	5751.303	5582.148	2699.229	4328.066	5944.497	1608.254	7008.915	4049.141	8477.953	7322.628	4911.593	9878.409	5526.377	12177.313	4640.098	2799.745	5510.014	12821.342	7781.94	7689.112	4080.437	13913.601	13734.667	10909.16	5375.451
95	9518.277	8476.3	4722.715	5894.186	8095.825	5770.167	5624.051	2790.849	4391.575	6032.01	1642.087	7087.481	3969.055	8536.582	7349.663	4806.696	9482.668	5291.711	11927.206	4641.397	2854.433	5450.314	12967.632	7675.663	7771.104	4235.268	13764.756	13671.898	10977.474	5424.645
96	9316.528	8181.027	4511.482	5758.133	7927.528	5603.884	5551.858	2856.192	4362.64	5983.217	1655.539	7183.526	3862.826	8560.437	7285.092	4705.135	9412.37	5286.99	12254.099	4850.387	2960.075	5585.591	13204.172	7587.021	7883.395	4436.461	13553.354	13519.06	10910.65	5420.704
97	9333.231	8140.868	4464.25	5861.215	8027.91	5431.397	5527.024	2925.588	4426.152	6123.415	1721.385	7302.089	3792.618	8503.992	7149.879	4564.92	9272.737	5265.132	12198.257	4867.687	2955.657	5576.901	13431.737	7504.476	8018.436	4619.898	13375.786	13411.438	11054.294	5534.006
98	9169.893	7875.608	4312.227	5755.022	7820.521	5404.085	5508.647	2960.065	4326.35	6098.334	1745.493	7454.942	3697.464	8364.151	6995.105	4457.365	8990.577	5246.866	12094.388	4886.003	2968.551	5631.563	13749.749	7427.777	8128.54	4767.609	13104.749	13206.399	10980.789	5488.67
99	9136.326	7755.132	4251.165	5784.243	7802.352	5242.855	5511.17	3032.278	4256.43	6074.179	1765.171	7603.399	3632.144	8226.099	6806.98	4401.57	9048.844	5503.96	12352.329	5028.494	3001.444	5823.819	14187.806	7379.826	8245.428	4901.03	12955.452	13070.86	11127.812	5571.559
100	8990.514	7634.162	4139.532	5647.697	7641.762	5124.268	5454.297	3017.183	4204.434	6074.523	1779.186	7704.884	3594.634	8009.639	6693.711	4285.501	8688.754	5359.258	11914.923	4848.451	2924.273	5798.842	14525.202	7406.35	8333.742	4976.532	12831.357	12916.583	11088.41	5508.021
101	8904.325	7514.276	4094.235	5640.216	7576.229	5025.103	5316.095	2978.006	4110.435	6000.7	1782.907	7818.969	3560.694	7837.566	6509.088	4180.921	8743.163	5538.955	12175.083	4944.397	3013.182	6102.18	14694.52	7461.242	8333.629	4997.496	12685.789	12762.415	11392.595	5534.289
102	8804.065	7433.484	4017.796	5537.133	7467.413	5020.782	5382.536	2986.632	4106.833	6092.67	1813.57	7882.844	3548.161	7683.068	6409.609	4069.758	8373.813	5391.011	11643.833	4890.877	2918.148	6118.027	14635.054	7416.07	8225.31	4967.443	12630.637	12719.845	11701.539	5568.959
103	8628.201	7384.026	3973.605	5512.628	7434.3	4886.025	5280.046	2916.863	4062.839	5970.795	1802.857	7908.137	3544.895	7515.738	6299.988	3966.371	8349.168	5487.407	11766.309	4975.463	3007.781	6434.536	14502.987	7381.834	8142.379	4951.528	12578.314	12735.207	11746.692	5529.518
104	8556.354	7340.168	3904.505	5435.278	7328.396	4865.72	5270.808	2853.835	4066.355	5963.918	1813.371	7857.75	3505.563	7387.447	6162.718	3869.352	8203.26	5365.97	11486.142	4905.874	2951.964	6495.958	14281.641	7333.968	8007.006	4924.843	12542.365	12722.778	12064.343	5584.272
105	8252.297	7181.642	3806.974	5353.253	7276.304	4884.02	5298.571	2793.149	4080.034	5986.194	1812.823	7853.483	3459.583	7242.513	6076.352	3785.048	7900.11	5208.514	11172.859	4880.384	2988.194	6576.555	14029.061	7213.805	7884.406	4912.058	12500.938	12771.695	12363.241	5591.085
106	8215.258	7183.451	3755.035	5379.915	7159.71	4778.088	5264.734	2790.164	4072.416	6003.953	1826.561	7871.304	3419.483	7169.512	5995.02	3709.809	7841.684	5197.435	11175.729	4820.898	3000.625	6684.316	13828.04	7100.443	7752.628	4929.349	12428.131	12729.168	12486.353	5619.567
107	8004.027	7028.182	3683.164	5354.342	7149.578	4816.281	5247.63	2775.47	4158.213	6155.293	1868.793	7850.954	3343.438	7118.509	5916.562	3664.315	7572.999	4967.054	10917.286	4778.383	3009.487	6612.085	13563.61	6925.706	7626.116	4988.597	12260.565	12634.735	12515.951	5520.072
108	8075.316	7038.752	3697.738	5423.19	7184.846	4698.59	5169.698	2829.535	4110.178	6198.411	1895.594	7914.309	3277.917	7100.738	5806.124	3626.424	7586.053	5024.498	11151.198	4952.253	3146.204	6799.908	13435.729	6713.518	7614.862	5089.792	12056.203	12500.707	12716.262	5546.836
109	7918.724	6805.291	3579.945	5397.353	7046.099	4648.283	5241.858	2926.552	4148.393	6388.35	1957.646	7948.561	3207.054	7011.703	5714.84	3565.878	7355.348	4933.165	11002.89	4879.359	3118.64	6625.627	13323.314	6552.834	7567.693	5225.646	11791.346	12331.699	12891.898	5571.538
110	7959.162	6793.581	3587.26	5443.976	7135.776	4541.04	5147.853	2955.116	4042.625	6411.059	1969.624	8022.922	3139.274	6946.381	5543.168	3504.081	7124.921	4959.426	10944.205	4863.467	3161.499	6655.263	13283.293	6372.795	7564.69	5372.897	11569.139	12105.855	12634.875	5417.136
111	7909.649	6653.702	3492.231	5321.388	6978.791	4400.675	5147.576	3017.744	3958.134	6406.82	1957.72	8102.067	3080.059	6870.417	5412.204	3430.344	7070.49	5069.446	10986.951	4837.36	3167.247	6649.558	13281.504	6185.69	7554.612	5504.333	11311.202	11877.552	12990.705	5499.121
112	7958.457	6616.216	3476.53	5379.971	6957.716	4395.256	5223.514	3083.285	3910.247	6416.888	1951.628	8159.253	3026.741	6764.667	5326.259	3350.214	6778.854	5061.271	10654.196	4677.504	3120.242	6530.887	13350.881	5990.785	7532.675	5589.87	11035.577	11662.446	12945.225	5437.553
113	8052.219	6649.405	3466.648	5393.232	6960.281	4219.708	5104.865	3062.216	3809.658	6281.005	1910.271	8166.838	2965.605	6663.025	5182.069	3291.06	6769.34	5198.49	10777.67	4724.635	3155.934	6674.162	13352.424	5834.42	7531.17	5655.999	10818.325	11458.993	13269.077	5479.432
114	7868.087	6531.672	3412.378	5331.947	6897.44	4103.902	5162.111	3055.102	3756.57	6263.757	1925.977	8206.121	2944.438	6501.413	5064.118	3182.291	6550.498	5168.776	10512.549	4547.804	3119.19	6679.881	13301.538	5699.199	7515.591	5639.227	10589.6	11243.111	13196.153	5334.242
115	7966.859	6622.868	3453.852	5371.146	6995.678	4145.679	5207.018	3030.783	3655.383	6135.406	1904.872	8216.03	2932.972	6298.143	4975.896	3094.47	6492.643	5223.342	10453.608	4573.757	3136.602	6836.518	13199.611	5566.695	7452.308	5601.963	10416.205	11083.826	13615.997	5375.928
116	7741.771	6485.022	3367.505	5231.173	6879.69	4049.798	5125.421	2970.821	3618.889	6101.538	1904.042	8250.844	2957.396	6123.708	4891.525	3000.992	6304.433	5127.223	10152.154	4458.225	3092.286	6898.532	13015.466	5424.811	7413.974	5576.606	10307.161	10977.679	13961.234	5396.115
117	7682.562	6512.404	3383.225	5225.631	6968.508	3994.192	5214.708	2951.093	3577.921	6098.816	1905.101	8215.928	2966.451	5987.724	4806.784	2973.509	6130.798	5019.073	9894.324	4407.55	3077.523	6923.791	12710.537	5282.659	7334.967	5511.715	10161.745	10873.039	13972.144	5228.002
118	7561.369	6394.679	3318.524	5007.391	6867.843	3981.887	5198.733	2878.064	3547.289	6061.897	1904.174	8186.775	2965.619	5864.489	4733.776	2886.471	6170.331	5008.21	9893.45	4376.33	3117.404	7121.722	12542.883	5093.832	7289.823	5483.133	10032.583	10762.637	14288.467	5250.677
119	7523.805	6374.359	3317.711	5033.313	6900.75	3858.167	5172.624	2907.447	3608.296	6241.324	1941.993	8103.222	2965.511	5770.957	4639.448	2805.698	5946.894	4803.932	9604.463	4225.102	3079.684	7082.749	12266.854	4906.001	7169.291	5481.741	9849.446	10680.479	14422.375	5181.553
120	7465.063	6278.746	3245.234	4997.581	6808.546	3861.343	5228.018	2965.744	3615.333	6322.924	1976.313	8046.15	2948.656	5708.69	4575.538	2795.078	5991.411	4845.104	9728.879	4299.061	3126.337	7269.968	12079.532	4773.427	7103.718	5495.737	9692.247	10601.554	14385.994	5138.042
121	7440.409	6257.417	3234.301	5054.722	6821.712	3790.84	5107.682	2987.484	3621.38	6442.85	2026.313	7965.788	2926.733	5648.37	4492.282	2762.678	5781.194	4696.049	9527.609	4187.344	3093.126	7248.709	11849.248	4607.135	7020.396	5546.812	9513.072	10443.19	14323.342	4988.47
122	7592.713	6248.643	3227.136	5087.352	6773.889	3733.073	5205.371	3102.53	3618.894	6508.985	2009.407	7935.854	2886.809	5635.292	4416.819	2714.027	5699.335	4762.087	9571.383	4186.142	3158.016	7408.792	11640.476	4449.194	6982.368	5635.237	9305.982	10257.345	14582.518	5029.742
123	7517.332	6128.172	3199.268	5123.739	6782.789	3668.044	5157.213	3130.47	3579.469	6518.797	2024.779	7896.536	2830.127	5602.937	4353.107	2674.956	5633.004	4833.189	9483.089	4042.167	3161.344	7385.702	11497.65	4285.564	6953.572	5744.334	9115.658	10052.645	14648.262	4988.398
124	7584.453	6160.989	3213.833	5225.864	6876.386	3563.511	5188.701	3233.749	3536.159	6489.343	2006.616	7856.384	2794.958	5563.733	4273.913	2650.042	5420.896	4846.85	9394.751	3939.331	3144.545	7409.327	11357.12	4144.184	6939.684	5844.966	8912.246	9769.054	14433.132	4921.902
125	7540.632	6082.047	3149.197	5176.746	6729.135	3548.23	5212.785	3278.518	3470.42	6389.047	1973.079	7848.963	2725.917	5486.85	4175.142	2609.895	5383.167	4965.018	9464.482	3889.244	3141.999	7508.309	11267.173	3952.082	6933.663	5922.519	8733.354	9555.365	14443.16	4857.181
126	7590.552	6086.036	3172.81	5202.608	6814.9	3480.031	5151.918	3257.894	3398.333	6259.979	1947.848	7889.418	2681.771	5416.277	4120.062	2577.139	5217.492	4958.456	9293.351	3779.349	3090.38	7480.079	11165.208	3804.197	6925.776	5974.713	8598.554	9346.202	14746.39	4892.605
127	7561.944	5968.369	3135.132	5082.165	6735.62	3409.866	5237.388	3314.635	3329.779	6194.299	1930.94	7922.69	2630.651	5316.7	4024.844	2531.676	5201.751	5044.175	9308.345	3730.86	3124.776	7614.868	11098.242	3705.034	6887.792	6001.499	8447.14	9126.2	14945.659	4838.042
128	7601.255	5976.456	3157.46	5092.775	6760.622	3375.939	5219.266	3260.001	3274.657	6066.974	1913.036	7969.373	2614.094	5213.297	3954.075	2460.527	5076.267	5025.325	9093.188	3676.748	3079.199	7627.083	11016.912	3597.035	6809.507	5995.214	8311.75	8901.548	14829.796	4705.706
129	7698.145	6028.629	3158.881	5024.866	6778	3287.489	5244.312	3254.033	3189.705	5888.231	1903.737	8014.822	2610.369	5072.024	3906.694	2413.719	4983.761	4999.954	9055.515	3662.046	3087.392	7789.011	10935.041	3507.85	6748.893	5952.938	8202.295	8707.564	14963.881	4705.125
