TIME	20180127_LSM780_W02	20180127_LSM780_W04	20180127_LSM780_W05	20180127_LSM780_W06	20180127_LSM780_W07	20180203_NLO_W02	20180203_NLO_W04	20180203_NLO_W05	20180324_W02	20180324_W03	20180324_W04	20180329_W02	20180329_W03	20180329_W04	20180329_W05	20180329_W07	20180402_W02	20180402_W03	20180402_W04	20180402_W05	20180402_W06	20180402_W07	20180403_W02	20180403_W05	20180403_W06	20180413_W02	20180413_W03	20180413_W04	20180414_NLO_W02	20180414_NLO_W03
17	8459.649	5557.357	8633.312	2156.702	2450.843	2995.603	2135.713	1176.074	1242.219	2652.487	871.518	1452.471	1225.883	1916.425	1741.469	1672.476	2836.781	1524.475	4153.7	470.998	665.332	1015.326	5299.38	2299.508	1709.452	1245.238	4297.111	4059.106	1349.751	1297.154
18	8536.983	5720.691	8475.754	2238.127	2564.317	3203.228	2190.555	1176.333	1220.402	2710.421	867.108	1467.3	1221.046	2076.278	1859.586	1676.536	3043.467	1612.686	4552.11	491.544	663.33	1057.31	5215.158	2247.269	1839.513	1263.327	4566.967	4143.926	1387.221	1333.691
19	8650.615	5984.736	8446.401	2382.888	2800.501	3521.688	2289.904	1200.368	1202.549	2709.012	843.914	1491.928	1214.248	2221.308	1944.083	1701.739	3334.198	1690.544	4892.877	516.925	639.721	1074.467	5099.448	2162.811	1958.505	1270.983	4979.529	4332.275	1465.284	1428.186
20	8546.128	6002.759	8153.324	2430.122	2945.109	3725.087	2339.365	1211.595	1224.512	2744.218	832.26	1541.879	1207	2332.98	2027.346	1736.313	3662.797	1832.719	5292.445	544.019	626.784	1129.723	4956.488	2082.684	2070.962	1270.936	5426.176	4607.29	1474.275	1459.818
21	8440.537	6136.658	7997.324	2487.281	3169.982	3828.196	2398.735	1235.601	1270.233	2735.083	801.025	1606.983	1207.142	2390.459	2086.848	1793.237	4016.763	2000.524	5677.012	549.677	617.022	1153.092	4761.319	2009.972	2156.047	1254.936	5899.184	4951.745	1480.45	1506.661
22	8410.606	6284.164	7862.184	2476.664	3323.547	3927.16	2464.676	1257.523	1341.79	2742.9	779.928	1690.5	1238.565	2448.156	2134.334	1881.951	4190.278	2115.636	5735.067	568.035	603.801	1180.454	4679.784	1957.201	2238.241	1241.646	6268.763	5282.153	1482.974	1526.174
23	8112.92	6243.206	7706.198	2510.743	3444.331	3915.771	2530.783	1259.471	1435.719	2775.41	768.543	1792.502	1304.024	2453.016	2156.973	1991.254	4407.807	2260.349	5895.333	584.416	616.157	1199.389	4665.121	1935.46	2256.967	1226.594	6498.197	5608.169	1514.642	1573.291
24	8285.216	6418.923	7977.384	2609.37	3586.554	3861.02	2684.341	1322.285	1491.358	2826.622	749.998	1901.786	1407.085	2457.902	2191.6	2115.018	4333.74	2256.312	5712.403	573.29	624.223	1184.601	4825.745	2004.002	2291.406	1171.068	6514.457	5803.436	1464.336	1549.364
25	8371.295	6468.055	8216.288	2603.501	3640.876	3871.293	2857.797	1339.886	1567.956	2940.372	761.633	2005.709	1522.015	2483.299	2249.052	2210.703	4370.83	2332.22	5714.827	580.897	634.42	1184.47	5177.384	2152.597	2316.761	1141.044	6454.093	5878.524	1469.604	1512.133
26	8926.262	6662.633	8811.721	2679.766	3720.331	3830.217	3043.758	1346.299	1588.646	3051.921	787.54	2099.186	1625.675	2491.634	2281.958	2312.954	4195.885	2265.263	5447.369	570.867	646.345	1151.932	5691.33	2349.05	2306.225	1127.319	6339.587	5854.792	1493.828	1497.644
27	9472.371	6811.413	9405.436	2666.833	3726.826	3852.394	3261.872	1333.096	1615.901	3162.017	815.458	2166.18	1745.613	2499.989	2361.455	2394.084	4136.108	2244.788	5368.716	591.523	663.303	1170.743	6273.544	2548.673	2312.888	1151.319	6174.258	5810.424	1572.909	1494.593
28	10208.745	7125.979	10171.397	2734.991	3812.466	3890.221	3454.447	1349.077	1604.21	3242.381	825.987	2230.618	1829.438	2567.417	2443.133	2474.958	4096.092	2239.707	5396.668	627.602	673.366	1188.179	6704.917	2743.204	2344.428	1189.166	6006.772	5695.071	1710.154	1541.149
29	11170.254	7554.412	10901.025	2823.076	3958.067	4094.499	3561.863	1345.49	1545.143	3220.53	843.996	2282.764	1899.045	2695.628	2545.987	2508.328	3992.365	2186.004	5589.269	669.281	676.469	1212.57	7021.465	2901.389	2406.905	1232.723	5925.44	5577.038	1822.398	1568.659
30	11583.534	7829.265	11330.438	2952.12	4159.837	4491.752	3652.7	1371.678	1489.374	3168.609	849.157	2297.011	1916.605	2871.067	2690.903	2516.232	4239.303	2260.866	6138.349	762.287	688.298	1280.797	7140.358	2986.447	2522.338	1308.046	6027.657	5515.259	1952.475	1632.493
31	12163.813	8328.762	11775.713	3133.269	4455.731	4856.683	3754.21	1397.523	1446.34	3085.258	853.155	2250.173	1950.7	3149.785	2791.123	2498.154	4464.688	2268.191	6483.951	829.791	682.128	1329.74	7133.895	3020.794	2735.894	1370.24	6307.035	5550.144	2088.835	1704.112
32	12252.65	8469.742	11691.022	3236.34	4618.061	5122.161	3697.754	1432.635	1434.245	3035.253	845.871	2269.596	1954.873	3469.168	2916.203	2435.066	4962.787	2410.088	7152.302	922.455	680.866	1425.031	6999.339	2981.299	3014.419	1418.223	6821.852	5777.372	2209.608	1779.171
33	12361.096	8643.363	11656.052	3401.568	4890.793	5379.988	3677.478	1446.426	1459.866	2996.352	836.34	2316.421	1944.844	3750.962	3054.024	2425.006	5472.389	2591.704	7666.24	965.479	669.421	1486.471	6776.231	2853.448	3308.816	1448.159	7479.838	6088.558	2337.045	1870.103
34	12294.794	8733.057	11396.277	3491.915	5046.707	5626.677	3708.684	1521.324	1502.675	2964.928	833.721	2397.025	1949.501	4029.649	3151.316	2391.925	5802.133	2739.076	7763.088	982.699	664.878	1532.602	6485.462	2722.533	3617.916	1462.323	8121.472	6561.738	2380.724	1907.157
35	11933.822	8752.76	11199.906	3634.523	5259.078	5714.744	3732.058	1560.222	1594.328	2990.858	829.097	2518.757	1951.165	4246.963	3198.035	2382.01	6293.431	2999.154	8153.784	1020.768	693.533	1598.035	6190.342	2596.405	3840.642	1450.752	8690.711	7071.201	2420.219	1939.774
36	11825.51	8888.421	11088.692	3724.034	5408.967	5716.102	3783.08	1570.24	1700.555	3078.675	846.085	2711.29	1986.331	4376.185	3267.284	2406.759	6235.627	3097.171	7883.287	1016.16	688.563	1595.533	6001.651	2512.186	4047.268	1436.03	9020.75	7523.252	2495.674	1938.78
37	11424.996	8752.331	10842.733	3790.082	5441.453	5627.655	3896.918	1603.508	1834.054	3288.106	879.733	2918.752	2062.074	4472.048	3323.725	2498.93	6346.768	3276.379	8017.138	1034.401	733.08	1633.316	5941.88	2463.981	4179.82	1413.952	9141.356	7931.796	2600.637	1940.008
38	11413.185	8933.472	11018.238	3919.042	5549.057	5625.907	4096.125	1613.321	1930.51	3532.78	928.836	3155.798	2145.617	4494.536	3288.585	2623.001	6175.222	3253.335	7576.739	988.622	753.798	1604.939	6186.905	2500.28	4223.184	1382.52	9051.302	8123.645	2726.127	1875.049
39	11351.753	8946.109	11053.555	3904.118	5474.558	5511.187	4274.354	1631.114	1996.474	3764.926	995.336	3367.291	2254.397	4489.458	3305.508	2764.446	5951.668	3226.702	7372.47	1001.152	786.115	1624.745	6644.119	2643.863	4210.167	1372.142	8836.369	8209.109	2951.701	1873.034
40	11627.183	9248.427	11521.141	3930.737	5492.914	5614.09	4560.028	1641.353	2032.646	3997.332	1045.825	3576.801	2381.295	4434.574	3313.944	2921.701	5871.387	3231.374	7444.67	1054.969	804.494	1644.921	7292.38	2893.846	4159.224	1404.793	8607.475	8124.76	3230.73	1879.494
41	12091.544	9455.575	11930.918	3916.126	5502.255	5728.556	4780.567	1643.944	2000.146	4046.833	1077.963	3729.611	2492.581	4386.441	3342.21	3109.189	5614.18	3118.154	7416.159	1137.994	816.406	1667.388	8070.45	3194.6	4097.624	1449.241	8324.025	8001.748	3610.226	1965.385
42	12710.335	9862.324	12488.597	3969.887	5645.359	5862.04	4885.378	1647.638	1960.739	4071.861	1091.306	3890.741	2646.062	4373.776	3362.753	3278.641	5706.31	3147.572	7905.664	1288.82	827.189	1737.097	8700.605	3492.422	4043.9	1528.666	8140.78	7877.438	3922.165	2020.45
43	13538.477	10272.246	12981.418	3987.601	5861.464	6131.634	5024.896	1673.896	1888.869	3969.714	1087.909	3988.352	2748.016	4394.193	3468.22	3415.452	5772.961	3042.39	8087.825	1432.856	817.803	1797.878	9132.848	3747.133	3972.302	1587.784	8074.64	7732.346	4214.63	2101.466
44	13836.114	10459.771	13102.488	4007.378	6154.856	6500.85	5147.86	1682.18	1844.946	3920.741	1084.468	4023.576	2885.707	4475.29	3572.541	3461.652	6194.53	3120.681	8739.022	1617.496	829.562	1951.315	9368.439	3915.245	3920.825	1644.573	8222.83	7716.904	4405.636	2177.043
45	14171.337	10740.07	13347.235	4133.384	6534.559	6757.836	5159.327	1735.354	1823.696	3863.153	1085.028	4032.798	2962.624	4654.987	3737.013	3519.881	6740.728	3222.769	8995.005	1696.467	803.918	2032.625	9362.386	4028.323	3964.226	1674.68	8580.708	7818.224	4588.617	2237.437
46	14201.948	10804.802	13176.706	4184.206	6687.291	7043.097	5148.71	1751.604	1784.251	3738.058	1069.303	4032.633	3015.674	4931.409	3886.676	3530.518	7206.174	3339.704	9342.172	1721.745	796.252	2111.047	9176.318	4054.152	4076.24	1686.671	9119.525	8020.534	4717.699	2340.422
47	14175.212	10863.308	13082.779	4369.824	6899.985	7233.69	5170.532	1790.157	1827.716	3701.167	1068.85	4053.739	3048.704	5225.763	4034.506	3488.272	8021.972	3628.051	9621.697	1809.683	826.031	2259.214	8859.968	3994.125	4295.33	1684.504	9656.542	8358.434	4652.211	2336.739
48	14039.128	10882.612	12929.743	4481.422	7025.148	7365.338	5205.287	1841.884	1909.449	3706.896	1068.786	4080.664	3039.052	5469.369	4128.626	3441.785	8215.505	3717.342	9378.088	1764.382	835.211	2278.28	8462.573	3890.365	4625.181	1678.837	10181.34	8809.124	4694.069	2377.185
49	13625.63	10929.206	12788.153	4662.665	7199.322	7454.321	5232.317	1856.724	2028.837	3808.991	1082.35	4187.887	3063.867	5702.111	4179.704	3448.042	8437.949	3982.905	9243.516	1720.228	865.984	2360.607	8038.759	3758.102	4984.048	1673.929	10648.24	9180.7	4800.77	2360.215
50	13733.441	11054.867	12687.32	4834.106	7249.18	7403.152	5320.409	1908.525	2162.761	3964.363	1096.368	4319.863	3060.934	5844.079	4209.713	3382.759	8592.232	4202.848	8992.278	1687.806	912.201	2335.78	7724.831	3602.675	5364.586	1627.458	10900.454	9592.932	5054.308	2348.426
51	13330.219	11039.378	12532.077	4942.679	7214.781	7383.976	5553.71	1916.503	2302.847	4212.569	1137.649	4526.316	3049.919	5928.687	4255.113	3377.633	8299.718	4275.635	8618.977	1641.757	957.419	2372.681	7598.845	3474.423	5713.49	1610.786	10964.433	9854.475	5284.293	2308.219
52	13395.949	11320.096	12685.205	5072.856	7304.766	7240.662	5644.157	1916.916	2393.636	4403.544	1154.609	4793.497	3035.421	5928.462	4264.156	3383.531	8271.527	4476.868	8681.174	1690.766	1023.102	2421.449	7801.896	3442.76	5912.126	1609.664	10866.432	10047.627	5738.422	2313.426
53	13179.816	11220.674	12451.176	5035.82	7179.712	7388.06	5941.648	1894.508	2439.278	4506.511	1169.35	5077.324	3070.539	5846.031	4268.386	3426.005	7851.992	4440.908	8361.426	1725.26	1045.824	2410.672	8230.417	3511.425	6073.144	1634.523	10613.283	10097.077	6137.548	2321.116
54	13347.234	11612.274	12656.506	5110.591	7336.095	7380.2	6152.402	1895.992	2432.845	4553.017	1168.445	5348.575	3173.998	5717.594	4233.794	3519.199	7661.688	4437.863	8529.013	1866.167	1090.585	2480.965	8855.31	3668.378	6066.771	1675.026	10321.339	9975.969	6723.302	2441.661
55	13440.958	11690.205	12513.484	4977.167	7327.609	7422.145	6337.724	1907.861	2392.766	4528.469	1142.229	5564.797	3241.121	5621.619	4229.425	3648.981	7674.62	4455.974	8939.385	2045.28	1112.661	2575.817	9587.824	3933.537	5966.19	1739.785	10085.243	9894.721	6948.885	2510.701
56	13825.021	11958.348	12533.742	4987.141	7537.322	7662.71	6520.289	1915.743	2394.249	4550.673	1145.023	5716.977	3352.111	5477.891	4291.091	3806.51	7532.886	4335.752	9178.554	2217.7	1113.197	2687.906	10303.711	4265.298	5820.725	1832.588	9880.586	9742.559	7171.23	2602.653
57	14114.719	12085.898	12395.858	4896.607	7746.498	7738.342	6611.438	1939.656	2328.866	4381.943	1121.282	5742.788	3476.185	5403.225	4385.146	4074.89	7858.351	4349.17	9771.403	2383.362	1137.434	2937.17	10772.81	4606.171	5668.427	1931.041	9847.534	9654.088	7291.838	2698.335
58	14239.489	12136.487	12274.226	4901.964	8012.991	7922.156	6792.527	2020.24	2261.621	4317.301	1111.262	5741.785	3621.738	5387.211	4488.854	4314.71	8252.94	4338.983	9952.528	2449.977	1107.468	3085.012	10953.369	4878.777	5455.86	2028.224	9926.297	9687.092	7293.054	2789.436
59	14404.893	12195.017	11988.95	4882.523	8256.133	8122.71	6751.808	2057.955	2253.145	4273.486	1111.177	5611.5	3751.78	5477.922	4638.821	4548.729	8631.045	4372.104	10107.949	2484.654	1124.285	3267.895	10928.535	5143.044	5334.032	2098.631	10197.376	9765.467	7070.487	2792.943
60	14219.776	12132.749	11685.315	4922.821	8423.08	8126.549	6756.108	2105.142	2270.275	4186.334	1115.374	5563.803	3910.26	5685.563	4817.345	4721.306	9347.438	4637.364	10561.345	2493.052	1128.373	3444.898	10782.62	5332.818	5243.393	2156.513	10571.71	9906.511	6993.201	2808.485
61	14299.253	12252.251	11546.015	5058.414	8618.966	8227.001	6881.841	2157.114	2363.744	4256.649	1150.99	5468.764	3998.318	5943.746	5021.156	4913.793	9624.971	4766.353	10330.132	2391.655	1151.126	3450.092	10353.431	5474.245	5296.752	2198.451	11151.462	10197.457	6843.894	2817.02
62	13969.936	12002.333	11156.473	5187.832	8639.777	8088.762	6739.055	2152.319	2466.831	4327.298	1163.675	5447.714	4131.286	6305.708	5259.092	5075.712	9960.687	5052.509	10290.09	2373.747	1252.508	3528.381	9935.203	5435.08	5434.292	2213.889	11633.776	10433.002	6884.024	2862.285
63	13722.032	12048.814	10957.237	5382.661	8708.573	8081.429	6759.17	2187.862	2653.87	4615.346	1198.064	5431.95	4135.036	6621.649	5381.5	5070.13	10216.032	5262.606	10310.21	2294.371	1329.051	3531.501	9496.002	5333.915	5698.661	2200.064	12174.332	10797.379	7177.89	2960.181
64	13444.436	11927.786	10679.536	5468.754	8621.966	8149.327	6939.681	2205.421	2746.991	4761.235	1210.505	5486.853	4173.208	6915.183	5468.957	5110.886	10036.134	5340.056	10088.79	2279.864	1407.823	3485.888	9140.562	5197.661	6038.852	2188.673	12549.504	11064.805	7370.215	3015.899
65	13324.429	11960.268	10501.291	5644.439	8596.121	7963.245	6905.614	2200.566	2847.078	4914.621	1237.915	5708.646	4200.369	7208.234	5554.008	5086.17	10039.292	5583.129	10241.006	2352.76	1531.381	3583.578	8952.283	5050.06	6439.488	2191.135	12760.092	11395.112	7723.582	3100.621
66	13204.112	11945.557	10292.691	5715.29	8554.678	7936.271	7066.455	2202.55	2959.769	5068.724	1254.337	5896.359	4217.174	7345.807	5600.684	5060.768	9579.045	5475.109	10108.569	2428.765	1554.013	3513.076	8988.511	5025.777	6830.454	2216.899	12813.326	11737.403	8097.179	3183.276
67	13055.282	12017.21	10155.091	5782.561	8677.288	8003.114	7035.576	2183.209	3025.184	5082.082	1236.727	6183.528	4265.607	7412.87	5690.225	5027.903	9471.555	5513.771	10311.968	2587.283	1633.9	3643.637	9272.337	5008.607	7171.742	2277.969	12593.506	11886.634	8574.965	3390.332
68	13311.823	12308.075	10077.14	5782.167	8792.957	7911.955	7187.135	2227.303	3092.246	5183.213	1247.049	6419.794	4292.308	7401.96	5731.186	5032.032	9244.129	5451.186	10503.551	2742.728	1642.396	3686.412	9809.236	5128.132	7370.905	2368.979	12304.529	11959.512	8643.059	3436.414
69	13125.823	12107.622	9797.419	5715.077	8881.112	8007.452	7310.934	2259.481	3097.406	5149.636	1243.319	6631.522	4356.277	7327.553	5711.983	5068.642	9146.534	5411.125	10850.511	2925.947	1668.164	3871.081	10383.885	5297.933	7509.85	2504.382	12086.38	12029.602	8872.149	3558.994
