TIME	20171005_DB_W05	20171005_DB_W06	20171005_DB_W07	20171005_DB_W08	20171005_DB_W09	20190530_W07	20190530_W08	20190530_W09	20190530_W10	20190530_W11	20190530_W12	20190531_W01	20190531_W02	20190531_W03	20190531_W04		
35	2155.605	4063.21	2389.298	2957.39	3562.35	785.001	1741.298	1109.131	2760.852	1882.148	678.91	5025.021	5297.292	4343.675	4966.169		
36	2138.792	3980.161	2373.384	2897.411	3443.887	770.673	1661.824	1025.498	2969.995	1855.192	704.462	5038.146	5101.398	4596.351	5089.626		
37	2147.59	3895.695	2353.187	2898.706	3370.341	759.381	1600.686	971.016	3218.896	1874.566	708.858	5056.47	4988.682	4862.937	5264.62		
38	2121.818	3852.119	2361.529	2964.417	3321.3	760.149	1551.733	967.369	3585.497	1933.362	719.185	5055.233	4977.699	5099.037	5488.446		
39	2123.27	3850.025	2393.972	3111.195	3374.458	770.793	1564.498	988.613	3836.071	2077.14	745.2	5040.895	5141.771	5311.854	5730.165		
40	2156.329	3940.289	2454.116	3284.928	3469.193	817.89	1689.297	1055.052	4150.89	2252.086	752.625	5097.094	5513.957	5505.715	5997.555		
41	2182.895	4148.484	2532.48	3529.082	3651.986	858.862	1849.007	1130.923	4324.263	2467.85	744.848	5232.881	5981.275	5662.072	6282.254		
42	2234.2	4377.276	2628.844	3773.072	3852.38	903.242	2097.635	1209.774	4308.882	2629.886	717.655	5466.15	6477.811	5742.03	6446.318		
43	2324.149	4650.14	2714.966	3966.745	4052.605	938.266	2300.133	1281.353	4332.544	2789.727	728.586	5618.928	6818.638	5737.481	6487.905		
44	2423.851	4910.612	2794.64	4087.25	4188.161	973.238	2490.029	1333.434	4254.117	2810.884	727.044	5786.592	7016.026	5704.681	6497.592		
45	2521.686	5089.173	2815.915	4131.711	4218.867	986.871	2571.039	1372.315	4142.403	2836.532	734.93	5861.181	7084.663	5576.63	6442.097		
46	2596.305	5194.252	2787.714	4093.161	4221.382	1004.567	2662.994	1347.131	4007.879	2782.19	725.317	5837.182	6998.288	5379.755	6329.458		
47	2638.956	5175.465	2754.279	3990.427	4123.865	997.437	2622.837	1317.823	3848.072	2708.107	731.309	5761.62	6834.001	5224.214	6154.492		
48	2662.271	5105.056	2687.732	3823.128	4009.015	983.373	2529.11	1297.207	3673.54	2592.655	746.282	5680.465	6585.679	5091.903	5993.426		
49	2654.912	4988.835	2625.892	3655.571	3878.052	959.66	2422.796	1236.083	3531.942	2443.685	761.528	5593.574	6307.374	5023.243	5772.706		
50	2607.751	4820.53	2576.094	3515.078	3761.801	932.804	2291.993	1189.521	3441.355	2345.453	788.694	5545.379	6029.518	5036.073	5614.902		
51	2564.612	4692.631	2538.146	3355.066	3672.714	925.583	2158.793	1166.229	3424.671	2280.818	830.633	5544.152	5799.458	5226.574	5493.729		
52	2501.401	4530.393	2531.843	3244.262	3629.917	930.33	2080.98	1129.885	3521.875	2287.992	872.355	5575.427	5639.091	5490.613	5459.408		
53	2435.796	4426.557	2570.332	3155.074	3668.287	951.353	1988.062	1143.606	3725.419	2366.064	929.32	5708.475	5613.501	5891.874	5549.586		
54	2399.066	4403.216	2658.385	3119.829	3803.131	996.674	2011.608	1181.014	4109.849	2552.863	958.882	5917.11	5797.162	6417.42	5769.311		
55	2354.583	4432.496	2792.176	3144.03	3977.036	1055.514	2120.308	1255.828	4536.552	2845.534	985.453	6197.316	6095.575	6852.515	6058.427		
56	2338.094	4561.644	2963.596	3211.09	4171.02	1108.348	2292.538	1364.478	5062.403	3141.598	985.248	6536.575	6530.16	7256.595	6444.93		
57	2336.013	4686.775	3128.624	3369.938	4363.802	1148.979	2539.688	1474.645	5513.468	3426.582	997.706	6832.148	6944.089	7373.992	6769.409		
58	2336.386	4892.581	3258.687	3454.914	4485.358	1189.182	2784.348	1599.765	5813.981	3634.327	1002.595	7053.273	7269.5	7397.171	7016.363		
59	2359.147	5044.685	3339.509	3538.448	4562.575	1201.702	3033.638	1659.084	5894.916	3741.101	981.414	7118.256	7446.392	7294.944	7163.897		
60	2343.664	5120.853	3350.911	3562.68	4527.931	1203.106	3154.895	1708.996	5878.074	3676.757	970.344	7044.935	7503.297	7083.195	7158.125		
61	2354.196	5133.196	3317.619	3535.423	4480.019	1172.468	3196.136	1705.065	5835.767	3725.742	955.296	6876.305	7429.72	6766.732	7052.86		
62	2339.246	5104.882	3274.799	3495.526	4403.134	1155.484	3200.989	1694.592	5670.793	3578.969	965.121	6580.084	7230.769	6418.641	6879.156		
63	2303.06	5007.283	3171.603	3413.433	4261.949	1114.451	3196.832	1664.781	5482.307	3396.295	957.577	6281.347	6952.108	6117.31	6617.13		
64	2257.322	4904.08	3059.252	3351.875	4154.614	1080.472	3017.341	1614.617	5275.623	3279.277	979.008	5993.566	6657.51	5867.532	6317.522		
65	2208.644	4765.55	2981.529	3248.41	4067.443	1089.806	2906.92	1558.889	5051.188	3106.771	1004.068	5766.908	6389.845	5827.738	6071.142		
66	2148.073	4605.901	2944.354	3143.944	4067.407	1081.746	2748.064	1497.524	4809.491	2961.719	1052.796	5648.382	6138.852	5998.298	5807.264		
67	2058.943	4478.529	2920.768	3077.59	4104.71	1086.509	2632.449	1467.397	4655.56	2932.116	1146.483	5679.079	5985.529	6464.789	5613.181		
68	2020.031	4405.51	2935.164	2997.006	4205.156	1128.375	2602.388	1454.195	4602.478	2938.554	1234.761	5929.609	5975.392	7172.107	5595.383		
69	1980.266	4365.984	2996.262	2995.364	4373.661	1167.801	2579.568	1501.4	4676.744	3064.51	1340.243	6344.884	6098.825	7951.698	5677.141		
70	1934.718	4349.014	3117.245	2957.59	4643.542	1209.659	2589.843	1611.427	4902.5	3274.878	1404.692	6857.176	6347.882	8717.605	5922.446		
71	1902.056	4390.538	3231.807	2960.433	4850.603	1253.071	2748.695	1746.637	5123.092	3551.133	1462.45	7285.476	6634.747	9187.503	6187.654		
72	1888.442	4447.753	3338.557	2999.302	5045.459	1284.987	2970.316	1907.049	5388.479	3721.679	1500.696	7652.871	6903.94	9410.478	6520.965		
73	1872.357	4499.54	3412.743	3037.116	5170.954	1287.918	3142.744	2070.239	5522.759	3900.381	1518.388	7895.659	7133.375	9394.562	6749.907		
74	1855.031	4494.192	3435.872	3034.248	5188.363	1254.159	3341.738	2190.053	5593.5	3945.885	1499.189	7935.298	7288.266	9184.465	6917.702		
75	1834.432	4501.275	3445.718	3019.911	5132.913	1217.08	3411.117	2247.169	5542.178	3923.784	1460.138	7767.55	7278.607	8806.406	6947.59		
76	1790.777	4466.851	3422.455	2987.975	5028.018	1198.345	3432.807	2307.63	5411.24	3882.22	1436.705	7542.359	7173.537	8368.391	6871.224		
