TIME	20171005_DB_W02	20171005_DB_W03	20171005_DB_W04	20190530_W02	20190530_W03	20190530_W04	20190530_W05	20190531_W05	20190531_W06	20190531_W07
55	3146.528	734.117	1483.67	2455.71	2991.441	850.47	2506.606	7268.819	5074.833	3468.471
56	3072.645	750.612	1489.899	2485.474	3096.455	854.192	2491.714	7536.78	5083.258	3356.743
57	3051.831	763.225	1461.53	2430.03	3249.164	856.893	2511.269	7891.741	5035.566	3287.469
58	3115.823	798.645	1461.804	2387.925	3394.908	882.141	2518.456	8264.104	4934.62	3240.788
59	3251.207	831.156	1464.315	2296.095	3478.493	895.279	2520.61	8667.782	4800.212	3273.135
60	3401.834	855.064	1484.877	2227.777	3497.091	907.625	2529.453	9063.044	4689.099	3288.128
61	3599.12	865.658	1521.085	2173.842	3485.53	906.532	2555.006	9327.709	4612.788	3411.6
62	3773.553	889.71	1588.158	2184.909	3457.099	890.551	2601.079	9538.958	4594.276	3553.077
63	3875.787	905.208	1649.877	2201.244	3380.461	879.974	2647.102	9536	4629.025	3751.365
64	3923.598	899.238	1698.021	2298.083	3270.303	840.257	2752.699	9486.208	4824.168	3957.971
65	3929.802	903.29	1774.47	2454.861	3216.63	818.097	2899.759	9335.457	5103.489	4130.32
66	3849.124	906.586	1822.348	2645.67	3126.85	793.579	2993.521	9104.308	5436.653	4299.122
67	3747.428	922.75	1824.336	2855.525	3094.731	776.42	3089.813	8904.365	5777.276	4433.986
68	3622.167	942.464	1824.785	3071.156	3119.7	792.774	3177.753	8817.575	6051.263	4487.958
69	3515.14	963.939	1824.719	3206.38	3201.542	793.011	3199.624	8867.311	6216.762	4497.311
70	3446.157	1000.338	1816.053	3338.681	3316.539	816.228	3172.67	8993.963	6284.342	4430.346
71	3422.25	1023.004	1762.082	3358.028	3478.088	820.379	3168.311	9234.515	6248.91	4413.666
72	3479.103	1086.291	1741.708	3349.4	3579.464	840.733	3177.478	9584.253	6169.884	4389.529
73	3549.426	1127.428	1699.304	3352.665	3730.266	845.397	3142.437	9950.727	6110.155	4427.682
74	3672.347	1173.88	1690.668	3253.008	3798.607	845.006	3173.114	10312.148	6042.428	4451.57
75	3797.445	1222.952	1692.715	3153.257	3772.01	824.222	3087.897	10563.119	5894.047	4528.767
76	3901.456	1260.409	1724.532	3128.415	3728.192	822.707	3093.461	10785.78	5812.849	4670.082
77	3981.111	1290.608	1747.245	3096.1	3712.559	805.052	3206.709	10866.959	5849.446	4798.681
78	4054.46	1297.468	1763.905	3128.557	3621.292	784.037	3245.046	10789.06	5947.631	4974.455
79	4079.62	1282.518	1785.619	3199.477	3541.487	762.674	3302.787	10615.295	6066.514	5133.246
80	4039.601	1304.32	1778.238	3299.551	3450.609	750.626	3410.451	10444.525	6232.806	5274.16
81	3981.34	1308.009	1772.463	3479.295	3370.628	758.142	3427.45	10216.588	6363.532	5409.088
82	3928.336	1321.03	1757.029	3714.957	3372.925	771.602	3479.383	10068.967	6442.601	5438.417
83	3863.965	1351.196	1737.892	3955.025	3383.33	790.45	3550.426	9970.689	6439.224	5474.846
84	3828.948	1379.056	1688.316	4138.727	3435.642	807.932	3534.201	9987.835	6348.309	5441.852
85	3808.519	1400.129	1610.712	4283.104	3440.65	814.038	3479.462	10135.254	6254.675	5440.503
86	3847.447	1451.231	1567.674	4465.113	3538.12	841.625	3404.102	10358.638	6151.25	5480.139
87	3857.779	1491.596	1541.421	4520.869	3511.681	857.285	3423.829	10655.445	6021.033	5535.635
88	3933.014	1543.756	1488.068	4541.724	3566.711	855.898	3348.712	10957.384	5882.648	5605.135
89	3994.664	1542.569	1490.914	4551.501	3610.18	854.942	3380.014	11169.265	5688.975	5686.253
90	4090.437	1553.569	1487.74	4496.356	3579.816	841.329	3339.298	11288.462	5594.393	5774.184
91	4165.626	1568.107	1479.666	4448.052	3539.366	825.104	3361.113	11218.105	5511.083	5900.167
92	4219.102	1565.314	1476.435	4439.395	3501.203	816.204	3287.759	11144.304	5448.247	5945.902
93	4240.945	1569.424	1462.171	4416.228	3416.49	807.138	3267.002	10929.03	5322.196	6007.307
94	4204.087	1553.938	1440.054	4480.761	3357.487	799.2	3243.207	10645.182	5249.497	6000.938
95	4166.647	1547.749	1395.595	4546.44	3282.907	812.719	3185.28	10336.631	5186.292	5985.027
96	4120.927	1556.757	1368.918	4672.372	3239.521	852.076	3162.27	10113.447	5073.787	5967.183
97	4089.18	1574.919	1351.015	4723.954	3177.887	876.362	3113.285	9872.179	4927.123	5942.034
98	4028.668	1573.314	1327.596	4753.341	3141.838	902.958	3066.519	9749.39	4789.49	5836.469
99	3973.193	1573.87	1286.765	4778.41	3097.554	913.317	2965.975	9707.503	4666.97	5801.635
100	3962.176	1580.902	1253.132	4802.814	3071.024	933.186	2891.597	9803.717	4537.574	5750.17
101	3984.728	1568.005	1227.169	4776.547	3024.775	952.093	2795.039	9972.995	4406.295	5729.184
102	4022.096	1567.43	1211.317	4745.723	2991.077	959.056	2705.754	10176.689	4309.487	5769.293
103	4089.214	1557.695	1179.255	4676.464	2962.62	958.987	2629.114	10404.942	4152.65	5870.637
104	4157.734	1552.358	1162.677	4584.72	2904.356	962.759	2553.732	10529.03	4025.844	5956.295
105	4216.321	1522.842	1135.402	4478.464	2814.983	956.908	2464.13	10537.762	3938.321	5982.365
106	4270.441	1517.852	1110.776	4424.33	2730.852	944.035	2394.093	10519.905	3827.697	6058.251
107	4307.569	1501.516	1084.899	4327.579	2672.994	955.315	2330.356	10380.19	3722.419	6005.859
108	4324.274	1488.887	1071.059	4289.81	2598.783	981.498	2251.347	10151.557	3605.021	5883.394
109	4328.6	1471.933	1070.159	4176.181	2498.725	975.641	2196.559	9891.575	3529.073	5807.264
110	4294.227	1466.048	1074.373	4136.193	2451.809	1028.469	2137.328	9664.827	3464.246	5734.527
111	4247.16	1473.395	1082.2	4117.34	2395.194	1056.561	2055.941	9428.69	3389.982	5613.832
112	4210.242	1463.595	1074.585	4051.559	2346.536	1087.995	2003.054	9241.337	3284.41	5458.908
113	4155.701	1443.857	1052.261	3981.756	2303.327	1099.397	1920.214	9072.754	3207.583	5382.624
114	4135.052	1439.247	1045.051	3943.12	2262.408	1143.299	1863.032	8950.537	3148.069	5388.903
115	4163.212	1443.735	1047.337	3915.358	2214.327	1170.793	1808.436	8894.569	3086.851	5401.931
116	4189.807	1431.114	1052.707	3847.738	2169.316	1192.139	1750.336	8923.183	3024.473	5436.749
117	4205.09	1416.311	1052.607	3789.633	2137.417	1201.062	1697.858	8912.493	2980.201	5476.366
118	4219.094	1407.276	1045.192	3716.343	2105.669	1207.292	1638.816	8929.581	2915.949	5527.266
119	4226.779	1377.089	1040.881	3672.326	2079.696	1194.031	1596.046	8880.749	2864.131	5553.507
120	4233.126	1373.636	1035.212	3563.546	2032.384	1194.245	1565.076	8782.853	2810.802	5543.868
121	4210.127	1374.574	1034.829	3491.503	1976.787	1191.313	1525.811	8657.241	2741.123	5470.035
122	4176.272	1365.108	1038.228	3426.62	1934.436	1202.81	1484.782	8439.849	2688.268	5384.368
123	4108.536	1367.152	1041.426	3348.174	1893.346	1216.374	1456.609	8200.009	2675.238	5312.505
124	4055.811	1382.627	1051.003	3277.831	1862.156	1264.188	1432.88	8021.587	2671.504	5193.793
125	4002.619	1398.734	1076.143	3218.568	1829.244	1293.391	1409.027	7778.057	2658.952	5122.421
126	3956.477	1392.395	1072.766	3121.621	1790.266	1297.846	1359.167	7580.895	2638.603	5011.809
127	3897.801	1399.281	1068.72	3037.187	1743.541	1293.57	1313.534	7326.904	2617.369	4928.769
128	3842.602	1392.891	1071.433	2976.75	1708.354	1325.04	1282.427	7156.557	2617.589	4884.655
129	3837.943	1407.734	1090.048	2909.156	1689.793	1334.855	1256.372	6974.377	2635.51	4893.57
130	3813.699	1409.948	1104.99	2856.267	1669.119	1346.073	1246.02	6762.867	2608.301	4938.037
131	3802.824	1411.927	1119.457	2801.855	1644.515	1352.082	1230.413	6617.099	2611.661	5015.15
132	3798.792	1411.767	1121.85	2772.482	1622.493	1358.672	1226.355	6471.911	2604.861	5082.892
