TIME	20170616_W09	20170616_W10	201702616_W11	20180127_LSM780_W08	20180127_LSM780_W09	20180127_LSM780_W10	20180127_LSM780_W11	20190127_LSM780_W12	20180203_NLO_W07	20180203_NLO_W09	20180324_W05	20180329_W08	20180329_W09	20190329_W10	20190329_W12	20180331_W02	20180331_W04	20180331_W05	20180402_W08	20180402_W09	20180402_W10	20180402_W12	20180402_W13	20180402_W14	20180403_W08	20180403_W09	20180403_W10	20180403_W11	20180403_W12	20180403_W13	20180413_W05	20180413_W06	20180413_W07	20180413_W08	20180413_W09	20180414_NLO_W04	20180414_NLO_W05	20180414_NLO_W06	20180414_NLO_W07
58	4318.493	3720.219	4065.577	4060.025	5008.91	6361.008	6667.922	15105.178	4906.374	3783.985	4098.659	6088.102	6742.72	3996.411	3029.398	6016.868	3912.462	3910.777	2359.202	7783.07	7737.038	2925.88	7910.871	8166.592	5307.123	6612.56	7289.163	1050.214	1425.703	9686.448	8577.187	5780.349	9356.969	5444.279	10470.983	17508.691	14757.746	3012.772	6251.14
59	4181.851	3680.522	3931.601	4024.668	4844.519	6093.076	6419.175	14589.942	4773.929	3710.424	3902.192	6069.974	6463.3	3917.181	3001.197	5814.71	3767.25	3804.024	2348.951	7552	7389.469	2961.034	7737.564	8166.848	5182.452	6600.234	7326.338	1034.413	1424.551	9421.073	8431.678	5718.987	9071.199	5284.117	10189.652	16746.6	14629.419	3009.884	6482.334
60	4019.599	3623.643	3835.331	4014.837	4703.653	5919.345	6221.023	14410.786	4715.62	3599.774	3691.387	6042.533	6152.428	3838.56	2905.549	5584.82	3621.381	3676.939	2385.171	7211.824	7061.52	3008.994	7493.596	8052.616	5018.441	6487.748	7296.961	1017.444	1450.907	9152.201	8206.957	5592.023	8711.804	5106.498	10074.107	15932.312	14171.574	2917.721	6694.734
61	3900.156	3586.063	3779.87	3949.847	4596.578	5701.4	5995.208	13989.164	4554.071	3503.5	3599.392	5953.923	5849.096	3752.249	2865.272	5405.401	3451.57	3521.085	2415.105	6737.526	6640.778	3078.607	7450.444	8224.174	4865.245	6398.886	7222.651	997.336	1492.94	9032.866	7940.714	5464.978	8357.315	4986.738	10287.613	15148.49	13978.924	2934.141	7142.9
62	3836.735	3589.646	3797.905	3885.421	4592.041	5590.174	5829.191	13833.843	4375.542	3417.428	3543.922	5999.034	5613.898	3718.005	2835.522	5325.212	3294.829	3382.451	2532.281	6574.657	6625.941	3362.662	8152.787	9045.221	4719.214	6273.317	7167.526	987.901	1553.255	9044.576	7691.784	5308.212	8016.892	4898.805	10739.569	14445.612	13748.093	3062.7	7842.709
63	3869.344	3665.113	3894.639	3931.084	4754.391	5678.613	5824.97	13974.43	4388.346	3354.004	3682.78	6015.636	5447.361	3672.019	2846.57	5301.714	3209.264	3310.397	2596.294	6244.917	6608.463	3568.974	8731.088	9717.226	4657.625	6172.136	7059.802	988.388	1621.965	9266.851	7497.208	5213.947	7843.255	4943.461	11448.915	14532.881	13771.543	3328.17	8531.363
64	4019.076	3781.871	4076.055	3844.023	4910.314	5652.332	5684.498	13914.953	4318.59	3338.745	3955.937	6148.958	5509.711	3704.733	2916.837	5407.361	3227.461	3320.547	2661.978	6199.397	6998.657	3901.091	9863.854	10758.948	4691.804	6185.001	7068.02	997.213	1715.898	9652.52	7361.884	5221.543	8015.475	5198.059	12302.259	14505.993	13733.591	3614.059	8927.021
65	4245.856	3945.613	4275.242	3906.935	5248.408	5930.631	5754.42	14425.55	4344.025	3398.571	4362.018	6324.24	5706.279	3799.902	3024.664	5638.992	3347.805	3462.21	2769.624	6425.547	7709.533	4226.906	10868.213	11373.617	4839.167	6304.617	7155.111	1029.507	1808.036	10182.274	7452.58	5359.754	8571.389	5653.467	13125.742	15215.926	14435.274	3966.134	9237.226
66	4517.205	4096.333	4436.566	3883.644	5484.808	6072.425	5671.299	14510.856	4290.042	3383.411	4781.535	6491.215	6046.258	3985.756	3127.599	5913.803	3577.216	3693.037	2773.113	6634.958	8232.028	4380.619	11355.128	11575.751	5065.189	6536.643	7349.154	1067.539	1859.848	10828.069	7690.319	5569.734	9329.595	6206.567	13768.756	15949.854	14756.104	4204.889	9276.916
67	4726.528	4228.324	4525.594	3961.381	5756.131	6208.783	5676.873	14873.461	4348.375	3397.68	5010.565	6679.094	6355.516	4123.633	3245.494	6170.062	3851.547	3959.608	2841.821	7117.596	9005.05	4595.297	12025.655	11892.221	5315.546	6804.317	7525.582	1101.55	1887.045	11296.384	8040.192	5840.954	10123.108	6692.512	14131.769	17283.805	15479.601	4413.028	9084.811
68	4885.694	4265.996	4560.29	4040.252	5938.029	6263.958	5558.963	14804.707	4414.089	3397.377	5225.497	6760.084	6581.017	4256.109	3313.235	6337.411	4065.887	4176.482	2790.46	7338.964	9128.512	4464.592	11655.993	11328.311	5503.236	7034.491	7801.509	1129.173	1902.188	11698.161	8342.027	6039.243	10652.894	7054.472	14168.376	17757.611	15591.252	4464.089	8971.853
69	4911.212	4283.057	4504.09	4074.673	6026.514	6310.775	5463.058	14844.454	4347.591	3391.265	5216.963	6746.323	6680.197	4288.87	3336.691	6417.29	4230.214	4330.142	2798.134	7662.233	9390.016	4518.709	11734.975	11298.2	5640.256	7199.518	7956.536	1148.664	1891.23	11886.414	8625.867	6193.657	11079.342	7317.898	14029.66	18358.309	15730.029	4399.356	8543.091
70	4888.156	4259.192	4422.175	4158.556	6070.075	6266.897	5321.586	14554.597	4348.941	3335.039	5222.558	6635.315	6660.923	4302.931	3309.314	6353.259	4331.14	4412.722	2759.852	7749.775	9185.017	4295.229	11057.031	10529.499	5690.769	7337.787	8068.6	1156.467	1868.717	11911.283	8742.467	6327.252	11194.026	7389.75	13637.013	18433.277	15639.246	4337.53	8311.212
71	4773.495	4175.524	4300.676	4048.395	5820.84	6061.446	5093.059	14219.784	4223.021	3225.286	4996.457	6490.058	6546.744	4238.064	3232.207	6243.932	4322.086	4426.507	2720.353	7728.506	8860.133	4163.008	10542.353	10265.516	5638.009	7316.84	8061.247	1153.218	1844.068	11768.137	8770.871	6339.184	11076.842	7453.696	13136.022	18183.027	15249.404	4162.445	7980.535
72	4656.75	4090.94	4173.349	4050.675	5741.629	5944.111	4992.345	14081.199	4193.597	3153.415	4761.582	6339.491	6387.636	4180.202	3206.757	6073.357	4275.51	4381.451	2746.662	7692.586	8581.185	4109.54	10153.371	9961.567	5583.348	7258.347	8027.746	1147.718	1825.124	11567.429	8616.407	6278.807	10801.145	7332.604	12544.506	18101.602	15145.109	4127.125	8115.618
73	4488.021	4038.119	4063.733	3902.944	5486.413	5655.457	4697.765	13492.725	4060.525	2997.963	4622.61	6122.08	6137.216	4094.504	3083.391	5903.131	4202.473	4308.042	2711.089	7417.606	8025.022	4059.156	9657.565	9694.377	5436.726	7161.739	7997.323	1137.594	1819.881	11359.813	8479.134	6190.868	10533.905	7167.479	12125.781	17382.156	14654.575	3997.999	8405.515
74	4337.409	3947.934	3976.103	3840.837	5371.103	5528.569	4569.092	13385.308	3964.979	2916.771	4421.438	5914.228	5931.84	4025.913	2987.513	5695.153	4088.931	4205.744	2765.853	7334.242	7713.046	4169.218	9478.274	9896.239	5309.722	7038.994	7946.161	1133.506	1840.648	11193.285	8286.749	6084.859	10229.124	6926.986	11812.1	17056.611	14353.778	3951.831	8791.403
75	4200.833	3938.896	3926.847	3689.429	5227.433	5333.487	4351.347	12874.576	3911.406	2867.206	4331.992	5760.898	5767.059	4001.067	2887.446	5520.176	3974.911	4098.676	2742.875	6961.381	7243.32	4243.714	9184.406	10028.601	5197.997	6956.111	7866.985	1136.445	1890.559	11062.259	8023.939	5985.563	9970.575	6657.99	11851.45	16415.578	13793.257	4025.687	9484.908
76	4092.447	3978.923	3965.15	3638.757	5253.754	5325.383	4291.803	12788.902	3834.497	2817.528	4219.907	5681.659	5633.272	4024.026	2795.364	5434.622	3851.624	4017.006	2805.146	6798.636	7072.101	4528.698	9473.679	10847.183	5166.119	6910.538	7854.646	1152.827	1969.917	11124.92	7797.084	5948.047	9640.498	6399.882	12145.094	16590.34	13899.562	4339.999	10241.95
77	4068.338	4094.111	4090.935	3581.108	5308.931	5330.83	4196.9	12540.256	3780.463	2804.549	4259.562	5702.951	5612.984	4106.266	2843.558	5449.001	3715.268	3987.678	2899.658	6736.308	7104.526	4838.633	10024.696	11546.521	5191.124	6952.199	7878.544	1197.973	2050.481	11340.266	7656.671	6020.598	9621.753	6262.975	12938.932	16244.92	13576.46	4594.702	10702.867
78	4106.551	4239.076	4266.865	3561.431	5500.112	5462.394	4162.985	12628.057	3785.39	2737.011	4432.912	5775.69	5731.768	4232.421	2905.02	5544.539	3718.644	4032.001	2909.723	6648.675	7236.646	5156.702	10708.573	12228.572	5285.876	7046.012	7905.773	1248.376	2148.595	11660.197	7605.141	6203.62	9683.583	6234.827	13846.485	16561.436	13823.803	4971.096	11195.424
79	4203.879	4381.959	4460.026	3576.356	5701.246	5564.448	4177.305	12615.854	3758.293	2740.956	4577.564	5979.462	5962.573	4429.765	2938.297	5734.139	3796.739	4098.758	3063.87	6913.054	7734.205	5582.371	11647.653	12938.016	5483.796	7249.881	7966.91	1298.792	2200.56	11973.367	7769.821	6445.005	10087.24	6278.53	14829.852	17001.598	13870.89	5214.529	11227.903
80	4324.895	4491.917	4568.43	3524.098	5790.374	5650.113	4116.808	12695.998	3703.951	2693.602	4776.272	6218.228	6173.327	4587.561	2985.285	5930.062	3874.975	4204.048	3038.887	6861.86	7922.325	5613.001	11775.723	12711.879	5670.617	7434.791	8039.165	1346.533	2268.304	12247.987	7867.013	6759.852	10487.514	6376.626	15548.308	17494.645	14317.03	5457.245	11357.2
81	4404.541	4568.872	4627.975	3568.176	5951.364	5780.125	4108.389	12854.568	3634.971	2674.216	4917.559	6432.498	6388.454	4747.484	3019.682	6113.467	3981.053	4286.687	3129.518	7135.041	8377.615	5824.935	12209.759	12918.47	5893.385	7530.009	8044.417	1391.109	2280.311	12427.56	7952.49	6991.098	10823.123	6417.598	16013.214	17722.062	14190.074	5404.667	10872.814
82	4449.127	4538.8	4618.368	3470.49	5861.596	5649.785	3931.943	12431.062	3624.69	2634.815	5020.806	6586.898	6530.85	4825.201	2986.876	6209.571	4049.485	4309.537	3071.156	7047.071	8346.984	5611.562	11735.865	12206.731	6059.682	7540.833	8012.629	1428.481	2271.17	12549.832	8033.036	7213.493	11086.519	6448.014	16087.883	17558.701	14203.845	5319.107	10587.687
83	4441.197	4509.135	4554.035	3430.055	5808.589	5633.202	3871.792	12397.84	3535.082	2539.024	4974.858	6672.444	6595.25	4864.343	2966.523	6242.515	4076.302	4313.259	3099.441	7118.176	8395.721	5569.731	11702.822	11904.868	6093.633	7495.583	7937.186	1439.505	2241.225	12501.988	8059.091	7328.426	11197.128	6434.624	15909.906	17917.596	14102.409	5167.783	10174.212
84	4417.234	4403.469	4461.745	3350.611	5574.342	5415.409	3687.557	11953.751	3423.513	2450.419	4906.193	6727.784	6565.163	4933.632	2903.867	6253.926	4132.876	4307.277	3056.869	7081.636	8283.259	5401.318	11169.794	11455.346	6118.123	7466.161	7829.179	1443.422	2204.247	12392.679	8082.742	7396.977	11126.319	6402.449	15527.332	17882.09	13981.734	5060.507	10121.486
85	4327.958	4299.864	4348.748	3255.939	5396.085	5323.708	3564.785	11766.079	3342.36	2403.384	4886.577	6687.771	6519.344	4878.372	2841.761	6149.321	4116.27	4247.052	3008.547	6895.978	8061.882	5341.885	10806.065	11171.033	6096.562	7298.14	7704.027	1445.716	2183.554	12239.121	7978.968	7397.031	10967.666	6222.208	14989.877	17469.061	13393.812	4757.45	9897.623
86	4253.962	4188.229	4245.305	3160.906	5241.295	5174.639	3453.006	11386.195	3242.473	2332.931	4764.686	6628.156	6403.175	4829.713	2753.674	5996.955	4079.012	4160.562	2994.923	6919.456	7849.664	5331.787	10347.256	10934.367	6037.276	7162.659	7585.9	1423.62	2159.159	12064.227	7858.069	7327.225	10765.355	6082.783	14463.721	17120.963	13148.845	4644.604	10134.244
87	4154.437	4083.66	4167.579	3071.638	5101.061	5043.452	3347.981	11158.663	3133.231	2255.397	4720.383	6534.704	6312.615	4810.487	2681.63	5836.323	4028.077	4071.624	2903.329	6511.188	7309.388	5183.625	9762.317	10607.829	5960.31	6980.91	7450.768	1408.708	2141.845	11883.282	7668.272	7235.524	10492.675	5903.334	13922.2	16784.072	12800.074	4525.08	10408.015
88	4061.623	4028.93	4121.372	3024.479	5120.992	5054.718	3293.388	11031.256	3069.975	2205.722	4649.357	6432.64	6186.001	4811.768	2651.981	5709.621	3955.992	4006.409	2923.266	6400.855	7132.884	5409.993	9714.588	11013.514	5868.759	6819.083	7266.345	1397.853	2180.092	11764.055	7479.496	7137.725	10282.681	5758.594	13557.437	16234.965	12502.164	4668.711	11167.032
89	4008.457	4033.578	4125.985	2910.214	5037.514	4930.115	3215.804	10737.035	3049.775	2210.581	4704.933	6340.263	6127.984	4845.227	2669.981	5607.38	3874.543	3953.457	2925.253	6208.749	6828.015	5513.891	9565.363	11110.288	5797.849	6699.118	7197.546	1396.948	2249.778	11706.461	7325.273	7129.239	10097.432	5623.119	13529.376	15809.572	12245.563	4783.324	11635.333
90	4009.535	4077.935	4210.92	2905.658	5220.259	5041.698	3279.383	10794.985	2998.15	2210.804	4764.351	6314.497	6160.751	4979.187	2696.494	5581.722	3856.771	3907.417	2952.183	6002.606	6720.687	5810.964	9814.596	11675.82	5844.965	6617.671	7128.083	1417.28	2378.493	11898.814	7212.117	7170.076	10124.963	5546.792	13873.536	15538.296	12271.706	5037.445	12118.228
91	4028.346	4120.247	4322.791	2813.875	5268.282	5006.022	3230.357	10458.335	2963.665	2189.989	4858.951	6399.119	6282.207	5101.379	2737.067	5650.979	3859.853	3913.409	3097.993	6082.367	6890.952	6316.182	10303.234	12338.896	5982.569	6663.384	7127.214	1475.145	2516.259	12203.32	7217.898	7332.705	10245.931	5500.985	14468.053	15500.85	12470.83	5406.882	12537.504
92	4053.619	4175.429	4447.329	2814.968	5428.749	5112.854	3273.982	10503.952	3010.608	2216.888	5047.374	6508.762	6533.49	5182.779	2759.225	5726.452	3875.01	3948.451	3132.939	5971.067	6877.709	6469.959	10463.815	12442.406	6210.816	6733.375	7156.082	1546.806	2664.993	12619.311	7226.221	7523.248	10509.411	5484.992	15130.661	15254.096	12400.571	5580.356	12635.953
93	4076.385	4226.588	4547.906	2768.665	5445.759	5056.613	3228.902	10183.974	2990.781	2244.534	5140.71	6594.439	6699.904	5271.559	2814.284	5875.338	3896.878	3994.345	3248.87	5969.041	7121.526	6721.9	10911.116	12866.159	6413.09	6845.96	7131.445	1619.04	2759.542	12854.156	7346.415	7742.091	10759.611	5472.273	15791.801	15001.658	12425.601	5643.594	12580.323
94	4098.084	4217.644	4592.464	2763.314	5477.967	5054.125	3205.193	10078.05	2944.936	2248.525	5240.211	6705.57	6822.603	5357.361	2806.969	5991.273	3947.357	4023.914	3335.298	6014.269	7252.616	6727.278	10752.963	12759.721	6556.382	6978.976	7137.933	1679.022	2829.154	12917.948	7385.418	7941.533	10866.436	5450.835	16207.745	14985.499	12487.311	5692.261	12515.631
95	4080.562	4156.923	4578.039	2761.804	5472.534	5026.838	3171.013	9809.464	2874.663	2228.106	5245.275	6741.845	6895.662	5380.233	2794.538	6091.872	3957.698	3999.563	3295.174	5897.889	7123.744	6561.636	10500.401	12425.421	6609.556	7003.249	7049.986	1713.304	2849	12826.699	7426.67	8078.556	10896.624	5412.962	16341.665	14937.545	12496.509	5620.646	12153.439
96	4037.595	4056.058	4546.141	2659.461	5294.533	4867.902	3084.477	9610.269	2828.029	2213.58	5071.936	6784.891	6851.868	5298.792	2771.169	6143.86	3944.997	3984.159	3342.2	5933.84	7297.884	6509.885	10408.515	12423.278	6688.531	6969.372	6927.317	1735.225	2831.575	12657.276	7396.724	8183.41	10789.957	5326.502	16285.48	14492.678	12185.957	5421.15	11798.672
97	3978.7	3964.606	4458.146	2649.236	5177.433	4786.131	3069.067	9446.175	2761.879	2179.756	5052.891	6772.655	6817.303	5244.036	2690.193	6135.088	3917.675	3915.202	3222.764	5761.756	7011.225	6238.443	9866.983	11936.494	6698.525	6901.667	6840.575	1744.036	2844.509	12471.08	7378.77	8223.674	10635.997	5213.646	16093.752	14479.781	12108.61	5345.225	11688.732
98	3866.333	3851.702	4345.101	2537.074	4893.773	4582.183	2933.254	9069.396	2690.73	2148.01	4857.406	6732.562	6627.641	5141.03	2599.581	6073.464	3826.991	3823.531	3174.802	5680.327	6865.5	6091.1	9598.82	11794.081	6597.849	6786.393	6685.058	1743.32	2823.648	12249.188	7285.951	8178.385	10379.066	5063.222	15726.05	14079.139	11889.41	5187.863	11879.294
99	3786.033	3724.12	4235.585	2498.111	4793.696	4496.683	2916.84	9021.159	2668.251	2145.836	4735.985	6691.776	6450.741	5007.266	2520.41	5963.927	3743.243	3706.033	3119.672	5575.965	6655.73	5932.483	9098.743	11364.607	6562.983	6683.692	6598.487	1734.23	2803.544	12047.797	7225.661	8120.129	10114.438	4920.527	15289.843	13950.787	11698.711	5088.176	11940.345
100	3680.796	3606.961	4132.774	2409.154	4571.402	4303.292	2807.437	8707.95	2563.632	2064.781	4594.995	6596.792	6259.841	4883.828	2404.158	5821.135	3632.35	3593.665	2987.586	5369.281	6349.119	5824.348	8643.437	11166.273	6480.095	6521.695	6407.041	1712.254	2796.329	11772.722	7098.259	8026.427	9724.563	4752.243	14709.427	13275.799	11216.558	4935.502	12161.745
101	3603.119	3524.55	4079.486	2376.398	4528.101	4291.392	2812.549	8740.215	2532.874	2078.499	4392.748	6532.761	6106.566	4762.333	2337.541	5720.975	3522.814	3479.003	3009.227	5351.692	6219.113	5935.597	8439.163	11203.812	6399.767	6332.993	6264.239	1698.839	2831.518	11498.709	6932.461	7891.525	9427.11	4564.876	14256.312	12951.726	11215.544	5003.027	12696.945
102	3530.091	3484.087	4032.226	2303.461	4472.253	4203.132	2774.67	8505.398	2531.511	2068.073	4363.734	6474.873	6026.065	4742.216	2300.105	5652.213	3439.221	3378.184	2914.738	5088.624	5889.413	5943.988	8075.896	11106.635	6331.36	6185.626	6073.26	1693.543	2931.533	11353.883	6809.259	7809.127	9207.028	4427.321	14000.078	12686.956	11098.283	5135.257	13017.887
103	3481.662	3494.945	4064.132	2284.543	4576.378	4247.535	2829.999	8576.586	2531.68	2095.965	4258.755	6456.623	5982.614	4685.433	2267.242	5563.966	3386.88	3283.59	3021.356	5107.785	5894.762	6344.947	8268.719	11487.506	6334.73	6101.934	5972.829	1712.233	3095.032	11293.951	6700.183	7794.382	9019.678	4316.594	13869.206	12136.439	11051	5277.854	13397.435
104	3455.828	3502.222	4103.954	2253.942	4665.053	4242.19	2836.396	8427.142	2522.754	2076.306	4306.806	6454.41	6056.552	4668.392	2291.329	5564.545	3342.38	3217.058	3050.327	4955.245	5754.251	6492.727	8101.152	11412.692	6376.058	6053.778	5847.599	1768.072	3258.883	11192.86	6637.986	7809.723	8882.628	4224.866	14012.547	12081.104	11283.704	5635.618	13709.797
105	3438.88	3496.61	4170.606	2253.035	4790.574	4288.039	2914.345	8457.273	2501.507	2102.095	4262.225	6497.933	6150.729	4680.66	2298.252	5538.576	3313.59	3187.823	3169.774	4888.427	5780.29	6844.286	8316.019	11853.843	6513.03	6079.62	5752.24	1840.701	3433.689	11271.171	6618.278	7869.467	8960.027	4168.816	14262.585	11691.209	11318.008	5805.677	13896.178
106	3405.127	3502.969	4203.721	2256.624	4844.317	4291.215	2936.865	8301.384	2535.09	2148.292	4257.478	6532.231	6270.376	4720.549	2296.948	5563.459	3319.889	3167.188	3269.172	4795.566	5757.652	6940.988	8201.857	11783.066	6619.381	6042.934	5596.039	1902.87	3525.275	11052.565	6580.269	7935.774	8918.551	4091.162	14433.256	11593.175	11559.188	6087.254	13956.708
107	3371.049	3463.034	4215.208	2267.307	4899.016	4284.596	2969.642	8282.501	2490.029	2149.657	4264.862	6537.685	6368.668	4701.224	2315.959	5557.987	3317.469	3138.122	3286.68	4674.433	5656.245	6866.598	8091.501	11661.157	6645.85	6000.627	5447.377	1950.595	3598.104	10858.855	6580.872	7961.85	8969.757	4027.874	14565.72	11080.8	11301.859	6021.013	13563.109
108	3326.812	3417.279	4191.882	2263.349	4881.477	4238.32	2952.236	8068.695	2493.356	2177.192	4206.352	6539.126	6364.167	4697.031	2286.229	5522.396	3297.974	3082.779	3378.021	4707.928	5733.024	6877.301	8134.82	11720.204	6646.117	5936.202	5276.625	2012.391	3642.304	10657.907	6526.735	7953.227	8875.921	3954.477	14586.647	11006.027	11481.825	6096.502	13672.819
109	3267.825	3346.335	4137.768	2221.965	4765.93	4204.704	2932.511	7943.624	2492.375	2168.112	4170.971	6475.234	6353.918	4633.445	2240.935	5442.281	3261.29	3027.297	3319.828	4540.114	5536.569	6625.785	7845.263	11240.054	6622.559	5918.431	5127.037	2033.811	3661.646	10382.49	6465.293	7896.38	8795.744	3825.891	14507.2	10850.575	11358.51	5955.433	13532.717
110	3204.459	3240.537	4060.022	2219.156	4696.354	4150.667	2921.159	7805.343	2438.21	2157.997	4047.524	6381.027	6250.445	4577.8	2207.883	5364.325	3202.624	2975.768	3307.443	4498.846	5545.329	6534.945	7763.855	11216.022	6520.576	5785.377	4971.27	2039.585	3649.364	10057.315	6398.963	7856.816	8648.207	3717.611	14288.347	10464.662	11182.937	5806.752	13570.279
111	3132.874	3149.204	3987.545	2142.617	4478.141	3966.094	2830.716	7573.317	2417.511	2131.258	3921.474	6328.466	6146.385	4506.042	2135.235	5256.491	3140.892	2912.752	3223.096	4408.974	5387.721	6218.834	7405.778	10949.57	6347.278	5669.174	4809.816	2030.524	3593.801	9763.746	6303.087	7712.168	8427.5	3591.477	13962.935	10395.282	11098.161	5634.448	13562.394
112	3059.843	3058.18	3914.147	2117.475	4386.309	3924.281	2819.996	7514.854	2357.013	2096.296	3791.652	6229.671	5944.24	4377.104	2066.522	5133.914	3046.889	2827.594	3089.002	4252.485	5190.779	5989.692	7144.729	10708.169	6206.812	5546.376	4660.553	2008.299	3575.722	9470.245	6227.814	7614.981	8171.848	3463.873	13684.724	10030.608	10822.753	5528.74	14041.557
113	2977.317	2964.863	3846.687	2076.439	4264.612	3793.204	2753.186	7327.657	2350.53	2099.393	3647.12	6154.79	5768.923	4253.327	2028.167	5003.387	2962.145	2767.44	3068.328	4194.893	5111.185	5894.045	6950.643	10592.409	6031.756	5369.111	4525.882	1980.62	3550.576	9301.544	6122.116	7467.273	7929.502	3364.752	13371.566	9875.708	10717.291	5440.81	14362.841
114	2908.936	2905.942	3811.343	2039.65	4261.407	3766.788	2751.974	7329.275	2324.951	2074.542	3586.33	6070.726	5590.55	4161.125	1968.391	4868.986	2859.4	2686.996	2983.045	4054.023	4914.342	5760.431	6610.416	10306.663	5839.649	5240.221	4363.81	1960.126	3581.176	9095.866	6027.53	7339.815	7737.347	3200.841	13026.142	9380.915	10354.612	5333.315	14620.541
115	2851.136	2854.878	3816.21	2055.427	4314.516	3736.67	2760.645	7272.783	2306.856	2082.755	3515.544	6020.825	5472.771	4072.442	1940.312	4763.593	2798.948	2628.904	2963.939	3999.12	4794.571	5944.711	6545.394	10423.534	5732.514	5108.358	4242.531	1958.657	3630.573	8992.418	5912.268	7201.558	7544.675	3058.557	12775.555	9275.537	10413.146	5507.576	15124.281
116	2821.741	2844.685	3851.076	2029.871	4396.663	3735.251	2777.431	7315.494	2347.318	2113.738	3491.33	5923.225	5390.21	4023.688	1942.036	4641.233	2735.311	2584.415	2999.176	3922.03	4662.413	6130.562	6424.717	10432.386	5635.863	4953.234	4116.644	1983.634	3757.261	8892.611	5866.914	7123.696	7388.963	2973.758	12663.513	9077.84	10381.686	5694.987	15536.57
117	2798.195	2852.748	3894.05	2072.153	4599.103	3805.645	2856.422	7361.627	2350.695	2111.228	3467.438	5878.488	5432.71	4039.501	1966.492	4571.354	2710.928	2544.177	3054.335	3838.888	4572.616	6424.95	6395.829	10562.19	5596.523	4884.565	3984.733	2023.88	3919.005	8831.697	5786.899	7077.049	7283.314	2893.817	12629.33	8665.396	10137.663	5829.531	15398.335
118	2781.362	2871.079	3934.561	2038.281	4650.702	3742.181	2861.097	7317.071	2336.11	2149.706	3425.776	5853.075	5477.742	4027.917	1990.738	4526.796	2701.466	2525.502	3214.492	3806.199	4575.175	6741.672	6401.884	10591.12	5583.594	4808.288	3875.737	2080.739	4065.901	8827.25	5787.996	7095.514	7250.359	2841.246	12648.983	8553.238	10406.197	6151.814	15642.522
119	2777.385	2879.416	3975.768	2072.954	4811.036	3806.325	2941.425	7373.258	2392.894	2214.807	3434.219	5811.358	5525.761	4026.28	2016.92	4450.362	2699.315	2479.533	3264.032	3710.037	4450.82	6836.327	6315.178	10461.703	5587.688	4776.297	3774.611	2152.432	4165.036	8732.915	5773.862	7110.974	7186.138	2782.599	12561.054	8257.867	10318.406	6254.984	15393.825
120	2770.074	2865.278	3978.941	2058.968	4749.616	3729.382	2925.088	7184.359	2374.678	2214.354	3394.56	5756.347	5580.389	4023.085	2006.227	4392.812	2698.26	2469.68	3391.029	3727.226	4502.082	6954.217	6352.197	10465.346	5595.625	4725.537	3670.409	2207.445	4233.433	8560.564	5731.247	7104.891	7133.596	2712.083	12560.794	8195.985	10484.549	6464.246	15130.963
121	2744.251	2831.628	3953.413	2077.006	4736.084	3700.13	2955.616	7171.887	2380.883	2297.26	3367.515	5666.82	5542.52	3982.134	1987.275	4311.042	2689.393	2432.426	3399.75	3644.748	4380.791	6778.337	6166.47	10131.398	5548.235	4653.142	3583.686	2241.032	4253.72	8382.59	5690.158	7037.54	7061.102	2660.327	12384.45	7880.117	10273.235	6360.988	14564.203
122	2696.851	2778.154	3887.881	2071.637	4627.813	3615.519	2901.444	6961.372	2384.511	2297.526	3244.117	5566.975	5493.37	3920.617	1968.064	4249.776	2687.252	2408.514	3471.336	3691.766	4428.069	6729.132	6146.079	10138.538	5492.174	4615.483	3477.554	2260.235	4211.424	8197.69	5648.787	6966.454	6972.088	2600.467	12183.97	7841.203	10342.719	6279.616	14157.427
123	2668.402	2725.322	3835.056	2071.133	4529.454	3586.456	2872.118	6860.403	2336.764	2340.944	3186.038	5442.618	5405.172	3837.862	1923.102	4146.342	2661.215	2352.507	3400.436	3581.791	4311.691	6410.661	5936.734	9726.057	5387.25	4516.798	3380.56	2265.528	4163.661	7958.456	5563.62	6858.132	6828.264	2531.578	11956.925	7586.863	10187.313	6267.519	13968.273
124	2614.622	2668.283	3749.592	2082.218	4452.057	3521.045	2850.39	6728.811	2316.387	2339.08	3094.031	5324.341	5287.445	3761.768	1870.237	4057.495	2624.064	2318.471	3352.8	3557.84	4261.964	6224.915	5851.042	9664.618	5295.173	4428.045	3286.055	2251.638	4085.043	7769.482	5487.714	6751.207	6686.074	2453.554	11669.862	7492.075	10158.661	6243.761	13880.476
125	2537.784	2589.531	3674.28	2043.36	4249.046	3397.303	2789.034	6624.373	2297.41	2330.479	3008.515	5220.386	5140.592	3670.249	1806.732	3943.7	2573.992	2259.779	3285.801	3494.36	4157.127	6007.299	5630.728	9422.209	5157.518	4316.113	3190.798	2227.181	4004.555	7551.596	5392.47	6600.164	6526.895	2370.861	11324.254	7201.802	9856.815	6059.11	13671.856
126	2488.256	2535.349	3600.073	2045.004	4229.206	3373.901	2792.688	6617.189	2306.04	2333.825	2932.623	5110.255	4997.797	3560.735	1770.032	3844.582	2530.849	2208.627	3189.716	3400.508	4017.768	5753.755	5432.229	9267.468	5035.359	4209.191	3106.692	2206.224	3931.025	7338.509	5283.185	6458.005	6351.166	2276.864	11010.713	7130.545	9772.615	5994.565	13733.947
