TIME	20170616_W09	20170616_W10	201702616_W11	20180127_LSM780_W08	20180127_LSM780_W09	20180127_LSM780_W10	20180127_LSM780_W11	20190127_LSM780_W12	20180203_NLO_W07	20180203_NLO_W09	20180324_W05	20180329_W08	20180329_W09	20190329_W10	20190329_W12	20180331_W02	20180331_W04	20180331_W05	20180402_W08	20180402_W09	20180402_W10	20180402_W12	20180402_W13	20180402_W14	20180403_W08	20180403_W09	20180403_W10	20180403_W11	20180403_W12	20180403_W13	20180413_W05	20180413_W06	20180413_W07	20180413_W08	20180413_W09	20180414_NLO_W04	20180414_NLO_W05	20180414_NLO_W06	20180414_NLO_W07
12	2228.651	1991.071	2379.334	2820.854	2655.309	3283.652	4421.357	4678.83	2065.84	1708.727	1493.849	1741.885	3141.319	1084.998	1433.212	1751.374	1367.512	1312.927	1127.847	2784.727	3474.153	910.335	3313.021	2378.527	3073.955	3642.595	3376.979	853.793	1263.774	4245.769	3604.981	2062.342	2873.028	1869.106	4226.569	7423.556	2763.188	1188.607	1327.594
13	2209.545	2070.622	2393.228	2904.43	2590.605	3261.614	4439.027	4776.661	2129.325	1741.905	1517.478	1908.234	3163.844	1149.616	1505.418	1844.135	1404.056	1396.725	1204.478	2806.221	3593.049	912.401	3324.804	2558.581	3138.618	3882.188	3438.28	852.441	1258.906	4345.083	3822.459	2305.314	3055.531	2051.677	4239.68	7366.5	2983.854	1187.417	1336.007
14	2198.428	2156.862	2386.534	2990.308	2631.565	3351.155	4616.138	5070.74	2170.557	1788.974	1517.152	2147.244	3148.282	1211.901	1536.281	1921.428	1457.092	1509.563	1217.881	2802.388	3503.205	915.803	3262.32	2655.959	3100.361	4086.867	3528.358	820.528	1220.164	4366.19	4158.874	2609.993	3307.919	2238.131	4272.063	7140.395	3175.181	1235.199	1362.463
15	2213.163	2241.39	2366.58	2981.501	2701.123	3441.528	4594.319	5156.858	2267.778	1901.541	1578.782	2381.543	3098.459	1277.978	1542.932	1976.958	1529.43	1604.327	1245.598	2962.658	3496.527	958.747	3342.655	2846.806	3070.884	4311	3656.062	800.081	1198.548	4319.79	4600.063	2873.469	3606.288	2469.081	4381.788	7102.473	3459.272	1299.587	1367.985
16	2260.25	2300.567	2334.385	2964.943	2852.614	3611.847	4594.845	5266.288	2431.059	1972.803	1645.679	2610.267	3046.545	1344.157	1537.774	1995.823	1597.128	1680.086	1281.07	3203.262	3471.832	996.873	3482.639	3030.246	3018.869	4459.468	3812.055	782.139	1190.8	4226.095	5073.869	3083.3	3935.509	2697.544	4549.645	6915.543	3604.537	1367.079	1373.781
17	2345.596	2329.944	2301.046	2898.637	3046.785	3776.874	4597.095	5286.077	2588.312	2043.859	1746.887	2818.618	2976.431	1393.23	1504.426	2022.521	1686.64	1734.623	1250.237	3364.632	3384.413	1017.553	3666.831	3175.645	2979.276	4547.18	3978.921	760.329	1156.284	4117.588	5465.218	3234.889	4245.741	2863.563	4810.825	6897.504	3649.842	1383.59	1351.123
18	2444.466	2333.51	2276.577	2775.079	3215.324	3908.599	4570.029	5348.626	2836.958	2117.885	1907.406	2987.771	2997.495	1424.088	1466.141	2057.478	1775.874	1762.65	1245.05	3647.638	3395.38	1068.822	4010.274	3444.794	2974.16	4577.753	4154.467	738.584	1162.421	4039.095	5688.317	3298.955	4565.5	2957.7	5148.24	6999.552	3693.286	1401.609	1347.356
19	2555.059	2318.475	2262.146	2727.11	3419.945	4074.608	4633.865	5467.235	3013.763	2114.635	2066.961	3127.142	3046.631	1452.862	1446.172	2127.279	1859.521	1774.138	1186.912	3796.738	3378.335	1088.708	4183.886	3561.338	3049.354	4533.042	4297.635	728.308	1179.753	3972.544	5846.392	3332.996	4793.941	3019.633	5535.212	7437.7	3733.737	1403.975	1353.85
20	2662.977	2297.687	2284.527	2609.346	3480.703	4086.533	4574.107	5409.602	3106.819	2122.479	2248.409	3203.904	3196.585	1441.922	1434.849	2246.111	1913.026	1763.932	1165.817	3979.437	3558.272	1112.798	4466.292	3841.538	3161.035	4453.812	4430.524	728.046	1173.269	3999.212	5858.698	3311.587	4982.117	3015.682	5865.391	8057.931	3762.022	1404.434	1399.32
21	2747.16	2285.271	2337.114	2600.171	3518.492	4172.835	4722.445	5611.59	3248.529	2108.411	2371.724	3282.238	3436.235	1459.479	1460.793	2418.864	1956.085	1746.19	1146.055	4054.098	3824.715	1116.824	4539.18	4001.786	3338.045	4353.975	4538.402	742.744	1176.092	4156.559	5762.501	3267.236	5099.626	2994.131	6143.792	8630.214	3738.254	1333.125	1442.174
