TIME	20190503_W06	20190503_W07	20190503_W08	20190503_W09	20190503_W10	20190503_W11
0	436.271	794.246	558.159	620.393	838.043	970.452
1	430.73	813.622	549.344	633.997	858.127	1012.264
2	395.624	828.097	542.376	624.038	877.065	1066.043
3	374.443	882.236	545.441	625.253	886.55	1139.147
4	359.192	947.737	548.287	622.542	890.092	1221.918
5	348.214	1036.646	569.191	617.83	881.189	1287.735
6	340.717	1149.057	613.14	630.712	887.399	1335.376
7	343.37	1229.77	669.886	653.921	910.044	1370.204
8	333.491	1277.442	721.873	676.54	932.627	1392.502
9	329.553	1351.227	780.192	709.891	967.707	1382.247
10	316.578	1383.892	827.565	752.427	1023.852	1364.697
11	308.955	1406.257	860.069	796.384	1092.906	1378.477
12	299.566	1423.988	882.429	842.921	1169.357	1400.554
13	292.395	1429.064	910.465	895.458	1256.414	1430.271
14	275.383	1443.375	905.335	932.027	1323.09	1535.792
15	272.109	1531.446	915.851	984.971	1373.741	1681.635
16	281.385	1618.147	949.991	1058.839	1412.623	1852.462
17	284.27	1785.761	981.851	1088.696	1404.155	1956.448
18	274.591	1894.541	1019.875	1080.845	1379.715	2048.014
19	259.979	2016.852	1065.997	1079.285	1344.533	2131.836
20	261.968	2145.467	1163.259	1090.636	1313.92	2167.781
21	259.015	2194.174	1267.297	1093.218	1294.531	2158.77
22	253.686	2200.665	1386.801	1105.969	1277.926	2099.938
23	255.886	2220.909	1499.896	1116.021	1279.242	2054.046
24	254.322	2220.765	1589.108	1157.45	1296.187	1993.268
25	257.832	2170.632	1647.087	1225.234	1352.677	1920.602
26	252.997	2114.916	1682.517	1309.396	1443.344	1890.424
27	244.376	2081.056	1700.756	1391.369	1536.22	1938.444
28	246.715	2071.313	1685.096	1500.119	1680.505	2067.746
29	242.505	2137.663	1669.016	1605.786	1778.016	2269.617
30	244.794	2282.4	1627.789	1711.679	1864.369	2477.7
31	243.933	2451.108	1615.904	1820.675	1912.327	2679.828
32	239.903	2672.826	1627.053	1875.959	1912.794	2883.626
33	242.924	2888.078	1679.093	1926.121	1932.562	2999.975
34	262.849	3121.823	1779.179	1987.029	1931.755	3006.085
35	269.345	3256.875	1904.07	1986.635	1883.815	2986.22
36	270.603	3291.949	2071.781	1969.634	1824.842	2888.125
37	255.073	3280.075	2242.706	1949.095	1774.249	2761.241
38	249.111	3160.827	2377.519	1965.459	1728.481	2605.826
39	250.638	3042.007	2443.726	1992.056	1712.992	2482.999
40	253.344	2952.495	2503.759	2048.357	1706	2405.698
41	249.758	2838.146	2519.53	2125.173	1718.986	2386.648
42	242.17	2788.982	2463.579	2213.343	1746.937	2517.744
43	236.493	2712.129	2429.632	2316.735	1799.751	2755.719
44	245.469	2733.313	2326.445	2462.762	1883.689	3019.717
45	240.73	2818.027	2274.711	2601.752	1973.008	3254.357
46	235.826	2971.192	2212.271	2758.055	2051.716	3475.599
47	234.302	3162.234	2178.89	2951.705	2139.907	3608.857
48	234.258	3408.015	2154.443	3085.931	2206.66	3599.581
49	239.48	3631.33	2176.474	3191.306	2233.285	3538.242
50	244.31	3861.045	2277.422	3269.908	2273.067	3429.584
51	247.856	4033.761	2440.358	3339.211	2295.622	3312.692
52	259.949	4219.603	2677.122	3381.151	2300.2	3133.189
53	263.013	4215.46	2903.076	3380.844	2296.377	3005.784
54	268.341	4249.198	3102.376	3403.221	2279.597	2874.023
55	257.046	4137.972	3293.233	3404.57	2242.964	2804.678
56	257.109	4042.198	3433.413	3444.938	2200.288	2860.329
57	248.887	3917.811	3435.942	3472.688	2140.287	2960.242
58	252.587	3779.299	3406.845	3500.446	2071.214	3108.411
59	245.929	3630.715	3398.869	3530.094	2026.139	3294.077
60	248.012	3505.128	3313.662	3561.65	1975.837	3506.47
61	244.357	3446.581	3176.619	3543.021	1961.38	3701.107
62	247.552	3426.692	3059.788	3582.226	1969.513	3812.494
63	249.354	3478.177	2918.095	3626.407	2006.65	3836.458
64	245.223	3593.325	2841.885	3668.96	2092.073	3834.883
65	249.255	3755.236	2728.857	3682.552	2215.387	3781.884
66	254.911	3982.717	2670.607	3758.844	2381.38	3648.344
67	260.129	4234.382	2752.6	3869.423	2548.574	3520.892
68	270.731	4507.075	2863.691	3975.801	2732.459	3406.17
69	268.673	4722.663	2956.173	4110.18	2897.406	3378.158
70	299.055	4890.497	3188.241	4262.414	3041.221	3357.416
71	305.407	4973.716	3468.604	4369.855	3163.781	3409.265
72	318.987	4987.466	3657.281	4426.143	3219.529	3503.411
73	301.721	4916.323	3880.206	4452.119	3238.14	3681.669
74	299.5	4807.856	4050.575	4456.765	3227.022	3848.213
75	293.839	4660.971	4152.756	4400.639	3144.292	4009.127
76	293.165	4474.765	4231.697	4302.116	3034.144	4193.004
77	294.095	4287.298	4078.262	4156.741	2908.211	4299.773
78	295.984	4072.151	4080.898	4001.885	2785.725	4385.755
79	295.423	3900.937	3859.243	3852.388	2660.888	4375.082
80	297.071	3748.331	3769.42	3756.325	2535.663	4394.255
81	297.208	3693.921	3611.763	3616.765	2430.685	4326.614
82	296.249	3744.407	3497.342	3524.714	2343.659	4334.692
83	299.41	3905.833	3422.813	3473.023	2300.582	4270.113
84	306.794	4109.921	3287.481	3423.106	2298.315	4288.845
85	315.518	4410.855	3277.595	3392.196	2331.027	4326.959
86	318.181	4710.183	3251.977	3364.028	2395.053	4398.59
87	327.119	4987.819	3366.392	3310.497	2506.824	4573.77
