TIME	20190503_W06	20190503_W07	20190503_W08	20190503_W09	20190503_W10	20190503_W11
88	349.305	5206.083	3412.835	3282.543	2628.977	4697.099
89	360.071	5342.737	3514.903	3240.038	2747.637	4934.756
90	365.055	5357.346	3680.913	3140.429	2835.751	5075.222
91	353.788	5323.557	3780.026	3079.054	2903.552	5202.721
92	354.945	5198.401	3872.425	2974.022	2920.116	5216.667
93	360.991	5063.382	3913.316	2867.031	2896.906	5240.654
94	356.16	4860.43	3901.073	2776.624	2825.683	5099.523
95	361.295	4667.974	3853.568	2659.824	2743.678	4978.705
96	358.017	4439.925	3783.713	2547.824	2643.164	4837.82
97	364.811	4251.879	3688.624	2471.093	2546.066	4658.954
98	364.633	4042.251	3602.565	2378.583	2447.579	4576.31
99	367.062	3934.582	3492.7	2317.019	2345.783	4469.868
100	364.115	3852.471	3378.652	2275.046	2247.476	4498.158
101	374.572	3854.835	3286.005	2273.371	2176.342	4551.011
102	384.317	3922.602	3165.891	2268.178	2100.479	4655.7
103	397.831	4077.454	3121.316	2262.196	2037.779	4675.977
104	396.811	4276.74	3026.778	2250.742	1998.344	4752.103
105	407.011	4513.949	2954.418	2216.971	1972.795	4826.506
106	423.236	4763.509	2933.857	2193.013	1973.236	4779.4
107	437.112	4965.483	2913.022	2152.31	1939.402	4730.043
108	448.835	5069.077	2877.49	2082.337	1913.762	4653.747
109	455.996	5122.348	2852.412	2028.952	1894.442	4501.223
110	452.829	5081.611	2810.301	1969.597	1853.204	4395.167
111	459.667	5079.624	2745.845	1927.235	1802.156	4225.921
112	453.866	4911.108	2686.381	1882.612	1738.485	4038.744
113	473.504	4718.49	2620.932	1836.816	1679.787	3897.775
114	479.167	4590.951	2535.619	1802.391	1616.315	3752.99
115	481.315	4418.396	2457.98	1778.375	1548.673	3630.58
116	489.787	4242.851	2366.65	1753.288	1485.331	3558.542
117	486.966	4095.467	2300.093	1765.477	1434.537	3487.1
118	494.126	3925.861	2194.282	1756.339	1366.538	3440.334
119	492.846	3829.811	2116.456	1779.584	1332.85	3425.736
120	500.901	3760.28	2044.929	1805.059	1300.466	3381.135
121	517.109	3740.928	2004.221	1827.018	1265.799	3353.026
122	535.177	3708.704	1948.068	1857.065	1242.054	3298.972
123	552.997	3763.897	1871.685	1902.568	1232.281	3215.236
124	590.908	3813.204	1811.158	1901.559	1216.952	3128.916
125	625.388	3860.518	1748.931	1900.091	1190.981	3016.636
126	636.024	3888.99	1709.201	1869.624	1153.596	2899.921
127	655.323	3898.29	1654.703	1849.187	1122.151	2803.479
128	652.387	3888.98	1606.358	1804.295	1095.257	2708.194
129	674.446	3830.986	1563.075	1794.323	1071.117	2634.549
130	675.766	3737.101	1526.328	1747.375	1048.208	2537.002
131	675.671	3622.659	1494.268	1712.11	1015.472	2446.894
132	667.186	3532.208	1452.796	1684.598	990.921	2378.787
133	674.113	3433.295	1425.068	1665.984	969.282	2310.522
