TIME	20170605_W01	20170605_W02	20170605_W03	20170605_W05	20180415_780_W02	20180415_780_W03	20180415_780_W05	20180421_DB_W02	20180421_DB_W03	20180421_DB_W05	20180421_DB_W06	20180421_NLO_W02	20180421_NLO_W03	20180421_NLO_W04	20180422_780_W02	20180422_780_W03	20180422_780_W05	20180429_DB_W02	20180429_DB_W03	20180429_DB_W04	20180429_DB_W05	20180505_780_W02	20180505_780_W03	20180505_780_W04
21	2490.912	1791.954	2441.843	3163.634	4138.962	1822.908	5908.028	5054.898	1868.673	3121.942	2437.699	4012.47	2110.745	1275.743	3942.09	2228.07	5917.181	6341.798	4122.125	4014.699	3409.908	1067.588	2390.698	765.11
22	2567.572	1831.332	2457.26	3173.107	4164.896	1845.427	6352.228	4974.811	1938.142	3154.014	2455.24	4227.688	2210.29	1260.129	3933.583	2187.893	6032.972	6786.04	4302.81	4210.179	3693.395	1101.736	2478.918	771.181
23	2688.33	1879.305	2465.594	3124.479	4106.508	1859.742	6932.659	4961.812	2009.118	3164.798	2443.582	4441.543	2340.188	1290.851	4087.179	2139.806	5915.6	7329.385	4372.872	4483.94	4033.933	1129.731	2541.283	766.809
24	2823.788	1950.47	2465.967	3227.795	4138.747	1880.35	7586.373	5056.849	2115.728	3174.625	2417.771	4477.654	2416.415	1302.179	4408.115	2162.276	5774.05	7891.821	4464.719	4895.96	4381.757	1194.458	2653.777	781.074
25	2963.591	2008.271	2487.881	3356.958	4122.056	1851.49	7960.158	5341.965	2238.858	3190.458	2401.144	4473.711	2527.887	1359.384	4961.699	2284.903	5801.066	8338.283	4485.214	5302.704	4665.687	1223.22	2856.02	806.159
26	3094.574	2059.795	2555.727	3467.44	4242.259	1953.416	8354.94	5755.219	2317.308	3240.697	2362.307	4419.672	2654.341	1412.225	5323.712	2341.588	5503.938	8564.115	4452.701	5582.74	4888.494	1240.911	2985.268	827.486
27	3218.772	2130.685	2681.13	3561.798	4342.331	1968.281	8369.92	6309.563	2359.414	3301.595	2365.664	4307.948	2709.236	1445.22	5743.178	2548.746	5560.841	8700.721	4460.637	5842.263	4977.886	1282.388	3154.715	855.417
28	3297.229	2184.563	2837.323	3831.229	4630.526	2039.058	8360.079	6822.267	2362.817	3367.645	2405.743	4258.367	2842.152	1487.653	5911.224	2688.84	5652.002	8683.745	4463.021	6067.717	4999.327	1265.999	3313.886	877.788
29	3360.627	2249.992	3023.17	3935.849	4902.364	2075.911	8128.754	7304.49	2361.45	3496.017	2500.158	4155.867	2913.088	1503.661	6032.595	2830.368	6055.134	8553.317	4503.799	6101.361	4972.885	1255.7	3406.575	888.887
30	3397.467	2277.637	3229.297	4086.595	5291.421	2148.372	8044.776	7559.639	2321.344	3612.059	2599.112	4224.169	2989.155	1505.07	6130.838	2984.47	6642.587	8342.826	4527.894	6064.586	4872.601	1251.881	3543.555	894.071
31	3412.127	2313.676	3418.326	4069.586	5682.166	2182.327	7838.628	7699.85	2261.902	3768.411	2737.559	4509.777	3138.629	1508.065	5818.23	2917.706	7046.757	8134.467	4660.488	5991.272	4786.92	1210.684	3591.773	890.269
32	3411.436	2342.36	3593.828	4056.457	5856.33	2161.807	7824.798	7639.269	2216.488	3935.472	2902.195	4844.868	3271.509	1476.664	5691.992	2889.526	7701.56	8014.438	4865.428	5877.494	4703.239	1205.559	3617.922	885.67
33	3389.725	2338.401	3670.647	4031.28	6158.95	2178.021	8054.163	7445.621	2185.307	4081.221	3078.486	5286.485	3418.713	1483.171	5404.901	2765.103	7807.45	7939.652	5078.469	5803.662	4686.089	1203.116	3707.212	892.774
34	3384.876	2341.128	3695.693	4019.587	6128.032	2136.946	8376.793	7206.062	2223.847	4211.679	3229.014	5713.999	3525.051	1458.594	5369.344	2711.344	8037.666	8072.862	5338.209	5824.019	4764.558	1203.955	3691.763	881.807
35	3414.677	2342.911	3700.324	3956.584	6232.309	2154.954	9030.778	6989.739	2276.296	4354.986	3342.466	5924.391	3647.123	1468.346	5536.125	2705.172	8119.517	8412.395	5607.437	6028.026	4983.878	1236.349	3767.519	901.906
36	3461.751	2369.52	3658.592	3918.007	6055.105	2126.417	9606.512	6864.935	2393.506	4469.001	3411.838	6068.214	3781.737	1492.343	5760.255	2626.894	7919.882	8885.053	5821.482	6226.326	5352.56	1280.866	3845.237	925.863
37	3540.033	2403.175	3639.591	3953.093	6036.602	2167.169	10361.727	6874.753	2533.217	4529.653	3425.515	6082.862	3945.138	1520.617	6471.923	2735.405	7866.045	9568.996	5902.781	6557.768	5822.215	1294.44	3932.931	934.17
38	3664.088	2451.898	3580.767	3989.782	6006.217	2216.039	10766.716	7171.395	2710.002	4559.26	3403.773	5901.737	4148.396	1583.792	7038.254	2784.831	7498.09	10158.378	5951.985	7036.898	6300.875	1377.448	4134.597	975.204
39	3786.819	2531.981	3566.684	4201.153	6038.322	2227.403	11073.041	7708.909	2859.958	4625.639	3348.037	5735.208	4381.11	1666.902	7802.712	2979.309	7412.023	10605.391	5928.073	7375.875	6778.848	1385.022	4220.548	993.27
40	3950.301	2627.064	3666.213	4312.612	6159.423	2355.577	11271.394	8393.974	2939.471	4667.874	3327.806	5620.076	4699.228	1741.565	8216.869	3181.133	7288.438	10902.063	5962.75	7755.664	7040.853	1420.641	4452.458	1042.979
41	4060.402	2708.75	3790.435	4497.699	6257.449	2370.66	11054.208	9084.729	2979.528	4802.191	3301.728	5495.295	5007.113	1799.1	8408.391	3386	7503.207	10892.534	5853.319	8047.095	7258.027	1443.679	4680.153	1073.269
42	4171.805	2764.327	3979.478	4653.381	6558.955	2412.833	10998.999	9718.634	2994.758	4900.269	3342.84	5413.697	5355.829	1869.163	8576.914	3595.29	7994.799	10851.681	5813.96	8194.942	7399.706	1411.646	4798.835	1094.283
43	4209.697	2796.908	4259.578	4900.873	6772.401	2376.123	10604.173	10202.556	2983.631	5022.644	3368.627	5550.064	5572.907	1877.871	8265.232	3589.261	8250.795	10627.291	5869.944	8347.716	7448.423	1424.184	5067.295	1140.976
