TIME	20170605_W01	20170605_W02	20170605_W03	20170605_W05	20180415_780_W02	20180415_780_W03	20180415_780_W05	20180421_DB_W02	20180421_DB_W03	20180421_DB_W05	20180421_DB_W06	20180421_NLO_W02	20180421_NLO_W03	20180421_NLO_W04	20180422_780_W02	20180422_780_W03	20180422_780_W05	20180429_DB_W02	20180429_DB_W03	20180429_DB_W04	20180429_DB_W05	20180505_780_W02	20180505_780_W03	20180505_780_W04
96	6715.414	4187.278	6653.103	6241.667	10897.331	5161.991	13180.366	12013.776	7842.338	6242.19	5772.859	12967.43	6306.222	3451.539	10146.724	6731.266	11179.772	15527.42	8994.007	13159.697	8004.379	2167.796	7267.163	2696.928
97	6790.358	4230.584	6697.246	6148.588	10804.643	5298.051	13013.649	12067.143	7860.804	6225.72	5676.233	12748.996	6333.444	3444.875	9922.092	6686.418	11184.381	15582.246	8845.332	13174.588	7800.891	2170.934	7276.07	2698.136
98	6852.602	4290.385	6681.65	6223.99	10570.951	5394.551	12689.117	12066.952	7872.932	6186.785	5524.409	12754.207	6286.69	3422.156	9812.478	6667.405	11175.786	15617.928	8737.167	13033.172	7631.307	2139.257	7106.312	2658.828
99	6973.978	4333.547	6730.862	6278.291	10446.787	5667.206	12632.701	11940.123	7909.261	6143.472	5430.011	12695.141	6308.592	3394.565	9537.273	6541.794	11028.371	15631.844	8611.718	12878.606	7413.136	2099.413	6999.194	2654.795
100	7040.053	4386.329	6894.338	6080.829	10326.257	5972.368	12483.305	11703.283	8064.882	6025.6	5318.489	12383.352	6203.911	3385.101	9429.45	6465.148	10905.466	15377.079	8480.85	12651.342	7213.601	2061.599	6869.963	2625.808
101	7105.548	4397.268	6759.129	5911.297	10044.126	6110.757	12160.225	11517.181	8113.223	5953.054	5211.408	12275.747	6285.735	3449.062	9395.921	6386.229	10687.366	15119.711	8385.009	12391.258	7041.135	2008.888	6691.624	2610.813
102	7098.732	4351.751	6725.542	5925.72	10029.109	6274.666	12055.13	11191.698	8179.133	5877.174	5129.416	12003.114	6200.814	3486.897	9225.157	6249.962	10371.869	14818.67	8307.277	12124.594	6863.585	1990.829	6629.325	2635.526
103	7017.826	4274.16	6782.897	5723.077	9849.34	6254.645	11676.522	10947.212	8186.235	5807.418	5100.214	11928.193	6197.548	3561.84	9272.739	6178.384	10164.073	14653.563	8166.002	11889.391	6694.998	1964.309	6543.625	2672.428
104	6955.167	4170.918	6697.665	5540.931	9885.625	6270.881	11561.578	10629.643	8241.784	5687.773	5037.309	11681.76	6245.323	3726.806	9192.69	6095.024	9891.611	14443.965	8002.29	11673.77	6514.882	1916.408	6446.968	2705.158
105	6864.314	4095.197	6637.647	5539.426	9866.989	6123.049	11200.889	10361.623	8062.21	5553.574	4994.699	11251.129	6235.073	3731.51	9012.727	6024.76	9653.854	14343.152	7873.068	11470.665	6345.931	1888.445	6434.843	2744.076
106	6715.269	4032.007	6551.694	5464.35	9792.819	5885.483	10967.693	10109.644	7981.351	5443.003	4978.27	11059.089	6280.188	3844.806	8950.653	6011.363	9698.13	14434.146	7705.397	11395.278	6234.871	1855.371	6373.704	2772.801
107	6583.044	3960.993	6555.545	5365.665	9861.664	5788.508	10793.09	9959.358	7969.25	5376.098	4969.64	10987.769	6347.398	3871.69	8757.71	5945.633	9530.11	14502.964	7563.389	11379.299	6138.82	1831.913	6379.328	2817.2
108	6495.807	3982.351	6464.593	5448.007	9739.056	5604.476	10422.06	9799.426	7937.774	5299.999	4911.603	10523.992	6259.805	3825.246	8655.636	5898.232	9346.391	14612.035	7441.959	11360.611	5986.794	1781.951	6360.923	2825.311
109	6443.898	3993.954	6500.222	5477.314	9785.856	5685.489	10354.773	9735.428	7841.231	5318.277	4860.196	10351.005	6281.208	3851.628	8526.834	5889.023	9162.027	14727.063	7297.648	11345.555	5828.684	1773.147	6343.84	2850.69
110	6325.325	4000.941	6453.862	5447.876	9516.855	5709.013	10024.469	9761.579	7805.943	5278.634	4791.377	10090.706	6289.351	3784.635	8339.639	5861.291	9149.276	14817.262	7142.84	11362.446	5692.596	1725.944	6256.562	2835.354
111	6229.317	4006.39	6428.437	5351.964	9428.166	5952.041	9951.666	9631.822	7734.336	5234.482	4690.176	9668.552	6379.227	3696.195	8209.675	5869.404	9114.54	14847.157	7032.408	11271.421	5525.08	1675.834	6085.038	2808.381
112	6088.087	4022.377	6349.742	5316.473	9219.779	6195.235	9870.068	9541.179	7605.866	5199.796	4576.714	9344.169	6442.117	3712.5	7953.759	5708.252	8785.139	14733.444	6949.14	11165.953	5352.222	1667.014	6080.96	2840.242
113	6019.501	4053.119	6295.987	5359.511	9038.519	6305.58	9603.46	9373.264	7624.61	5159.391	4480.253	9280.167	6586.453	3738.479	7896.082	5710.006	8700.838	14591.95	6819.209	11007.209	5232.444	1617.271	5926.804	2792.468
114	5982.421	4040.745	6417.373	5225.93	8944.531	6525.922	9478.479	9228.812	7616.266	5155.72	4434.923	8925.178	6492.818	3712.952	7851.98	5694.396	8539.776	14283.606	6710.821	10764.278	5084.212	1601.88	5843.549	2817.16
115	5886.036	4021.819	6332.64	5101.72	8711.18	6490.46	9159.097	9075.654	7587.641	5101.357	4370.954	8681.188	6576.595	3846.135	7612.643	5536.646	8164.352	13927.384	6591.953	10492.873	4975.503	1573.995	5774.323	2800.21
116	5861.573	4006.87	6401.183	5048.666	8741.052	6578.458	9077.254	8859.431	7604.914	5056.827	4324.099	8554.942	6472.969	3859.088	7469.468	5533.567	8030.681	13703.547	6497.666	10261.648	4905.663	1553.755	5636.368	2799.777
117	5692.49	3916.191	6251.569	4937.024	8590.36	6422.931	8757.876	8601.208	7692.682	4963.824	4342.933	8302.3	6344.805	3978.49	7293.9	5498.57	7856.54	13404.736	6418.072	10027.253	4821.715	1507.905	5615.733	2812.016
118	5630.931	3906.717	6207.17	4922.635	8514.707	6267.052	8572.751	8422.645	7740.608	4901.171	4372.963	8216.317	6471.022	4092.122	7234.752	5552.224	7736.794	13163.695	6299.094	9823.938	4754.804	1467.712	5513.641	2787.393
119	5502.436	3840.483	6107.43	4801.537	8443.19	6116.086	8367.815	8237.653	7725.145	4849.984	4391.04	8130.433	6523.746	4094.128	7103.776	5541.531	7671.318	12933.933	6181.828	9694.459	4745.306	1463.078	5580.273	2854.483
120	5371.349	3751.055	5944.448	4701.766	8245.231	5889.797	8080.885	8044.671	7604.13	4770.848	4421.705	7909.965	6552.98	4071.977	6948.823	5452.997	7456.371	12733.099	6124.428	9552.236	4702.734	1443.526	5545.064	2862.656
121	5252.237	3679.923	5881.39	4643.721	8303.686	5876.201	8058.818	7921.743	7528.712	4707.226	4426.977	7750.636	6655.38	4132.728	6878.909	5572.267	7459.939	12593.173	6090.298	9446.093	4702.266	1431.283	5544.008	2881.004
122	5169.55	3642.745	5797.731	4615.136	8110.678	5872.715	7881.044	7778.647	7371.294	4663.128	4412.817	7734.125	6794.323	4091.27	6819.108	5568.498	7454.822	12526.118	6044.327	9450.448	4681.069	1400.958	5504.9	2863.511
123	5114.045	3609.282	5711.176	4605.554	8095.662	6083.724	7907.612	7653.513	7256.261	4619.449	4422.876	7476.324	6783.947	4075.812	6579.408	5476.591	7173.567	12420.004	5975.68	9366.733	4601.37	1364.843	5403.869	2848.701
124	5042.782	3609.31	5596.936	4573.725	7926.771	6270.089	7745.837	7546.516	7147.153	4616.898	4365.448	7377.556	7077.389	4057.706	6517.695	5495.644	7138.612	12332.468	5973.456	9282.173	4571.74	1343.09	5360.417	2838.307
125	4991.908	3631.785	5641.461	4547.435	7788.8	6413.609	7763.017	7431.696	7090.14	4617.563	4301.784	7165.147	6847.367	4013.005	6528.231	5565.933	7040.184	12213.027	5908.058	9162.391	4520.258	1316.851	5230.803	2811.183
126	4939.16	3618.749	5566.942	4443.588	7769.136	6592.438	7731.655	7327.053	7037.057	4646.344	4216.345	6963.607	6918.358	4002.531	6256.705	5394.465	6806.433	12036.142	5830.923	9027.049	4451.688	1295.07	5186.144	2827.06
127	4893.62	3614.213	5603.225	4451.149	7566.874	6555.471	7553.841	7229.962	7046.767	4620.223	4164.553	6894.36	6955.193	4060.878	6253.952	5486.67	6802.396	11750.238	5752.347	8842.283	4373.014	1264.277	5075.446	2812.743
128	4825.636	3623.75	5610.766	4348.378	7557.752	6648.647	7484.869	7105.216	7057.29	4606.99	4144.598	6673.76	6884.098	4077.471	6067.4	5422.149	6559.202	11513.516	5667.693	8646.315	4298.954	1252.053	5050.458	2828.762
129	4809.336	3606.395	5588.738	4242.414	7426.371	6480.161	7331.98	6976.071	7086.996	4602.209	4144.652	6544.286	6838.498	4103.213	6066.072	5507.725	6526.019	11197.707	5607.933	8415.229	4195.423	1223.643	4969.428	2818.677
