TIME	20170929_W03	20170929_W04	20170929_W05	20170929_W06	20190619_W01	20190619_W02	20190619_W03	20190619_W04	20190619_W05	20190702_W03
0	1410.273	1561.467	1213.601	1115.31	1051.821	911.262	1354.729	823.854	872.661	1183.886
1	1496.452	1558.353	1289.376	1101.394	1045.957	898.955	1387.339	842.305	893.427	1168.834
2	1638.331	1547.553	1367.658	1084.581	1043.425	901.875	1434.966	860.349	940.72	1113.845
3	1821.115	1550.483	1438.44	1070.317	1040.238	913.848	1486.779	876.197	1008.791	1089.745
4	2006.916	1545.161	1478.611	1039.649	1098.349	908.024	1529.444	865.751	1053.88	1080.842
5	2199.695	1566.758	1504.896	1019.161	1193.095	920.277	1575.404	856.245	1119.952	1074.48
6	2349.511	1591.027	1522.857	1008.726	1318.457	941.104	1596.878	830.13	1165.324	1089.233
7	2440.054	1621.329	1540.414	996.268	1433.363	950.781	1627.004	825.169	1186.415	1157.84
8	2489.066	1686.346	1560.084	1005.373	1545.816	956.818	1693.296	815.572	1216.065	1211.363
9	2484.995	1787.999	1568.55	1012.041	1618.284	1025.598	1794.161	829.738	1226.064	1325.963
10	2479.306	1876.502	1587.005	1022.255	1645.321	1071.124	1909.783	850.431	1231.611	1472.086
11	2475.772	1979.538	1631.463	1019.265	1669.37	1104.647	2082.785	891.175	1253.755	1640.453
12	2485.692	2062.842	1721.203	1025.172	1649.122	1145.372	2252.761	933.131	1289.265	1845.482
13	2537.468	2105.173	1846.992	1043.097	1625.487	1187.209	2395.54	964.297	1358.435	2058.963
14	2658.997	2152.582	1991.358	1053.568	1625.089	1285.805	2558.816	1006.95	1462.3	2173.513
15	2861.039	2121.48	2103.709	1047.281	1632.239	1338.357	2632.428	1018.084	1567.454	2244.945
16	3098.668	2095.383	2185.369	1020.581	1639.294	1396.4	2656.564	1017.447	1661.983	2312.519
17	3195.571	2035.439	2139.019	1008.337	1689.588	1425.965	2623.204	970.105	1698.25	2354.48
18	822.922	1250.929	980.597	892.175	1788.408	1484.142	2612.101	940.035	1723.155	2349.434
19	892.171	1301.706	1024.245	900.834	1934.021	1540.64	2581.573	921.972	1723.837	2335.632
20	998.123	1315.065	1063.468	915.505	2082.969	1611.255	2561.035	919.141	1730.323	2284.359
21	1183.357	1433.936	1111.025	928.588	2151.238	1622.599	2540.23	913.756	1723.602	2339.144
22	1354.755	1557.265	1240.47	958.551	2224.928	1668.361	2616.266	935.219	1702.143	2371.966
23	1808.911	1793.942	1404.194	965.841	2222.743	1715.673	2683.641	971.135	1700.687	2456.373
