TIME	20170929_W07	20170929_W08	20170929_W09	20170929_W10	20170929_W11	20170929_W12	20190619_W06	20190619_W07	20190619_W08	20190619_W09	20190619_W10	20190702_W06	20190702_W07	20190702_W08	20190702_W09
36	4208.803	1259.95	1660.794	2121.601	3416.302	1468.57	1048.538	2781.387	3351.697	1685.147	1703.624	1766.541	2413.586	1726.144	1415.457
37	4098.963	1245.674	1609.025	2127.258	3402.271	1454.328	1043.893	2736.302	3292.667	1681.744	1771.054	1723.236	2328.998	1686.411	1377.352
38	3985.795	1237.81	1590.024	2103.172	3361.589	1460.855	1046.252	2651.071	3255.005	1705.493	1850.631	1694.168	2240.897	1659.242	1362.348
39	3846.972	1243.481	1570.474	2104.747	3343.734	1497.915	1043.625	2596.998	3162.963	1711.089	1980.65	1653.655	2163.984	1675.96	1379.658
40	3744.7	1256.042	1535.226	2102.981	3349.208	1551.258	1069.158	2512.578	3101.021	1758.145	2088.743	1615.29	2118.783	1761.311	1438.196
41	3648.999	1287.928	1511.537	2163.948	3391.643	1629.266	1087.036	2455.731	3039.484	1818.845	2175.755	1558.495	2106.828	1893.476	1510.772
42	3590.433	1348.453	1551.218	2221.709	3492.522	1710.784	1131.535	2491.79	3035.22	1903.832	2247.43	1535.233	2172.185	2089.698	1634.965
43	3604.167	1419.814	1629.343	2334.361	3648.193	1794.14	1173.636	2604.099	3096.032	1983.591	2280.792	1526.382	2287.766	2318.745	1784.36
44	3646.407	1470.509	1717.858	2446.813	3862.313	1846.623	1193.569	2770.803	3264.908	2058.882	2236.285	1568.527	2479.781	2552.229	1933.246
45	3794.836	1525.683	1875.347	2600.902	4141.337	1906.967	1206.339	2954.822	3495.307	2138.817	2224.828	1627.578	2767.832	2807.792	2095.161
46	3983.473	1610.387	1957.822	2710.264	4449.658	1922.178	1233.867	3196.171	3780.634	2189.034	2186.047	1767.005	3111.451	2979.494	2226.22
47	4137.017	1637.515	2067.728	2796.614	4758.094	1926.112	1251.631	3296.065	3951.701	2241.105	2164.444	1896.566	3444.385	3117.29	2311.979
48	4289.062	1642.097	2104.427	2864.84	5004.377	1883.142	1252.892	3368.653	4187.096	2257.752	2129.822	2078.078	3717.795	3152.324	2333.891
49	4390.396	1607.007	2136.555	2902.282	5158.977	1851.538	1233.145	3394.743	4296.127	2268.522	2145.872	2202.181	3867.681	3133.177	2321.492
50	4520.821	1583.428	2138.294	2927.944	5255.046	1822.991	1213.587	3343.079	4331.852	2256.964	2153.418	2323.466	3885.516	3061.919	2292.487
51	4470.865	1571.378	2102.788	2924.194	5250.277	1803.427	1183.089	3267.533	4339.264	2231.704	2134.586	2420.091	3905.593	2971.568	2213.588
52	4387.278	1547.232	2097.716	2861.998	5158.979	1803.466	1167.524	3114.627	4196.251	2205.615	2145.678	2477.955	3847.026	2875.11	2123.307
53	4300.59	1530.436	2059.775	2827.209	5029.188	1811.128	1143.154	3009.47	4102.55	2182.673	2155.193	2450.703	3719.676	2760.704	2076.002
54	4099.006	1517.633	1999.94	2785.231	4883.308	1843.764	1123.271	2907.559	3992.885	2182.604	2223.422	2381.929	3514.139	2615.843	1984.346
55	3963.954	1506.193	1994.162	2775.8	4798.57	1893.456	1102.575	2781.052	3802.645	2207.71	2313.177	2300.58	3310.694	2515.937	1912.154
56	3816.201	1519.189	1950.558	2816.638	4768.06	1980.224	1100.517	2720.796	3734.826	2253.307	2452.152	2224.301	3101.306	2481.748	1869.771
57	3653.791	1554.546	1957.545	2865.393	4788.681	2067.111	1100.824	2721.109	3733.742	2356.845	2644.942	2116.668	2937.757	2543.83	1878.093
58	3531.126	1611.91	2013.376	2951.736	4894.8	2163.282	1117.735	2774.764	3777.326	2491.279	2810.945	2084.302	2824.625	2705.02	1951.188
59	3423.651	1662.379	2132.475	3099.594	5081.034	2237.301	1142.939	2891.501	4027.018	2660.627	2943.131	2025.476	2736.551	3000.181	2069.401
60	3328.508	1733.744	2308.207	3275.208	5397.713	2300.444	1186.754	3107.576	4322.28	2800.287	3036.424	1989.61	2740.504	3398.55	2275.486
61	3309.186	1802.097	2509.288	3475.236	5763.724	2357.355	1237.391	3379.828	4677.945	2909.536	3093.771	1987.286	2801.496	3874.029	2555.64
62	3322.536	1894.265	2702.369	3643.323	6063.253	2379.798	1280.107	3675.939	4964.34	2951.076	3084.289	2060.97	2987.023	4351.308	2836.117
63	3355.365	1936.795	2910.311	3791.062	6191.087	2379.57	1335.596	3800.281	5144.905	2968.742	3069.218	2153.654	3267.87	4801.116	3148.594
64	3354.702	1950.284	3032.763	3833.29	6297.274	2350.246	1342.316	3900.087	5255.421	2982.225	3031.917	2312.33	3572.577	5075.617	3413.717
65	3405.963	1931.143	3112.631	3870.241	6319.944	2331.581	1338.763	3935.987	5183.318	2941.388	2963.922	2481.848	3843.913	5223.322	3561.025
66	3428.522	1910.37	3154.986	3870.937	6232.457	2302.47	1317.187	3907.023	5169.56	2850.71	2881.686	2664.923	4141.249	5247.777	3651.556
67	3392.76	1883.279	3118.604	3784.35	6047.243	2277.074	1302.436	3818.833	4995.074	2830.289	2822.094	2802.028	4271.275	5189.388	3671.523
68	3361.507	1835.119	3069.709	3697.167	5847.581	2244.167	1277.86	3732.331	4828.934	2753.324	2750.366	2910.308	4333.733	5039.936	3571.794
69	3258.784	1798.199	2969.995	3572.104	5653.593	2226.399	1239.624	3555.102	4620.255	2696.94	2697.316	2947.152	4308.527	4849.61	3433.54
70	3171.555	1750.248	2781.217	3449.814	5435.093	2224.343	1205.551	3468.573	4408.909	2677.544	2703.744	2971.762	4204.711	4552.434	3285.883
71	3068.842	1718.611	2655.691	3413.117	5277.742	2265.963	1192.391	3312.561	4274.655	2716.073	2722.84	2958.045	4033.579	4280.605	3099.286
72	2951.614	1700.169	2566.953	3312.395	5118.5	2338.372	1171.74	3229.521	4108.242	2824.863	2793.685	2882.972	3863.33	4062.813	2990.321
73	2849.268	1710.773	2521.205	3295.339	5063.321	2457.832	1179.703	3148.785	3999.783	2951.403	2919.296	2800.806	3668.281	3845.82	2866.992
74	2737.232	1750.283	2584.322	3299.476	5043.655	2603.609	1201.486	3105.967	3981.24	3154.574	3109.307	2679.864	3470.737	3698.634	2817.152
75	2659.754	1817.614	2657.349	3347.681	5100.11	2769.504	1244.581	3132.258	4019.88	3340.242	3283.923	2610.656	3311.043	3614.759	2810.247
76	2611.183	1935.224	2806.047	3429.853	5190.676	2927.851	1275.52	3206.161	4068.769	3464.709	3467.433	2517.865	3182.586	3706.319	2875.414
77	2546.417	2031.989	2982.413	3561.829	5263.174	3073.109	1325.119	3301.891	4169.708	3566.784	3591.441	2425.019	3097.635	3979.638	3072.177
78	2540.072	2173.182	3119.387	3695.888	5298.147	3163.623	1376.799	3448.397	4264.175	3567.776	3631.656	2452.648	3048.392	4293.873	3325.948
79	2504.333	2259.612	3277.985	3800.168	5308.592	3229.001	1394.779	3572.178	4284.595	3547.898	3692.813	2479.911	2987.537	4751.378	3618.454
80	2496.915	2321.621	3403.747	3854.195	5276.054	3216.445	1417.774	3534.676	4244.173	3475.081	3610.126	2526.693	3012.438	5214.487	3917.291
81	2463.761	2320.025	3505.173	3903.471	5218.957	3180.256	1409.613	3548.204	4235.183	3391.192	3470.151	2558.501	3027.364	5578.515	4176.902
82	2428.208	2310.061	3524.371	3898.627	5097.337	3126.945	1410.166	3531.305	4176.561	3299.979	3386.425	2656.872	3047.167	5804.155	4266.915
83	2402.702	2283.815	3475.753	3853.094	4899.73	3041.922	1381.972	3456.765	4029.684	3254.668	3284.668	2739.148	3058.198	5953.539	4348.682
84	2352.592	2229.727	3365.088	3737.686	4654.103	2944.314	1354.816	3319.842	3866.368	3149.338	3106.255	2760.892	3020.019	5954.345	4278.905
85	2317.964	2176.676	3280.789	3618.333	4448.279	2866.765	1318.752	3234.971	3764.959	3132.935	2988.028	2739.214	2972.186	5858.551	4191.957
