TIME	20190410_W01	20190410_W02	20190410_W04	20190410_W05	20190417_W01	20190417_W02	20190417_W03	20190417_W04	20190417_W05	20190429_W01	20190429_W02	20190429_W03	20190429_W04	20190429_W05
41	4208.278	1907.379	733.444	944.044	782.944	1443.498	4111.507	3242.908	2342.63	1060.184	728.146	3385.772	809.95	4609.538
42	4437.285	1963.291	748.988	976.773	785.605	1422.355	4008.979	3269.684	2289.358	1025.308	746.235	3355.184	840.189	4784.84
43	4535.287	1968.811	779.047	1011.315	813.969	1425.869	3974.531	3398.147	2292.737	993.263	755.593	3287.195	896.02	4758.085
44	4617.287	1970.199	825.885	1052.998	844.374	1473.01	3917.579	3557.682	2346.044	974.349	751.599	3330.974	926.541	4656.966
45	4555.676	1928.092	841.185	1087.379	867.361	1553.776	3757.225	3793.295	2423.259	955.895	751.05	3502.151	951.767	4479.301
46	4436.584	1908.436	881.887	1116.526	914.653	1676.385	3683.34	4002.054	2595.361	971.174	755.187	3696.83	953.291	4286.193
47	4291.999	1881.171	907.582	1123.165	952.895	1794.988	3555.263	4015.188	2742.98	1011.641	722.74	3916.566	947.498	4077.455
48	4191.203	1845.252	893.932	1129.214	968.753	1900.403	3571.871	4106.328	2843.59	1072.836	716.274	4198.042	920.618	3987.884
49	4087.148	1822.396	861.9	1114.604	975.566	1960.526	3628.121	4060.529	2887.233	1132.07	685.414	4359.893	876.896	3991.07
50	4098.638	1818.943	826.926	1101.03	971.216	1999.606	3824.908	3965.925	2960.333	1200.402	676.121	4458.904	849.529	4132.557
51	4255.744	1858.897	821.92	1107.136	972.76	2026.498	4100.214	4011.982	2951.831	1237.433	662.708	4449.33	847.268	4383.36
52	4527.001	1934.837	796.397	1125.723	956.245	2020.282	4408.637	3849.932	2873.729	1274.561	672.502	4364.376	856.587	4777.906
53	4848.343	2044.918	770.656	1161.097	968.509	1985.815	4758.31	3891.352	2810.253	1273.192	674.904	4226.24	894.615	5117.405
54	5193.68	2168.861	758.212	1206.867	954.85	1919.315	5083.075	3926.231	2710.188	1245.386	708.607	4072.45	932.823	5398.389
55	5478.582	2316.412	749.231	1238.755	961.32	1853.825	5394.284	3945.384	2619.429	1219.347	721.399	3954.727	977.357	5663.497
56	5676.205	2419.712	762.749	1306.782	961.94	1832.772	5455.502	4060.979	2549.281	1198.317	745.69	3927.068	1013.742	5722.663
57	5727.697	2504.986	776.09	1358.72	981.286	1793.589	5558.13	4204.118	2513.513	1151.794	741.45	3898.663	1032.592	5705.707
58	5749.523	2576.887	798.776	1410.53	1006.538	1829.64	5588.453	4309.522	2521.158	1143.49	767.451	3982.001	1032.437	5519.596
59	5666.926	2573.758	820.734	1419.818	1038.207	1879.812	5441.042	4427.82	2573.685	1149.221	749.028	4200.299	1030.458	5401.295
60	5501.091	2527.051	805.849	1458.131	1071.708	1958.196	5359.242	4655.999	2668.629	1192.976	738.283	4356.493	1023.668	5172.35
61	5305.338	2497.132	783.574	1418.917	1073.058	2050.386	5195.236	4641.42	2760.926	1258.179	711.525	4570.777	979.008	5026.889
62	5098.214	2414.27	772.364	1404.352	1096.386	2180.298	5076.174	4704.502	2835.552	1337.552	694.067	4789.857	958.533	4957.241
63	4984.588	2367.471	752.489	1384.965	1090.74	2354.445	5034.716	4793.523	2906.715	1417.477	685.635	4881.262	947.899	4942.374
64	4948.426	2349.017	724.621	1369.219	1095.173	2493.594	5102.718	4743.375	2977.823	1470.746	691.301	4969.891	949.881	5096.336
65	4973.228	2343.92	711.142	1377.677	1096.238	2631.122	5261.955	4734.214	3016.272	1496.463	705.148	4971.943	966.869	5387.621
66	5160.593	2383.597	692.661	1425.592	1074.436	2720.834	5464.537	4695.441	2974.169	1490.976	732.12	4914.396	1004.653	5735.467
67	5434.155	2509.189	684.185	1454.816	1069.452	2772.165	5792.285	4733.168	2974.056	1464.463	754.107	4829.926	1051.031	6063.09
68	5847.685	2617.437	678.298	1484.823	1049.923	2810.805	6125.128	4689.512	2976.979	1416.155	773.991	4674.348	1087.247	6444.158
69	6217.066	2829.427	685.015	1518.409	1049.159	2781.311	6462.979	4771.125	2899.436	1370.178	802.307	4625.457	1125.136	6674.968
70	6592.522	3042.873	694.808	1610.012	1061.937	2814.987	6709.325	4844.078	2845.413	1346.903	825.191	4635.542	1178.706	6829.286
71	6886.999	3216.69	708.894	1619.675	1102.604	2741.953	6830.47	4903.175	2849.585	1331.094	822.438	4686.136	1193.944	6894.476
72	7120.984	3403.153	720.318	1677.27	1118.757	2685.143	6922.782	4907.021	2813.482	1347.507	830.923	4763.295	1185.649	6926.974
73	7204.583	3452.303	713.96	1630.351	1156.55	2661.184	6961.42	5108.533	2817.62	1395.603	806.891	4912.114	1160.059	6591.511
74	7125.463	3518.403	710.305	1659.519	1215.905	2671.953	6828.826	5152.238	2863.25	1471.966	789.432	5124.96	1141.966	6519.961
75	7096.69	3505.803	708.4	1666.177	1239.039	2734.006	6621.807	5301.454	2888.78	1556.552	779.535	5236.542	1116.784	6487.501
76	6903.422	3511.035	696.059	1640.005	1281.652	2846.148	6383.865	5345.867	2951.391	1649.71	770.357	5386.461	1099.07	6407.581
77	6760.167	3377.673	696.172	1594.559	1324.708	2944.82	6395.174	5478.529	3089.84	1721.507	782.65	5483.31	1099.522	6397.236
78	6670.083	3305.017	681.395	1622.612	1334.024	3081.825	6347.591	5439.788	3167.522	1748.596	796.638	5571.887	1129.838	6472.397
79	6611.747	3285.119	679.906	1630.15	1335.249	3236.533	6233.468	5466.448	3269.855	1741.148	838.463	5668.513	1152.882	6721.363
80	6598.761	3240.004	673.663	1640.115	1310.672	3345.633	6514.789	5432.663	3329.353	1716.695	880.277	5701.413	1211.423	7050.089
81	6785.751	3186.659	673.175	1702.059	1313.722	3406.545	6718.57	5526.73	3346.848	1660.012	924.644	5691.52	1262.876	7411
82	7031.389	3321.742	694.424	1784.615	1315.167	3455.483	7021.157	5506.871	3402.83	1642.125	977.74	5689.771	1350.241	7660.43
83	7394.221	3418.591	713.468	1878.698	1322.044	3441.361	7193.595	5505.414	3406.393	1611.409	1014.338	5616.2	1388.807	8128.183
84	7814.747	3531.493	734.322	1903.391	1345.02	3355.606	7396.108	5469.207	3354.588	1600.646	1020.337	5673.741	1396.325	8159.742
85	8087.601	3687.956	746.974	1986.787	1355.785	3253.43	7499.661	5467.93	3300.327	1627.815	999.521	5738.088	1381.079	8181.5
86	8424.174	3807.162	763.122	1957.384	1405.939	3198.142	7603.293	5524.831	3243.815	1685.517	986.688	5902.026	1345.583	8213.756
87	8628.231	3898.051	776.907	1914.672	1495.969	3138.568	7485.183	5655.815	3242.709	1784.932	977.179	5993.675	1338.366	8107.919
88	8742.059	3940.207	778.471	1882.509	1567.56	3082.325	7424.463	5727.748	3262.751	1895.225	953.835	6070.897	1297.502	8074.885
89	8737.638	3985.284	786.352	1892.838	1631.6	3118.035	7237.138	5870.993	3256.827	1997.361	937.36	6179.514	1292.296	8000.742
90	8722.672	3964.72	777.124	1904.956	1690.044	3205.662	7119.188	5908.113	3281.729	2067.804	943.307	6333.291	1293.177	7956.467
91	8727.553	3900.122	783.011	1901.675	1696.467	3257.183	6847.205	5927.594	3350.36	2102.033	973.992	6309.214	1296.339	7948.588
92	8619.779	3833.068	784.103	1932.512	1740.461	3354.366	6826.632	5995.375	3392.969	2092.61	1015.813	6419.949	1315.676	8083.792
93	8653.449	3714.866	785.459	1960.889	1728.472	3431.902	6748.423	5983.32	3436.732	2054.545	1077.832	6534.962	1360.166	8257.288
94	8618.269	3651.069	802.159	2061.566	1715.851	3476.024	6595.004	5993.313	3470.753	2027.599	1177.181	6571.781	1448.214	8519.406
95	8627.379	3654.604	821.928	2162.589	1728.081	3502.334	6554.924	5929.805	3510.765	1960.299	1244.708	6532.965	1503.052	8725.2
96	8683.949	3642.998	844.559	2258.856	1687.982	3457.791	6524.276	5926.641	3500.591	1939.447	1297.212	6645.69	1563.846	9058.257
97	8837.974	3601.188	854.142	2337.418	1664.357	3348.543	6435.858	5885.769	3430.818	1916.355	1288.495	6595.55	1582.217	9194.657
98	9047.178	3619.619	891.463	2425.105	1667.438	3290.082	6408.638	5910.434	3467.658	1957.54	1294.029	6661.9	1590.543	9195.316
99	9254.832	3559.593	942.624	2452.36	1686.181	3195.615	6316.584	5845.206	3473.529	2053.577	1265.619	6602.026	1596.063	9393.675
100	9432.108	3518.122	970.204	2437.058	1762.352	3097.627	6219.791	5828.618	3412.526	2141.212	1241.319	6643.955	1561.825	9310.208
101	9528.104	3470.438	995.485	2391.45	1822.83	2998.957	6103.398	5856.977	3370.776	2265.698	1209.839	6666.907	1523.475	9047.598
102	9570.841	3420.98	1003.12	2370.393	1889.632	2958.961	5989.94	5748.337	3356.609	2349.597	1186.961	6729.18	1517.591	8981.664
