TIME	20191201_W06	20191201_W07	20191201_W08	20191201_W09	20191201_W10
117	4907.752	4525.506	4628.074	5941.902	3349.306
118	4918.356	4523.326	4629.377	5939.169	3377.761
119	4946.265	4559.349	4693.727	5940.87	3385.663
120	4936.7	4554.832	4683.146	5855.606	3344.399
121	4837.802	4507.58	4677.319	5817.112	3344.712
122	4739.939	4421.242	4637.762	5751.16	3330.299
123	4730.497	4381.311	4619.452	5687.939	3286.949
124	4708.184	4418.819	4676.855	5767.532	3327.121
125	4616.114	4338.647	4629.567	5715.782	3276.278
126	4664.312	4378.149	4689.473	5780.742	3248.434
127	4618.856	4372.751	4725.013	5805.208	3234.787
128	4616.071	4365.16	4708.804	5779.246	3219.284
129	4665.602	4398.911	4760.879	5877.697	3286.129
130	4653.766	4382.715	4761.263	5843.779	3236.791
131	4739.694	4424.727	4843.344	5912.033	3289.243
132	4681.296	4372.764	4830.045	5882.07	3309.658
133	4703.163	4374.438	4827.964	5820.882	3306.658
134	4732.708	4421.742	4870.222	5879.781	3310.02
135	4736.647	4356.254	4802.133	5811.125	3282.812
136	4764.393	4372.443	4800.351	5822.311	3298.503
137	4780.011	4395.439	4866.262	5898.725	3322.742
138	4751.584	4372.302	4791.744	5829.589	3267.323
