TIME	20180902_W02	20180902_W03	20180902_W04	20180902_W05	20180902_W06	20180902_W07	20180908_W02	20180908_W03	20180908_W04	20180908_W05
0	789.669	1102.39	885.977	1097.96	878.799	1402.625	1269.632	970.679	1350.391	1168.128
1	806.43	1099.621	886.062	1097.662	893.5	1481.759	1298.816	954.347	1374.501	1176.782
2	804.95	1080.052	863.325	1058.189	869.193	1525.766	1291.86	949.305	1404.973	1202.989
3	825.408	1085.149	849.109	1067.921	853.465	1588.411	1306.245	900.745	1361.192	1190.683
4	819.915	1069.44	819.036	1048.823	843.357	1598.201	1316.1	889.921	1385.88	1252.856
5	827.902	1093.836	866.938	1103.985	871.874	1637.365	1382.572	845.301	1360.475	1273.605
6	803.237	1081.162	873.85	1132.006	863.64	1581.613	1536.636	844.274	1382.049	1341.374
7	813.628	1130.889	958.616	1252.93	904.934	1626.141	1620.643	824.205	1348.828	1360.906
8	784.623	1166.62	1014.366	1331.694	904.69	1603.779	1798.464	818.521	1388.34	1459.798
9	794.044	1277.418	1145.742	1468.023	939.74	1712.371	1870.952	796.964	1346.159	1474.311
10	803.561	1336.68	1201.274	1514.199	917.136	1795.961	2076.521	848.012	1437.934	1589.192
11	863.507	1424.902	1343.634	1624.361	920.647	2018.961	2090.973	840.597	1458.819	1616.266
12	895.151	1444.703	1370.51	1642.642	894.55	2164.047	2225.619	854.024	1597.471	1744.869
13	949.222	1476.393	1441.129	1661.678	885.687	2370.874	2184.188	798.982	1604.633	1767.994
14	957.289	1422.963	1411.417	1602.589	833.376	2373.917	2324.848	828.564	1792.31	1995.611
15	990.234	1397.49	1433.755	1609.252	828.392	2460.657	2263.555	782.529	1793.215	2059.229
16	980.552	1322.927	1402.953	1533.095	817.251	2392.341	2367.052	794.097	1924.553	2295.885
17	994.047	1342.055	1432.467	1553.864	847.608	2436.783	2355.549	761.81	1947.239	2377.485
18	965.472	1305.796	1399.021	1543.391	847.85	2324.762	2491.16	768.472	2010.815	2613.898
19	934.905	1313.486	1441.43	1592.075	871.725	2336.235	2521.931	754.794	1945.155	2676.664
20	931.899	1356.906	1498.583	1633.224	873.925	2284.35	2739.104	794.4	1986.165	2815.548
21	899.825	1395.699	1592.215	1704.578	894.379	2414.963	2818.82	800.538	1896.833	2863.566
22	932.909	1512.936	1753.568	1782.547	879.839	2561.857	2949.815	807.602	1836.966	2852.196
23	937.775	1567.532	1829.179	1835.203	851.421	2894.426	3112.842	850.75	1866.941	2923.015
24	1003.326	1694.627	1960.175	1946.188	841.964	3274.76	3130.279	853.539	1831.569	2860.81
25	1013.165	1678.568	1894.544	1908.464	790.494	3429.011	3250.047	860.702	1925.306	2892.628
26	1077.354	1700.66	1942.192	1981.634	777.826	3707.053	3158.96	820.191	1899.641	2766.061
27	1059.524	1626.541	1853.754	1919.344	754.599	3665.623	3220.457	834.953	2064.922	2932.679
28	1096.846	1633.094	1845.638	1970.667	767.123	3728.449	3165.458	815.616	2114.264	2966.945
29	1054.737	1520.793	1715.674	1847.441	754.043	3496.284	3177.276	808.436	2224.283	3177.599
30	1056.663	1509.048	1718.21	1898.991	796.029	3496.5	3081.714	773.954	2224.392	3197.554
31	1014.24	1432.791	1669.375	1833.695	801.582	3271.139	3122.064	771.866	2350.484	3452.452
