TIME	20180902_W08	20180902_W09	20180902_W10	20180902_W11	20180902_W12	20180902_W13	20180908_W06	20180908_W07	20180908_W08	20180908_W09
0	809.992	1130.536	1079.048	889.85	739.711	1093.665	1711.982	2040.768	1639.617	1116.593
1	807.902	1156.734	988.537	855.078	737.162	1088.282	1686.823	1954.208	1570.142	1072.604
2	767.028	1145.508	972.272	850.363	737.059	1102.919	1692.806	1905.067	1562	1041.923
3	747.485	1140.429	1032.977	872.1	753.816	1135.871	1597.246	1792.706	1504.031	989.845
4	727.013	1094.567	1046.683	889.991	753.286	1195.1	1637.434	1847.935	1555.418	1015.955
5	741.407	1095.489	1101.03	912.427	778.796	1306.432	1615.886	1877.671	1593.487	1015.155
6	723.019	1040.397	1139.55	923.275	798.753	1371.748	1678.124	2109.36	1768.416	1077.733
7	800.969	1046.159	1251.478	946.561	811.531	1484.959	1729.271	2273.879	1894.526	1109.608
8	814.626	1043.92	1285.42	892.445	791.898	1505.411	1975.763	2623.389	2154.462	1224.049
9	870.643	1082.48	1342.417	887.368	787.668	1558.896	2119.257	2812.875	2315.309	1289.358
10	902.99	1132.091	1314.087	859.5	772.326	1539.548	2383.853	3041.817	2537.507	1363.301
11	961.091	1226.222	1331.41	872.144	757.364	1556.065	2489.963	3029.214	2558.792	1349.897
12	974.546	1275.848	1262.533	841.356	733.376	1523.958	2679.462	3115.708	2722.7	1416.51
13	1021.994	1352.803	1276.749	855.118	732.073	1566.363	2571.975	2879.187	2534.093	1333.041
14	956.164	1314.797	1216.314	855.25	705.558	1514.635	2691.045	2981.604	2607.323	1389.435
15	959.49	1329.167	1234.169	904.817	724.187	1571.596	2507.357	2758.75	2464.471	1331.587
16	971.047	1284.352	1234.982	935.061	722.806	1557.631	2577.571	2820.502	2504.252	1396.088
17	1006.573	1272.598	1291.824	1003.955	738.06	1644.991	2396.919	2707.155	2374.569	1343.546
18	1020.776	1191.381	1315.496	1021.013	743.404	1661.641	2446.97	2915.036	2450.665	1397.689
19	1075.09	1176.93	1429.963	1074.43	762.612	1810.852	2395.761	3068.279	2515.87	1449.231
20	1112.643	1116.718	1454.181	1049.462	740.469	1851.439	2485.083	3302.347	2641.755	1486.319
21	1185.269	1152.698	1548.345	1075.467	751.112	1951.755	2631.018	3581.178	2847.731	1595.083
22	1243.808	1166.623	1501.416	1038.684	718.6	1924.845	2804.602	3662.887	2978.016	1637.418
23	1330.218	1251.13	1518.288	1043.249	713.106	1969.098	3094.061	3893.243	3225.441	1777.721
24	1420.936	1289.811	1486.407	1037.231	698.531	1935.27	3210.266	3781.829	3172.047	1787.247
25	1428.011	1274.93	1455.095	1058.826	693.322	1929.621	3398.302	3832.192	3297.866	1871.653
26	1475.78	1271.163	1450.566	1075.895	685.188	1886.619	3243.322	3502.31	3079.098	1773.436
27	1454.169	1209.581	1407.405	1099.057	697.796	1872.602	3359.617	3503.334	3128.143	1828.075
28	1478.254	1213.822	1424.523	1151.724	712.88	1856.304	3200.596	3287.392	2958.787	1765.336
29	1422.58	1127.238	1434.044	1217.375	722.95	1864.367	3125.359	3261.996	2927.056	1760.793
30	1454.833	1112.093	1516.314	1278.049	741.689	1884.118	2903.012	3108.442	2755.289	1692.113
31	1433.852	1078.976	1536.942	1349.782	753.894	1919.358	2940.933	3327.619	2842.15	1769.054
32	1491.908	1065.669	1637.503	1383.708	757.511	1967.967	2835.088	3462.751	2836.99	1763.471
33	1557.214	1063.87	1659.099	1426.85	758.316	2043.107	3016.844	3877.085	3112.732	1925.825
34	1699.377	1111.382	1722.019	1505.098	764.189	2203.765	3119.208	4010.021	3254.035	2022.889
35	1760.465	1113.01	1639.472	1471.904	727.956	2250.03	3454.129	4418.463	3656.247	2228.538
36	1896.904	1201.211	1689.986	1522.713	746.676	2442.259	3595.252	4373.138	3754.484	2274.906
37	1915.88	1219.254	1622.38	1482.464	710.681	2474.137	3933.912	4563.825	4087.596	2488.323
38	1999.053	1263.006	1631.672	1497.757	726.867	2609.097	3808.654	4281.622	4005.397	2467.793
39	1919.42	1218.379	1542.152	1440.004	709.14	2540.174	4040.668	4287.307	4164.06	2586.707
40	1963.839	1245.766	1512.86	1435.397	722.917	2667.292	3799.675	3972.886	3941.147	2499.467
41	1852.568	1147.601	1409.828	1366.103	698.872	2578.1	3812.737	3914.707	3978.251	2560.941
42	1857.644	1118.839	1425.237	1385.544	711.173	2721.199	3519.046	3624.635	3668.611	2415.798
43	1776.096	1049.595	1341.185	1346.155	699.808	2660.888	3407.029	3620.277	3621.178	2430.696
44	1751.098	1047.1	1344.79	1404.435	715.755	2749.9	3117.974	3403.719	3324.697	2293.984
45	1678.769	994.862	1305.202	1422.407	694.754	2640.198	3163.854	3707.845	3389.659	2444.589
46	1713.318	1011.743	1358.957	1550.284	698.882	2760.771	3058.676	3849.233	3308.791	2471.292
47	1720.166	983.45	1368.512	1647.002	685.719	2778.497	3189.389	4248.768	3443.732	2649.71
48	1799.975	1024.648	1457.22	1783.673	706.581	2969.867	3222.35	4459.271	3532.495	2736.58
49	1878.981	1045.716	1502.169	1875.029	707.183	3030.219	3454.7	4704.919	3726.427	2877.199
50	1993.38	1086.778	1585.333	2005.753	715.915	3227.693	3632.492	4952.884	4023.164	3048.028
51	2113.24	1081.239	1630.32	2048.321	705.257	3207.562	3833.108	4973.098	4129.639	3101.756
52	2241.475	1086.836	1686.812	2107.54	720.654	3311.911	4094.967	4982.598	4421.486	3214.463
53	2329.107	1093.233	1689.173	2079.386	711.488	3226.785	4213.865	4873.072	4524.45	3151.713
54	2429.063	1088.736	1683.394	2082.864	726.312	3295.161	4389.472	4829.099	4701.891	3191.047
55	2471.014	1070.788	1656.306	2040.839	705.663	3213.03	4310.799	4488.342	4564.051	3042.701
56	2465.616	1039.252	1639.004	2027.891	718.883	3170.943	4343.501	4499.623	4725.595	3061.382
57	2478.693	1046.154	1619.905	2001.269	703.322	3079.87	4251.608	4363.38	4511.317	2971.136
58	2427.32	1016.476	1624.216	2054.469	715.284	3108.667	4261.301	4505.431	4482.308	3026.795
59	2447.951	1026.86	1636.141	2118.375	702.259	3027.233	4025.422	4453.586	4259.955	2961.425
60	2419.208	1027.481	1702.782	2252.468	712.798	3063.521	4149.396	4811.142	4373.34	3121.308
61	2491.991	1047.634	1783.749	2371.4	710.929	2996.615	4029.209	4918.868	4222.74	3076.511
62	2521.86	1036.203	1838.216	2418.766	717.114	2949.407	4195.229	5343.44	4422.809	3331.555
63	2755.764	1094.467	1994.449	2579.595	736.72	2957.408	4145.165	5394.409	4340.97	3312.099
64	2810.173	1080.781	2032.227	2549.197	731.223	2841.643	4432.005	5737.642	4731.203	3617.045
65	3073.627	1114.823	2169.145	2609.731	753.44	2812.616	4497.642	5723.477	4754.74	3612.616
66	3113.869	1102.104	2172.815	2557.01	745.194	2665.335	4925.554	5933.112	5189.159	3871.068
67	3330.402	1151.543	2268.744	2612.242	767.146	2669.807	4897.7	5555.929	5148.873	3746.627
68	3265.352	1146.221	2192.95	2479.023	750.416	2490.595	5266.779	5715.578	5491.245	3900.197
69	3382.861	1163.15	2200.292	2482.915	771.863	2453.021	5162.921	5338.042	5322.623	3739.475
70	3278.519	1130.738	2142.604	2387.351	762.514	2324.793	5377.598	5467.537	5519.695	3855.136
71	3343.544	1185.39	2161.801	2392.062	780.567	2331.272	5028.722	5218.924	5281.367	3673.939
72	3184.439	1153.804	2052.414	2273.289	771.094	2233.917	5128.295	5406.083	5371.015	3857.748
73	3165.361	1157.624	2020.789	2225.424	776.678	2226.045	4716.633	5063.599	4919.258	3619.099
74	2994.58	1118.735	1932.51	2103.836	767.928	2168.534	4780.379	5222.618	4922.174	3760.191
75	2943.074	1130.791	1904.247	2065.478	784.154	2175.15	4409.116	4900.716	4545.494	3498.238
76	2698.402	1066.559	1754.559	1870.432	751.774	2033.609	4377.951	5002.362	4525.435	3643.817
77	2660.021	1064.721	1745.744	1807.665	757.29	2039.574	3970.457	4604.171	4096.956	3455.048
78	2460.985	1025.572	1615.482	1666.76	750.365	1929.553	3997.363	4694.654	4135.878	3649.668
